[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-34.68] 各位法人代表及媒体的朋友大家好
[34.68-38.96] 非常欢迎各位参加育农的法说会
[38.96-48.70] 回顾2024年育农企业在强化资产品质及响应政府的合规政策
[48.70-52.16] 作为我们的事业营运的基础
[52.16-58.80] 此外我们更加致力于发展台湾企业金融的业务
[58.80-59.98] 及法国的企业金融
[59.98-67.26] 并深化在能源及移动服务领域的布局
[67.26-70.16] 以多元化的事业推展
[70.16-74.26] 让未来继续保有成长的动能
[74.26-82.92] 2024年育农企业前年的合并营收达414.71亿元
[84.06-88.92] 与去年持平合并营业利益为
[88.92-91.58] 62.94亿元
[91.58-94.14] 同比减少19.7
[94.14-101.34] 这主要是受到台湾的资金成本仍然处于高位
[101.34-105.90] 中国的经济未见回升
[105.90-112.12] 以及东南亚及能源业务仍处于初期的投资阶段的影响
[112.12-115.90] 导致部分的获利表现不如预期
[115.90-118.90] 然而在股利发放的方向下
[118.92-124.64] 我们过去三年均维持55%的股利发放率
[124.64-127.38] 以确保财务稳健
[127.38-131.00] 支持金融水平的事业成长
[131.00-133.84] 并兼顾投资人的权益
[133.84-139.18] 今年每股配发现金股利4.38元
[139.18-142.38] 及股票股利0.5元
[142.38-144.58] 合计4.88元
[144.58-148.90] 在台湾消费金融及股票股利的发展上
[148.92-155.20] 企业金融领域租赁业纳入金保法等议题方面
[155.20-160.34] 易融企业积极与主管机关保持联系
[160.34-163.34] 我们乐见配合政府的政策
[163.34-168.08] 进一步提升市场的透明度及合规性
[168.08-170.58] 展望2025年
[170.58-174.20] 我们对台湾的市场仍然充满信心
[174.20-178.90] 加大在台湾的销金及契金的优势
[178.92-180.92] 并且在台湾的市场上
[180.92-183.92] 与国内的国家业务人员招募的力度
[183.92-187.92] 进一步提升资产额及业绩的规模
[187.92-190.92] 在海外市场布局方面
[190.92-194.92] 目前更聚焦于东南亚市场的发展
[194.92-197.92] 致力于提升获利及规模
[197.92-200.92] 我们在菲律宾的医疗设备分歧
[200.92-203.92] 已起得不错的成绩
[203.92-206.92] 也已开展在大马
[206.92-208.92] 大马尼拉首都圈以外的市场
[208.92-212.92] 在2025年会起得更加的成果
[212.92-216.92] 马来西亚则在去年5月正式开业
[216.92-221.92] 涵盖了医疗设备商用车等多样性的产品
[221.92-224.92] 预计今年第一季的新增业绩
[224.92-227.92] 将超过去年全年
[227.92-231.92] 业务的动能比预期的好
[231.92-233.92] 在能源事业方面
[233.92-238.92] 新兴除了已经拥有329座太阳能电厂以外
[238.92-242.92] 装置容量已经达到100MW
[242.92-244.92] 在储能方面
[244.92-248.92] 已经完成EDREC储能的并网交易
[248.92-254.92] 储能总建制容量达到110MW
[254.92-260.92] 分别在今年的一月中旬及二月底
[260.92-263.92] 开始挂表上线
[263.92-267.92] 并以新兴电力品牌积极参与力电的交易
[268.92-271.92] 此外我们在移动服务方面
[271.92-275.92] 已经建立完整的产业链及生态系
[275.92-279.92] 力能车队合计超过8000辆
[279.92-284.92] 未来将持续整合移动及用车服务
[284.92-290.92] NineGo持续稳居市场第三大轿车平台地位
[290.92-293.92] 并已导入7项服务
[293.92-296.92] 使用者可在Nine上便捷操作
[296.92-299.92] 享受计程车轿车机场接送
[299.92-303.92] 门市租车共享车代价包车及充电等服务
[303.92-307.92] 我们将在2025年持续优化服务体验
[307.92-310.92] 创造多元中效
[310.92-314.92] 为消费者提供更前方面的移动服务
[314.92-319.92] 在今年我们将继续以稳健有韧性的步伐
[319.92-322.92] 进行计算及计算机构的设计
[322.92-324.92] 并在2025年将继续以稳健有韧性的步伐
[324.92-325.92] 并在2025年将继续以稳健有韧性的步伐
[326.92-331.92] 持续前行并履行企业社会责任
[331.92-333.92] 感谢各位投资法人
