[0.00-5.00] 各位早安 各位委員會先進 大家好 大家午安
[5.00-10.00] 很高興今天大家來參加台南股市股份有限公司法人說明會
[10.00-15.00] 今天的會議比委長官有張景榮副總監發言人
[15.00-24.00] 蘇冠明協理 林志威協理 侯博生副理 吳洛蘭副理 以及李淑娟相比
[24.00-33.00] 會議會分成兩個部分 第一部分會先由南股的長官向投資先進簡報及分享公司近期業務狀況及經營成果
[33.00-40.00] 第二部分則進行QA問答討論 那我們現在先把時間交給蘇協理 協理您可以開始喔 謝謝
[40.00-46.00] 謝謝 各位投資先進午安
[46.00-52.00] 那首先就我針對公司簡介主要產品 營運及財務的概況
[52.00-54.00] 還有未來的展望方向
[54.00-60.00] 我們會先進行規劃這四個部分 跟各位做個簡要的報告 然後再進行Q&A的部分
[60.00-67.00] 那台南紡織是創立於1955年 今年剛好滿70週年
[67.00-72.00] 我們的實收資本是165億 董事長為侯博明先生
[72.00-75.00] 那我們在1989年股票掛牌上市
[75.00-80.00] 主要的經營項目是紡紗跟化學纖維品的製造跟銷售
[80.00-82.00] 那這個部分也對應到我們的製造本業主資價值
[82.00-84.00] 那這個部分也對應到我們的製造本業主資價值
[84.00-86.00] 在這兩大項目之中 包括了兩大事業群
[86.00-90.00] 一個是紡紗事業群 一個是化纖事業群
[90.00-95.00] 那此外我們也包含了營業項目 還有包含了資產的開發
[95.00-103.00] 比如說 或是廠辦的 出售等等
[103.00-107.00] 那我們公司在紡織產業鏈是位處於中油
[107.00-110.00] 那紡紗群的主要原料是天然棉花
[110.00-112.00] 所以我們有從全球各地主要的供應產區
[112.00-114.00] 所以我們有從全球各地主要的供應產區
[114.00-117.00] 美國棉 巴西棉等等
[117.00-121.00] 那化纖群的主要的原料是PTAEG
[121.00-124.00] 那這個部分我們就在國內市場做採購
[124.00-129.00] 那我們的銷售對象是下游的織布蘭整產
[129.00-137.00] 我們的營運據點除了台南總公司跟台北辦事處以外
[137.00-142.00] 那剛剛提到的化纖群主要是生產基地在臺灣台南
[142.00-143.00] 有化纖廠跟太平洋工廠
[143.00-144.00] 有化纖廠跟太平洋工廠跟太平洋工廠
[144.00-145.00] 有化纖廠跟太平洋工廠跟太平洋工廠
[145.00-150.00] 那化纖群的生產基地則是在越南的同奈省
[150.00-154.00] 有南仿越南跟太子隆兩家子公司
[155.00-163.00] 紡紗群的主要產品有純棉紗混紡紗OE紗以及各種機能性的紗種
[163.00-166.00] 那化纖群的產品則主要是鋸子棉
[166.00-168.00] 鋸子半延生絲
[168.00-170.00] 鋸子加工絲
[170.00-171.00] 紡用指力
[171.00-172.00] 平用指力
[172.00-173.00] 以及光學薄膜指力
[173.00-178.44] 那各项主要产品的月产能
[178.44-180.86] 请各位投资先进参与检报
[180.86-183.50] 大致跟以前年度是相当
[183.50-187.14] 但也如同各位投资先知道的供高讯息
[187.14-190.86] 因为全世界的聚酯产能严重过剩
[190.86-193.10] 然后需求也比较低迷
[193.10-195.28] 在整体的考量之下
[195.28-198.38] 去年八月份经过我们公司的董事会决议
[198.38-202.74] 那我们将刚刚提到的化间厂主要的生产产品
[202.74-203.92] 是聚酯棉
[203.92-207.20] 虽然我们还是保留9900吨的月产能
[207.20-210.28] 但是在脂肪的部分的产能
[210.28-211.96] 我们是暂时停止生产
[211.96-216.16] 所以我们实际上的产量会降低到900公吨每个月
[216.16-218.90] 那另外去仿用质地的部分就
[218.90-222.38] 那目前是以销售库存为主
[225.38-228.04] 那各位看到2024主要产品
[228.04-231.48] 刚刚跟各位的报告跟说明
[231.48-232.72] 如果想要有一个新的产品
[232.72-234.32] 相较于以前年度
[234.32-237.36] 就可以发现聚酯棉跟因为上述的原因
[237.36-240.16] 就可以发现聚酯棉跟仿用质地的产量
[240.16-242.40] 比去年度有明显的减少
[245.40-247.64] 那2024的营收比重
[247.64-250.84] 仿砂群的部分占比是38个percent
[250.84-253.40] 化间群是占比40个percent
[253.40-257.12] 那其他22个percent主要是南仿购物中心
[257.12-260.00] 跟我们在越南的另外一家转投资公司
[260.00-262.20] 南方仿资的营收贡献
[262.72-268.52] 那有关销售市场的分布
[268.52-272.64] 仿砂群的主要销售市场是在外销亚洲
[272.64-275.28] 那化间群的主要销售市场
[275.28-277.44] 则是台湾的国内内销市场
[277.44-279.28] 以及部分的外销亚洲
[279.28-284.46] 另外财务概况的部分
[284.46-285.44] 各位可以看到
[285.44-288.28] 不管是单季的综合损益表
[288.28-289.94] 我们的毛利率
[289.94-292.16] 2024Q4的毛利率
[292.16-292.70] 营业线的毛利率
[292.72-293.84] 营业净利率
[293.84-295.92] 甚至是放大到全年度
[295.92-298.16] 2024全年度来看
[298.16-302.88] 其实我们所在的化间跟仿砂产业
[302.88-306.08] 整体的大环境跟公司的制造本业上面
[306.08-307.64] 还是相当的困难
[307.64-310.40] 所以造成了营业净利的亏损
[310.40-314.48] 那2024年全年度
[314.48-319.12] 亏损母公司业主的税后净损失是5.58亿
[319.12-322.16] 那换算EPS就是负的0.34元
[322.72-327.60] 那截至到2024年底
[327.60-330.08] 整个集团的合并资产
[330.08-332.48] 大约有489亿
[332.48-334.40] 那股东权益含非公司权益
[334.40-336.84] 大约有294亿
[336.84-338.56] 换算成每股净值的话
[338.56-342.88] 大概是17.6元
[342.88-345.20] 那接下来现金流浪表的部分
[345.20-347.92] 请各位投资先进参阅
[347.92-350.88] 2023年底因为有股份资产
[350.88-353.88] 营业外的收入贡献的比较多
[353.88-357.32] 所以在期末的现金也有比较高的水位
[357.32-359.20] 那基本上在2024年度
[359.20-361.84] 我们已经陆续用于偿还借款
[361.84-368.16] 那减少利息支出也适度降低现金的水位
[368.16-371.04] 最后则是未来的展望规划
[371.04-374.84] 中长期我们还是维持一样的六大方向
[374.84-378.44] 一是纺纱本业的持续优化与精进
[378.44-380.72] 包括产线的调整跟产交线的调整
[380.88-382.92] 和组合的优化
[382.92-386.84] 二是加速划线产品的研发及升级
[386.84-390.60] 其实在最近两年112到13年
[390.60-394.00] 我们其实也总共投入近4亿元
[394.00-397.28] 去做生产线的改造跟升级
[397.28-400.16] 那三是继续支持转投资事业
[400.16-404.00] 包含南地化工南美特科技等等
[404.00-406.20] 第四则是流通事业
[406.20-409.52] 南坊购物中心开幕迄今已经满十周年
[409.52-410.88] 那2024年的营业额
[410.88-413.64] 也超过了105亿创历史新高
[413.64-417.80] 第五点则是持续活化资产
[417.80-420.76] 那包含闲置厂房的出租出售
[420.76-426.26] 以及规划南坊科技园区分区分期的开发
[426.26-430.06] 那最后一点还是继续以南坊新加坡
[430.06-433.36] 作为我们南向拓展事业版图的中心点
[433.36-436.42] 以上是我的简报
[440.88-450.76] 如果有任何问题请在下方留言
[450.76-455.64] 然后跟我们的同事们交流的话
[455.64-457.64] 可以接受的谢谢
[457.64-459.64] 谢谢
[459.64-462.64] 确认一下2023年跟2024年的毛利上的相比
[462.64-464.64] 比较大的变化
[464.64-466.64] 那请问这个毛利上的变化差一点点
[466.64-468.64] 对23跟24年
[470.88-476.38] 其实就整体的状况来看的话
[476.38-483.64] 主要还是24年的部分
[483.64-485.88] 我们的制造本业仿杀的部分
[485.88-489.14] 受到产业大环境的影响
[489.14-492.10] 所以这个部分确实是在毛利上
[492.10-493.78] 因为品牌的部分
[493.78-496.58] 它有一些库存的去化
[496.58-498.38] 其实做严格的控制
[498.38-500.86] 所以在整个销售的单价上面
[500.86-501.86] 也是比较辛苦的
[501.86-503.86] 所以毛利率确实有受到
[503.86-505.86] 在制造本业部分有受到一些影响
[530.86-537.86] 那这个部分是对于这个毛利上的
[537.86-538.86] 是有影响的
[538.86-539.86] 那我们也有一个问题
[539.86-540.86] 对
[540.86-541.86] 对
[541.86-542.86] 对
[542.86-543.86] 对
[543.86-544.86] 对
[544.86-545.86] 对
[545.86-546.86] 对
[546.86-547.86] 对
[547.86-548.86] 对
[548.86-549.86] 对
[549.86-550.86] 对
[550.86-551.86] 对
[551.86-552.86] 对
[552.86-553.86] 对
[553.86-554.86] 对
[554.86-555.86] 对
[555.86-556.86] 对
[556.86-557.86] 对
[557.86-558.86] 对
[558.86-559.86] 对
[559.86-560.86] 对
[560.86-561.86] 对
[561.86-568.86] 对
[568.86-571.86] 带来的
[571.86-572.86] 对
[572.86-573.86] 对
[573.86-574.86] 对
[574.86-576.32] 刚才gra possa
[576.36-577.98] 谢谢
[577.98-581.38] 谢谢
[581.38-581.86] 好
[581.86-582.42] 感谢
[582.42-583.86] chcia
[583.86-584.86] 化
[584.86-585.96] 叫
[585.96-586.26] 那么
[586.26-586.86] 那么
[586.86-587.86] 那么
[587.86-588.58] 我们
[588.58-589.22] 我们
[589.22-589.38] 我的
[589.38-589.74] 我们
[589.74-589.98] 访问
[589.98-590.26] 当然
[590.26-590.72] 其实
[590.72-591.72] 好轉移 謝謝
[599.72-601.72] 製造本業的傳統的訂單能見譜
[601.72-603.72] 或者是客戶可以訪問的事
[603.72-604.72] 大概是如何的選擇
[605.72-607.72] 這可能要分仿砂跟華研
[607.72-610.72] 還是我們麻煩仿砂的業務同事
[610.72-612.72] 我針對砂廠的部分做說明
[612.72-616.72] 基本上砂廠現在目前生產基地都在越南
[616.72-617.72] 台灣這邊是沒有的
[617.72-619.72] 我目前的
[619.72-622.72] 當然這個產業每一鏈的狀況不一樣
[622.72-624.72] 像布廠大概是3到6個月
[624.72-626.72] 成衣廠可能長到一年
[626.72-629.72] 我們砂廠的話平均大概會1到2個月
[629.72-632.72] 不敢看整個市場對後市的判斷狀況
[632.72-635.72] 我目前我們業務這邊的狀況
[635.72-638.72] 針對第二季的部分的訂單
[638.72-642.72] 大概到4月的訂單是已經滿載
[642.72-646.72] 目前那個客人在談的大概是5月份的部分
[646.72-647.72] 所以
[647.72-651.72] 以我手上目前掌握的訂單的SP來看的話
[651.72-654.72] 應該是有比第一季的平均出貨單價會好一些些
[654.72-655.72] 那主要是兩個原因
[655.72-657.72] 第一個是年前這邊
[657.72-661.72] 同業這邊針對年前想要換現金
[661.72-664.72] 所以會在價格上面比較多一些談起
[664.72-666.72] 那回過到過年之後
[666.72-670.72] 大家對於整個市場的價格就會比較有所堅持
[670.72-671.72] 再加上說
[671.72-673.72] 目前棉花企業
