[0.00-2.00] 我們法說會就正式開始
[4.00-6.00] 各位投資先進大家午安
[6.00-10.00] 歡迎各位參加順德工業股會有限公司法人說明會
[10.00-13.00] 首先跟各位介紹今天的初期主講
[13.00-15.00] 黃瑞傑財務長
[15.00-19.00] 以及葉芳玲財務副處長
[21.00-22.00] 謝謝大家 謝謝
[22.00-25.00] 現在時間我們就先交給兩位長官
[27.00-28.00] 各位投資先進
[28.00-31.00] 我先針對公司的簡報的部分
[31.00-35.00] 大概先進行15分鐘的一個聯絡
[52.00-55.00] 目前整個在順德集團裡面
[55.00-58.00] 員工人數大概2400人
[58.00-59.00] 零二人
[59.00-61.00] 主要目錄在臺灣
[61.00-65.00] 臺灣在彰化跟南投以及大貝的江蘇省
[68.00-70.00] 目前電子跟文具的比重
[70.00-72.00] 電子上84%
[72.00-75.00] 文具上16%
[75.00-77.00] 大概這樣的一個比重
[77.00-79.00] 導線價在公率的導線價
[79.00-82.00] 目前是全球的市占率是最高的
[82.00-84.00] 是No.1
[84.00-87.00] 在五金文具的部分在臺灣是最多的
[87.00-88.00] 畢竟我們
[88.00-91.00] 五金文具已經今年第72年
[91.00-94.00] 電子事業今年是第42年
[97.00-100.00] 公司在1953年成立了
[100.00-102.00] 從超級小包開始成立
[105.00-107.00] 01年的時候開始從電子
[107.00-109.00] 從傳統的火
[109.00-112.00] 這種所謂的消費性的電子
[112.00-114.00] 跨入ITM的客戶
[114.00-116.00] 在01年第一家ITM的客戶是
[116.00-119.00] 這個E-WELL半導體為主
[119.00-123.00] 後續在臺灣的營收大概有將近八成以上
[123.00-125.00] 都是以ITM客戶為主
[127.00-130.00] 在23年我們完成南投的H-DOM
[130.00-132.00] 南投的H-DOM主要是
[132.00-137.00] 比較屬於高端車用的後段電鍍為主
[137.00-140.00] 以及將來在發展在AI
[140.00-143.00] 或者人型機器用這一塊也是後段
[143.00-145.00] 比較強調後段電鍍為主的製程
[146.00-149.00] 那25年的下半年
[149.00-151.00] 我們也會在彰化的本廠
[151.00-155.00] 彰化的本廠在進行這個移動
[155.00-158.00] 大概超過50年左右的一個更新
[163.00-167.00] 以臺灣跟大陸在營收的比重的部分
[167.00-169.00] 臺灣大概佔75%
[169.00-171.00] 大陸佔25%
[171.00-174.00] 那臺灣大概九成
[174.00-175.00] 大概九成四左右以上都是外資人口
[175.00-176.00] 大概九成四左右以上都是外資人口
[176.00-182.00] 那大陸是以當地的市場客戶為主
[187.00-190.00] 目前佔84%營收比重的電子
[190.00-193.00] 它的應用有三大領域
[193.00-198.00] 其中以最近24年的第四季來看的話
[198.00-203.00] 車用的比重已經佔到電子營收的50%
[203.00-205.00] 50%
[205.00-208.00] 公共的部分除了5G以外
[208.00-213.00] 另外也應用在一部分的軍工
[213.00-216.00] 國防工業這一塊的運用
[216.00-220.00] 像一些比較屬於大電流的
[220.00-224.00] 家電像Python這一塊的運用
[224.00-229.00] 也會需要到我們的公共用的導線架
[229.00-232.00] 這部分佔22%
[232.00-234.00] 那消費性電子就火資訊產品的話
[234.00-239.00] 這部分的比重是佔26%
