[0.00-4.24] 各位投资先进晚安
[4.24-7.72] 谢谢大家报名今日的法人说明会
[7.72-10.46] 我是加薪水泥的发言人Simon
[10.46-13.52] 今天非常荣幸能代表公司
[13.52-16.20] 向各位详细说明加薪水泥
[16.20-18.78] 2024年第四季的营运成果
[18.78-20.92] 以及我们在转型发展
[20.92-23.10] 和永续经营上的最新进展
[23.10-26.06] 今天在线上一起参与的
[26.06-27.68] 还有我们的会计主管Mars
[27.68-30.18] 等等将会先由我进行简报
[30.18-32.58] Mars将于QA的环节
[32.58-34.68] 加入与各位先进进行交流
[34.68-41.06] 首先我想再次的强调
[41.78-43.70] 加薪水泥不仅在传统的
[43.70-45.42] 核心业务上保持稳健
[45.42-48.10] 更透过积极性的转型策略
[48.10-50.62] 为公司注入了全新的成长动能
[50.62-52.76] 这种稳健发展的模式
[52.76-54.76] 是我们面对市场挑战
[54.76-57.66] 持续为股东创造价值的关键
[57.68-60.62] 从整体的营运数据来看
[60.62-62.60] 2024年第四季
[62.60-65.96] 我们的营业收入达到29.85亿元
[65.96-68.82] 与去年同期相比成长3%
[68.82-72.62] 在市场竞争日益激烈的一个环境下
[72.62-74.76] 能够维持营收的稳定成长
[74.76-76.84] 其实是不容易的一件事情
[76.84-78.90] 更令人振奋的是
[78.90-81.78] 我们在获利能力上的一个显著提升
[81.78-84.78] 营业毛利达到了4.35亿元
[84.78-86.88] 年增率高达19%
[86.88-87.66] 毛利率达到4.35亿元
[87.68-90.30] 毛利率也从去年同期的12.6%
[90.30-92.42] 提升到14.6%
[92.42-93.84] 这项成果
[93.84-97.20] 归功于饭店收入的持续提升所导致
[97.20-101.46] 虽然营业竞损相较去年同期略有下降
[101.46-104.30] 但营业外的收支金额的大幅增加
[104.30-105.84] 达到5.38亿元
[105.84-107.72] 年增134%
[107.72-110.32] 这主要是因为台尼的股利
[110.32-113.18] 较前一年度增加一倍来到3.56亿
[113.18-115.96] 另外转投资的一个事业体也
[115.96-117.52] 持续的稳定益助
[117.68-124.54] 那云朗连续两年都配息3400万的一个回馈
[124.54-128.38] 最终归属业主的净利达到3.2亿元
[128.38-131.86] 较去年同期大幅增长295%
[131.86-135.30] 基本的每股盈余也已经来到0.48元
[135.30-138.72] 那EBITDA达到8.86亿元
[138.72-140.40] 年增是7%
[140.40-142.88] 这些数据都充分的显示
[142.88-146.10] 公司整体获利能力的一个强劲增长
[147.68-152.76] 接下来我们来看各个事业体的一个表现方面
[152.76-156.16] 近年度转型发展旅宿事业的同时
[156.16-158.20] 原有的传产基石事业
[158.20-160.62] 持续维持着稳定的贡献
[160.62-164.02] 水泥事业作为公司的传统核心业务
[164.02-165.84] 营收达到12.2亿元
[165.84-169.78] 房产事业的营收为3.02亿元
[169.78-173.62] 装卸仓厂厨事业营收为6.62亿元
[173.62-177.02] 这些事业体都保持了稳定的营运表现
[177.02-180.30] 为公司的整体营收做出了重要的贡献
[180.30-182.80] 我们再从营收占比来看
[182.80-185.80] 2020年在事业体营运稳定
[185.80-188.90] 而且旅宿服务持续成长的一个情况下
[188.90-191.18] 事业体的占比已经趋近
[191.18-194.12] 而且符合我们先前向各位先进所报告的
[194.12-196.02] 4 3 2 1的比重
[196.02-198.96] 预期在稳定的一个营运架构下
[198.96-201.52] 营收将会是呈现这样子的一个比重
[201.52-206.52] 接下来我想重点而且详细的介绍
[207.02-210.74] 我们在营收服务事业上的一个卓越表现
[210.74-212.02] 2024年
[212.02-215.02] 旅宿服务事业的营收达到8.01亿元
[215.02-217.02] 年增11.9%
[217.02-219.02] 这不仅是营收数字的成长
[219.02-224.02] 更是我们在转型道路上的一个重要里程碑
[224.02-228.02] Hotel Collective作为我们旅宿事业的一个自由品牌
[228.02-233.02] 在业绩的表现上更是写下了亮眼的一个篇章
[233.02-235.02] 我们不仅在营收上有所斩获
[235.02-237.02] 更在多项的一个速博指标上
[237.02-241.02] 展现了强劲的成长动能与卓越的营营绩效
[241.02-244.02] 首先在住房率的方面
[244.02-247.02] Hotel Collective在2024年2月起
[247.02-250.02] 就维持了一个8成以上的稳定住房率
[250.02-255.02] 这在竞争激烈的一个市场中实在是不太容易的一件事情
[255.02-259.02] 但也充分的展现我们在营运管理上的一个高效与精准
[259.02-261.02] 那更令人振奋的是
[261.02-264.02] 我们的平均房价也显著的提升
[264.02-267.02] 2024年Hotel Collective的一个平均房价
[267.02-270.02] 已经提升到22000元以上
[270.02-273.02] 这不仅反映了我们在品牌价值上的提升
[273.02-276.02] 更显示了市场对于我们高品质服务
[276.02-279.02] 以及卓越住宿体验的高度认可
[279.02-282.02] 那在今年的前两个月
[282.02-286.02] Hotel Collective的住房率更是突破了以往的纪录
[286.02-288.02] 达到了9成以上的一个新高
[288.02-292.02] 这项成绩不仅为我们今年的营运开了一个好头
[292.02-295.02] 更充分展现了我们在市场上的一个强劲的竞争力
[295.02-297.02] 与持续成长的成长
[297.02-300.02] 这些亮眼的素博指标
[300.02-303.02] 不仅是对我们团队努力付出的最佳回报
[303.02-306.02] 更是对我们在追求服务
[306.02-309.02] 以及提升品牌的价值上的有力证明
[309.02-312.02] 我们深知在竞争激烈的一个旅宿市场
[312.02-315.02] 只有不断的提升服务品质
[315.02-317.02] 创造独特的住宿体验
[317.02-319.02] 才能赢得消费者的青睐
[319.02-322.02] 因此我们始终将顾客的满意度放在首位
[322.02-326.02] 力求为每一位顾客创造难忘的住宿体验
[327.02-330.02] 当然营运除了获利之外
[330.02-334.02] 打造好的口碑跟好的品牌也是非常重要的
[334.02-336.02] 向各位先进报告
[336.02-340.02] 在高住房率跟人力资源短缺的情况下
[340.02-344.02] 团队还是维持着高标准的服务品质
[344.02-346.02] 让我们在外面有很好的评价
[346.02-349.02] 我们连续第三年获得Booking.com的
[349.02-352.02] Traveler Review Awards的肯定
[352.02-357.02] 同时也获得Agoda颁发的2024 Customer Review Award
[357.02-361.02] 这些评分不仅是对我们服务品质的客观肯定
[361.02-365.02] 更是对我们团队努力付出的最佳回报
[365.02-367.02] 我们将以此为动力
[367.02-369.02] 持续地追求卓越
[369.02-372.02] 为顾客提供更优质的一个服务
[374.02-375.02] 接下来
[375.02-379.02] 在考量未来的营运需求以及重大的支出之后
[379.02-381.02] 昨天董事会已经通过
[381.02-383.02] 并且对外封告
[383.02-386.02] 拟议配发0.55元的一个现金鼓励
[387.02-390.02] 我们如果以近三年的一个鼓励配发情形来看
[390.02-393.02] 我们的鼓励配发率都超过百分之百
[393.02-397.02] 也就是将获利及盈余全部都回馈给股东
[397.02-399.02] 在公司持续转型的过程中
[399.02-403.02] 年度的损益或许会有高低起伏
[403.02-407.02] 但在经营团队努力的创造及提升公司价值的同时
[407.02-409.02] 仍希望维持稳定的配发率
[409.02-413.02] 这个是公司对于股东的一个重视和坚持
[413.02-418.02] 除了在营运和服务上的亮眼表现
[418.02-421.02] 嘉兴水泥在永续发展方面的努力
[421.02-424.02] 也获得了国际评比机构的高度认可
[424.02-428.02] 我们深知企业的发展不仅要追求经济的效益
[428.02-430.02] 更要负起社会的责任
[430.02-434.02] 实现环境、社会和经济的协调发展
[434.02-437.02] 在S&P Global的一个ESG评比中
[437.02-441.02] 嘉兴水泥这次获得了62分的一个成绩
[441.02-443.02] 较2023年提升的成绩
[443.02-445.02] 提升了17个百分比
[445.02-449.02] 这项评比结果不仅远高于产业的一个平均水平
[449.02-452.02] 更是在全球的范围内获得了高度的评价
[452.02-456.02] 充分的展现我们在环境保护、社会责任
[456.02-459.02] 和公司治理方面的一个卓越表现
[459.02-460.02] 那在环境方面
