[0.00-4.48] OK 歡迎大家參加今天2025年第一季的法收會
[4.48-8.86] 今天會跟大家介紹第一季的整個
[8.86-12.20] 去年的表現跟第一季的整個營運狀況
[12.20-23.86] 首先在船隊方面來講
[23.86-26.76] 我們這個船隊有15艘船
[26.76-31.76] 有4艘ConsumEx 7艘Capsize 1艘VOC 3艘VOCC
[31.76-33.76] 這個是不變的
[33.76-40.02] 就第四季的表現
[40.02-42.94] 在第四季的收入有新台幣10億
[42.94-45.20] 是低於第三季的
[45.20-47.90] 主要原因是郵輪的運費下降
[47.90-49.94] 其營運天數比較少
[49.94-51.04] 少了27天
[51.04-53.38] 較第三季少了27天所導致
[53.38-56.64] 第四季的EPS每股
[56.64-56.74] 我們在第四季的EPS每股
[56.74-58.74] 為新台幣0.34元
[58.74-61.74] 較第三季0.42元少
[61.74-67.74] 那第四季的現金盈餘高於第三季
[67.74-70.74] 主要是受匯率的影響所導致
[70.74-81.74] 那我們的負債比降到18.37%
[81.74-86.62] 2024財年的總收入是新台幣44億
[86.62-89.62] 2023年高了2億多
[89.62-91.62] 主要是因為海峽型
[91.62-94.62] 海薩姆型及超大型鐵礦砂船的運費
[94.62-97.62] 較2023年比較高所導致
[97.62-100.62] 然後整個盈餘的話是
[100.62-104.62] 每股是新台幣2.56元
[104.62-108.62] 較去年0.76元大幅增加
[108.62-111.62] 主要是我們有儲分兩艘船
[111.62-113.62] 一個是恆山輪
[113.62-115.62] 一個是瑞春輪
[115.62-118.62] 收後租回賣給原買方
[118.62-120.62] 那再來就是海峽型
[120.62-121.62] 跟卡薩姆型
[121.62-124.62] 跟鐵礦砂船的租金上升
[124.62-127.62] 市場強勁所帶動的整體表現
[127.62-136.62] 這邊可以看到營運天數
[136.62-140.62] 橘色的話是2024年的實際數
[140.62-143.62] 藍色是2023年的實際數
[143.62-144.62] 可以看得出來
[144.62-149.62] 海薩姆型的營運天數是比去年高的
[149.62-156.62] 有四艘船
[156.62-159.62] 就CAPSIZE的話是七艘船
[159.62-164.62] 營運天數是2441天
[164.62-169.62] 較去年少了將近160天
[169.62-172.62] 主要是有三艘船在2024財年進行了109天的無休船
[172.62-173.62] 主要是有三艘船在2024財年進行了109天的無休船
[173.62-175.62] 主要是有三艘船在2024財年進行了109天的無休船
[175.62-180.62] 主要是有三艘船在2024財年進行了109天的無休船
[180.62-184.62] VLC在2023年有無休
[184.62-185.62] 2024年沒有
[185.62-190.62] VLCC三艘輿輪
[190.62-195.62] 在2024年有一艘船進行無休46天
[203.62-209.62] D4和D3的管理報表比較
[209.62-214.62] 我們可以看得出來
[214.62-219.62] 在D3來說海峽型
[219.62-224.62] 與上一季少了140萬美元
[224.62-227.62] 這個是稅前獲利
[227.62-230.62] ConsumEx少了80萬美元
[230.62-231.62] ConsumEx少了80萬美元
[231.62-232.62] ConsumEx少了80萬美元
[232.62-233.62] ConsumEx少了80萬美元
[233.62-242.04] DLCC少了50万美元
[242.04-243.96] 那其他部分的话
[243.96-249.84] 主要是有处分一个瑞春文
[249.84-251.56] 这个售后租回的部分
[251.56-255.08] 有高了160万美元
[255.08-265.08] 就2024年跟2023年比较
[265.08-270.78] 2024年是蓝色的这个图
[270.78-273.68] 2023年是橘色的图
[273.68-276.66] 可以看得出来
[276.66-281.94] 表现较去年2024较2023高很多的是
[281.94-284.08] CAPSIZE的传行
[284.08-286.00] 再来是VLC
[286.00-288.52] 再来是CASAMU
[288.52-293.90] 那VLCC的话是较2023年
[293.90-296.14] 主要是第四季比较低
[296.14-297.82] 所以整年来讲也比较低
[297.82-298.68] 低的多一点
[298.68-309.20] 那我们可以看得到CASAMU的日租金
[309.20-312.34] 在2024年下半年
[312.34-313.56] 它是往下
[313.56-313.96] 呃
[313.96-314.06] 呃
[314.06-314.08] 呃
[314.08-317.40] ,下降
[317.40-318.04] 呃
[318.04-321.40] 2025年年初一二月的话是也是往下掉
[321.40-323.92] 那主要有几个原因就是
[323.92-324.60] 呃
[324.60-327.64] 这个南美洲的雨灾
[327.64-328.52] 呃
[328.52-331.00] 天气造成的影响出口
[331.00-331.18] 呃
[331.18-332.08] 减少
[332.08-336.04] 然后再来就是中国的农历年造成的影响
[336.04-338.56] 所以他需求比较低
[338.56-342.56] 那现在可以看得到的是出户在反弹回升当中
[344.08-346.08] 那这个是在2023年
[346.08-348.08] 这个是在2023年
[348.08-350.54] 海峡选业一样类似一样的原因
[350.54-351.52] 当然呃
[351.52-353.92] 澳洲也有这个
[353.92-357.14] 热带气旋风灾的关系造成
[357.14-362.04] 第四季跟第一季就前两个月比较低
[362.04-363.44] 哦
[363.44-365.92] 那也现在在呃反弹
[365.92-370.56] 那VLCC的话也是稍微低一点点的影响到这个水平的影响
[370.56-372.10] 那这个是在2023年开始的一个风险的影响
[372.10-376.74] 但是这个VLCC的话也是稍微比较低一点
[376.74-377.84] 哦
[377.84-384.88] 另外有一点可能提出来跟大家报告就是呃
[384.88-388.68] 公司的现金及负债状况
[388.68-394.34] 公司现在现金账上的现金有一点9596亿美元
[394.34-396.86] 那当中有一点61美元
[396.86-399.34] 62亿美元是定存
[399.34-401.52] 那定存的年利率是4.42%
[401.52-402.08] 那当中有一点61美元62亿美元是定存
[402.10-408.58] 那我们有新台币的贷款是1.012亿美元
[408.58-410.34] 年利率是1.9%
[410.34-414.98] 抵押贷款是1050万美元
[414.98-416.32] 呃6.6%
[416.32-420.26] 总抵押贷款是1.12亿美元
[420.26-425.44] 那这个给大家做参考
[425.44-428.60] 好接下来我们来看2025年的展望
[432.10-436.50] 呃就卡萨姆型来讲主要他出口的货呃
[436.50-442.58] 呃运输的货物还是与谷物煤炭及小中散货为主
[442.58-452.22] 那所以这个会要取决于乌克兰美国还有南美巴西阿根廷的这个谷物出口呃需求会有影响
[452.22-453.06] 这是一大部分
[453.06-455.34] 那煤炭的话就是澳洲
[455.34-459.52] 俄罗斯跟南非的煤炭出口
[459.52-461.02] 那可能要考虑的就是中国经济的呃
[461.02-462.10] 那可能要考虑的就是中国经济的呃
[462.10-468.58] 影响是不是煤炭的需求会有呃比较弱
[468.58-472.34] 然后船队的增长是不是也比较高
[472.34-484.62] 那取决于中国的需求跟船队的供给来做一个呃考量
[484.62-487.94] 海峡型的话主要是煤跟铁矿砂为主
[487.94-490.30] 主要是铁矿砂
[490.30-492.10] 那2025年的经济增长
[492.10-493.64] 预测为温和扩张
[493.64-498.06] 所以这个铁矿砂的需求还是呃
[498.06-499.60] 蛮强劲的
[499.60-504.38] 那船队的供给算是比较比较少
[504.38-509.46] 那所以这个需求稳定船队供给比较小
[509.46-518.08] 所以他的这个市场来讲还算是比较乐观一些
[518.08-521.02] DLCC的话呃
[521.02-521.98] 邮轮的需求呢
[521.98-525.06] 这个需求大概是1.8%
[525.06-529.92] 那当然中国跟经济的欧洲是一个主要考虑因素
[529.92-534.02] 那印度跟东南亚现在炼油也是提高
[534.02-536.32] 那加上巴西跟
[536.32-539.64] Gayana的这个远程运油的贸易增加
[539.64-542.98] 所以有助于提升整体的需求
[542.98-548.60] 那当然就是中东的这个紧张局势也会影响这个油价
[548.60-550.90] 更低价的支撑
[550.90-551.94] 那再来就是
[551.98-554.80] 这个船舶的供给有限
[554.80-556.08] 那
[556.08-558.12] 呃老旧的船舶
[558.12-560.42] 淘汰之后他的运力
[560.42-561.70] 的供给
[561.70-564.26] 是比较小比较少的
[564.26-568.62] 所以这整个市场来讲还是比较乐观在看待这个
[568.62-574.50] DLCC的部分
[574.50-576.82] 另外跟大家报告一个
[576.82-579.38] Project update Cement Project update
[579.38-580.66] 呃
[581.98-588.12] 简单来讲在这个Project的话应该在今年的第四季会开始有量产
[588.12-594.02] 那但是他的产量是比较没有那么高的
[594.02-598.88] 那比较大部分的产量会开出来是在明年或后年
[598.88-600.92] 预计他会到
[600.92-602.72] 1.21吨
[602.72-605.54] 那这个当然会影响整个
[605.54-607.06] 贸易的航线
