[0.00-16.28] 各位同志先進大家好
[16.28-19.06] 歡迎大家今天進入我們的新政院
[19.06-22.90] 參加我們肯為集中台的聯合法所會
[22.90-26.68] 首先先讓我介紹今天肯為的公司的貴賓
[26.68-29.54] 首先我們先介紹第一層肯為的長官
[29.54-31.54] 洪秉成財務長
[31.54-36.34] 艾亞李香樺小姐
[36.34-40.66] 再來是我們第二層的公司的貴賓
[40.66-42.66] 我們中台的張啟達總經理
[42.66-46.42] 我們中台的石財務長
[46.42-54.54] 接下來讓我跟大家說明今天的整個流程
[54.54-57.16] 我們今天聯合法所會總共兩場
[57.16-59.30] 第一場首先會有肯為這邊
[59.30-61.60] 跟大家做公司的簡介
[61.60-63.70] 會後會有QA的時間
[63.70-65.80] 請各位同志如果有任何問題
[65.80-67.48] 可以在QA的時間提出
[67.48-70.02] 接下來我們會中場休息十分鐘
[70.02-73.32] 第二場會由中台資源這邊的經營團隊
[73.32-75.88] 跟各位做公司簡介報告
[75.88-78.42] 會後會有QA的時間
[78.42-82.02] 結束之後再請各位如果還有任何問題
[82.02-85.92] 歡迎在我們下一個公司兩家公司這邊做交流
[85.92-87.82] 首先我們就先歡迎你
[89.30-91.60] 我們財務長會帶給你謝謝
[91.60-97.30] 總經理先請問大家午安
[97.30-99.30] 我是艾亞李香樺小姐
[99.30-103.88] 酒店新郵我先跟大家簡報一下公司最前一些進化
[103.88-105.48] 還有一些財務上的表現
[105.48-109.48] 他們剛剛有相關問題可以大家問問提出
[109.48-114.10] 今天簡報內容一樣
[114.10-116.60] 先從產業面跟大家做一個簡單的介紹
[116.60-119.30] 然後到我們集團的一些業務部分來講
[119.30-121.30] 我們會先講一下公司的財務局和轉型的一些成果
[121.30-125.30] 最後再針對業績的一些進化跟大家做一些分享
[125.30-128.30] 分產業的部分
[128.30-133.14] 貝基物市場其實每年總量的貝基物產出
[133.14-135.18] 是呈現一個上升的趨勢
[135.18-137.38] 按照法律上的規定
[137.38-141.62] 它大致可以分為一般貝基物跟事業貝基物兩個大類
[141.62-145.06] 那就是生活垃圾跟事業領館產出的一個貝基物
[145.06-147.02] 以生活垃圾來說
[147.02-149.30] 以2013年的一個統計
[149.30-152.30] 大概是1000多萬噸
[152.30-156.30] 其實因為現在大家生活習慣改變
[156.30-158.30] 所以貝基物的一個總量
[158.30-160.30] 它其實是在呈現上升的一個趨勢
[160.30-162.30] 以事業貝基物來說
[162.30-165.30] 去年的2023年的一個產
[165.30-168.30] 總量大概是2000萬噸左右
