[0.00-1.72] 先敬大家下午好
[1.72-4.72] 谢谢富邦证券的会议邀请与安排
[4.72-6.20] 也谢谢大家的参与
[6.20-9.70] 很高兴有这个机会向大家介绍保存工业
[9.70-13.78] 并说明公司2024年第四季的营运表现
[13.78-18.46] 那会议之前请先提醒各位与会者
[18.46-21.90] 保存工业已经采取合理及审慎的态度
[21.90-24.52] 准备这一次简报内容以及问答部分
[24.52-28.12] 以上并不构成投资建议
[28.12-29.32] 而于今日会议中
[29.32-32.12] 保存可能基于当前的预期及假设
[32.12-34.40] 做出若干前瞻性陈述
[34.40-37.48] 由于前瞻性陈述受到诸多风险
[37.48-39.70] 及不确定性的因素影响
[39.70-42.94] 可能导致实际结果出现重大差异
[42.94-47.30] 保存工业对前瞻性陈述的准确性及完整性
[47.30-48.88] 不做任何声明或保证
[48.88-51.76] 也不承担更新任何前瞻性陈述的义务
[51.76-55.26] 若有任何种类或性质的损失或损害
[55.26-57.58] 保存工业不承担
[57.58-58.10] 不承担
[58.10-59.72] 不会承担相关的一个责任
[59.72-62.44] 有关免责声明的完整内容
[62.44-64.14] 请参阅简报的第一页
[64.14-69.02] 今日会议所使用的简报资料
[69.02-70.74] 可于公开资讯观测站
[70.74-72.98] 以及保存工业的网站下载
[72.98-75.60] 我将会就这份简报内容
[75.60-77.54] 逐一说明公司的概况
[77.54-80.46] 致写于零售两大核心业务
[80.46-83.24] 2024年第四季的一个营运成果
[83.24-85.50] 鼓励侦测以及永续表现
[85.50-87.60] 然后会进行问答交流
[88.10-93.98] 保存工业我们成立于1969年
[93.98-95.42] 并于1990年
[95.42-98.20] 在台湾证据交易所挂牌上市
[98.20-100.34] 专注于智协与零售
[100.34-102.56] 两大核心业务的稳健发展
[102.56-104.46] 在智协业务方面
[104.46-106.78] 我们着重多元产能布局
[106.78-109.80] 且很早期采取多品牌代工策略
[109.80-111.86] 以快速建立经济规模
[111.86-115.24] 现为全球最具规模的品牌运动鞋
[115.24-116.84] 和绣鞋鞋代工制造
[116.84-117.96] 代工设计制造
[117.96-118.08] 设计制造
[118.10-118.86] 设计制造
[118.86-120.32] 也是Nike Adidas
[120.32-121.92] ASUS New Balance
[121.92-124.34] 以及Solomon等国际知名品牌的
[124.34-125.56] 长期合作伙伴
[125.56-129.58] 主要销售到美国及欧洲等全球市场
[129.58-131.78] 以零售业务来说
[131.78-134.80] 我们对于大中华区运动用品市场的
[134.80-136.62] 长远发展抱持信心
[136.62-138.78] 以及作为主要目标市场
[138.78-140.70] 借由布局实体门店
[140.70-143.28] 与发展线上通路并进的方式
[143.28-146.70] 建置以消费者为核心的新零售生态圈
[146.70-148.08] 致力于提供消费者
[148.10-150.74] 多元的商品选择
[150.74-152.76] 以及个性化的消费体验
