[0.00-4.64] 各位投资先进法人朋友午安
[4.64-6.28] 欢迎各位上线聆听
[6.28-8.82] 乔杉健康科技线上法人说明会
[8.82-10.84] 我们今天特别邀请到
[10.84-13.84] 乔杉的发言人林静玲女经理
[13.84-16.36] 为我们说明公司的运营情况
[16.36-17.48] 以及未来展望
[17.48-18.40] 经理请
[18.40-20.84] 好 那各位投资先进
[20.84-21.88] 大家午安
[21.88-24.10] 我是乔杉健康科技代理发言人
[24.10-24.92] 我是Elsa
[24.92-27.14] 那谢谢大家的时间
[27.14-29.66] 来参加今天的线上会议
[29.66-30.86] 那首先还是
[30.86-33.58] 我这边开始来做一下
[33.58-38.30] 公司的乔杉健康科技集团的简介
[38.30-42.44] 那首先开始是我们乔杉集团的严格
[42.44-46.74] 那乔杉健康科技成立于1975年
[46.74-48.90] 那到今年的2025年
[48.90-51.14] 已经大概就是50年的时间
[51.14-53.68] 那我们从1975年开始
[53.68-56.38] 是从开始做亚林杠林起家
[56.38-57.96] 那很快的在三年内
[57.96-59.64] 我们就成为最大
[59.64-61.88] 的举动片的生产供应商
[61.88-63.12] 到1980年
[63.12-65.54] 我们开始成立我们自己的研发团队
[65.54-68.46] 然后设计制造有氧健身器材
[68.46-69.40] 然后在当时
[69.40-73.52] 我们也跟世界知名的健身器材公司合作
[73.52-76.12] 然后帮他们做代工
[76.12-77.96] 那从1996年开始
[77.96-81.04] 我们开始成立了我们的自由品牌
[81.04-83.64] 那整个1996年到2025年
[83.64-87.42] 都是我们乔杉集团的一个行销的转型期
[87.42-88.42] 那到目前为止
[88.42-89.60] 我们乔杉
[89.64-92.52] 目前就是以自由品牌为主
[92.52-94.88] 我们大概也没有在做代工
[94.88-97.64] 那所有的销售都是以自由品牌为主
[97.64-99.72] 那我们另外还有
[99.72-102.30] 在这几年我们有几个重要的并购案
[102.30-104.52] 首先是2020年的Fujioki
[104.52-107.62] 它是日本第一间的按摩椅公司
[107.62-109.80] 然后也是第一品牌的按摩椅公司
[109.80-111.84] 那我们在2020年
[111.84-113.36] 并购了这一间日本公司
[113.36-116.60] 那在2024年我们另外
[116.60-117.40] 不算并购
[117.40-119.48] 我们购买了Ballplace这家公司的
[119.64-120.60] 平台
[120.60-123.64] 然后它的营收账款跟存货
[123.64-124.64] 这边要特别说明
[124.64-125.92] 我们没有买这家公司
[125.92-128.88] 我们只是买品牌营收账款跟存货
[128.88-132.84] 那这是一个蛮不错的一个
[132.84-135.60] 一个额资产收购的一个交易
[135.60-137.12] 那其实在2024年
[137.12-139.88] 整个Ballplace就已经为乔杉集团
[139.88-141.80] 里面带来的获利的贡献
[143.02-145.44] 那接下来就是我们的全球行销据点
[145.44-148.14] 我们目前在全球34个国家
[148.14-149.60] 有40个行销子公司
[149.64-151.44] 那另外在美油纸公司的部分
[151.44-153.56] 就是由我们的经销商来
[153.56-156.44] 代理贩售乔杉集团的产品
[156.44-159.56] 那另外我们有
[159.56-163.12] 在全球大概有338个
[163.12-164.44] 自有零售通路
[164.44-165.84] 那尤其是在美国
[165.84-167.30] 我们大概有100出头个
[167.30-169.04] 都是这种街面店
[169.04-170.72] 那在欧洲有8个
[170.72-173.10] 那台湾的部分除了街面店之外
[173.10-175.30] 我们在百货公司里面的专柜
[175.30-177.60] 我们也都当做它是一个点
[177.60-178.80] 所以我们会看到
[179.64-181.10] 在亚洲的部分有200多个点
[181.10-182.52] 其实看起来蛮多的
[182.52-187.24] 它其实是包含了百货公司里面的专柜
[187.24-189.90] 那其他的欧洲跟美国这边
[189.90-192.16] 大概都是街面店的形态
[192.16-194.24] 在贩售我们的产品
[194.24-199.04] 那里面贩售产品主要是以家用产品跟按摩椅为主
[199.04-200.50] 那有一些店面
[200.50-203.36] 我们也会摆一些商用的器材在里面
[203.36-206.92] 那供我们其实附近的一些
[206.92-209.48] 就是我们的商店附近的一些公寓大楼啊
[209.48-211.10] 或者是公司啊
[211.10-213.10] 他们的采买需求
[213.10-218.36] 那接下来就是我们的桥山全球制造基地的布局
[218.36-220.04] 目前总共有6个
[220.04-223.92] 首先是台湾台中这个是我们的总部
[223.92-228.72] 然后也是制造高端的商用健身器材
[228.72-230.72] 像我们今年推出
[230.72-233.92] 我们去年推出的然后MATRIX系列
[233.92-236.88] 然后MATRIX品牌ANIS系列
[236.88-239.20] 这个就是在我们台湾台中这边
[239.48-241.20] 我们的主要的制造
[241.20-242.24] 那上海有两个
[242.24-246.72] 那上海目前主要就是focus在比较中阶的商用跟按摩椅的制造
[246.72-248.24] 还有关键零组件
[248.24-249.84] 那越南河内的话
[249.84-256.04] 目前主要就是全部的家用都是到越南来做制造
[256.04-261.04] 那再包括我们有一转一些输往美国的一些商用的健身器材
[261.04-263.84] 我们也一直逐渐的往越南这边做移动
[263.84-266.80] 所以越南这边除了做全部的家用之外
[266.80-268.04] 他也有做一些
[268.04-269.48] 比较中地阶的一些商用健身器材
[269.48-271.72] 那这个是越南一厂
[271.72-275.24] 那我们现在越南二厂目前已经开始在建
[275.24-276.04] 已经在建造
[276.04-278.24] 我们预计在2026年的第三季
[278.24-279.60] 我们可以全面量产
[279.60-281.60] 这是我们越南的部分
[281.60-285.76] 那越南的土地面积大概是我们原本一厂的两倍大
[285.76-286.52] 大概是这个
[286.52-288.64] 那大概明年第三季可以量产
[288.64-291.80] 那另外就是日本大阪就是Fujioki那个部分
[291.80-297.56] 那美国Wisconsin这边有一个比较小的厂是做重量训练器材的
[297.56-297.72] 好
[297.72-298.68] 那我们来介绍一下
[298.68-299.44] 我们乔三集团的工程训练器材
[299.48-300.20] 我们乔三集团的品牌
[302.08-303.36] 我们乔三集团的品牌
[303.36-305.88] 在健身器材的部分首先是商用
[305.88-309.40] 商用我们用的是Matrix系列
[309.40-314.52] 那这个我们刚刚讲的Arnis也是在这个Matrix的品牌这里面
[314.52-316.96] 那另外我们有一个轻商用的叫Vision
[316.96-320.24] 那Vision这个部分我们在今年其实也推出了全系列
[320.24-321.36] For商用
[321.36-325.08] For健身房使用的这些全系列的器材
[325.08-327.24] 那这个部分主要是
[327.24-328.80] 他一样是For商用
[328.80-329.24] And
[329.24-329.44] For
[329.44-331.16] 健身房等级
[331.16-334.12] 只是他的价位会比较便宜一些些
[334.12-336.80] 那这个就主要是给一些大家
[336.80-338.28] 健身房的Owner
[338.28-342.12] 他可能觉得比较不想要有那么大的
[342.12-344.60] 不要花太多钱去买Matrix的时候
[344.60-346.40] 我们现在有提供Vision品牌
[346.40-347.64] 这个选择
[347.64-350.16] 那另外就是Horion跟Ballface
[350.16-353.44] Horion就是本来我们的家用的健身器材的品牌
[353.44-354.96] 那现在我们还有Ballface
[354.96-357.96] 所以我们把他们其实的通路差不多了
[357.96-359.44] 那所以我们把这个部分
[359.44-362.32] 都是目前本来只有Horion
[362.32-363.32] 那现在还有Ballface
[363.32-366.52] 都是我们目前集团内的家用的健身器材品牌
[366.52-369.36] 那另外的就是按摩椅的部分
[369.36-371.88] 就是Fujiyoki跟他的次品牌是Synca
[371.88-374.16] 好
[374.16-377.36] 那我们来更新一下我们的最大的客户
[377.36-381.72] 那星球健身房大概占我们集团营收大概有10个percent
[381.72-384.28] 那他目前的进展在去年年底以来
[384.28-387.20] 看他的健身房总共有2722家
[387.20-389.20] 那会员人数是1970万人
[389.20-395.40] 那在2025年的展望是他预计要新开点是160到170间
[395.40-399.16] 那太旧换新的部分大概会有130到140间
[399.16-405.52] 那也就是说他在2025年大概会有将近300间的一个器材的系统
[405.52-409.72] 这是在星球健身房的部分
[409.72-412.16] 那另外我们第二大的客户BasicFeed
[412.16-413.68] 他是欧洲的上市公司
[413.68-417.88] 也是欧洲最大的连锁健身房
[417.88-418.12] 好
[418.12-421.96] 那他这个也是他到2024年的一个状况
[421.96-425.08] 他目前健身房有1575家
[425.08-427.04] 那会员人数是425万
[427.04-431.88] 那另外他们之前有在跟大家提到说
[431.88-435.72] 他们俩他跟星球健身房两个很大的不一样是
[435.72-438.36] 星球健身房他是采加盟的
[438.36-440.48] 那BasicFeed他是采
[440.48-443.20] 直营的
[443.20-444.44] 他是采直营的
[444.44-448.08] 那我们现在看到BasicFeed他有announce说他在下半年
[448.12-453.24] 下半年会去announce他们的加盟的一个新的加盟的策略
[453.24-458.80] 那我们也是蛮期待他这样子的一个加盟的一个方式来扩增他的territory
[458.80-463.00] 那如果说他这个加盟的方式新的通
[463.00-464.36] 而且扩展顺利的话
[464.36-469.60] 我们觉得他的扩展速度在欧洲应该会是相当的快速
[469.60-476.32] 那再来就是我们的第三大美洲的拉丁美洲的SmartFeed
[476.32-478.10] 那大概在我们的营收站里面就是BasicFeed的一个方式来扩展的策略
[478.12-481.96] 那他目前健身房有1591
[481.96-484.52] 会员数有520万
[484.52-491.18] 那目前拉丁美洲是在我们集团里面算是成长最快速的一个区块
[491.18-496.04] 他在去年我们在拉丁美洲的营收成长大概有六七成左右
[496.04-501.02] 那今年我们觉得这个部分他营收成长
[501.02-504.48] YY的来讲的话还是会非常的快速
[504.48-508.08] 主要是因为拉丁美洲以往健身房的渗透率相近了一半
[508.12-513.76] 那他现在是一个属于快速扩张的一个状态
[513.76-516.56] 那对乔杉的营收贡献也算是还不错
[516.56-519.38] 那个YY就是增长了六七成左右
[519.38-522.46] 这个是我们前三大的Key Account的部分
[522.46-525.78] 跟大家说明一下他目前的进展
[525.78-531.16] 那接下来再看一下我们乔杉的2024年的一些成绩
[531.16-536.28] 我们先看我们2024年Figment的营收
[536.28-537.56] 我们可以看到2024我们商业额是在2024年
[538.12-540.68] 我们的营收大概是7成
[540.68-542.22] 家用是两成
[542.22-544.52] 按摩椅那个部分大概是一成
