[0.00-3.36] 好,各位投資朋友大家午安
[3.36-6.50] 今天真的雨很大,也謝謝大家特別趕過來
[6.50-9.76] 今天是我們今年第一季的一個碼收匯
[9.76-12.44] 在這邊我們會分三個部分
[12.44-14.90] 第一個是有關集團的營運概況
[14.90-20.36] 我們會針對通訊電源跟能源這三個核心業務布局向各位來做說明
[20.36-25.96] 第二個就是剛剛講台灣能源事業布局跟台灣能源市場布局會由Elaine來做說明
[25.96-34.56] 首先我想在報告之前我們就先做一個summary的report
[34.56-35.96] 就是在營運概況的部分
[35.96-39.06] 等一下我們可以從我們的財務報告裡面看到就是說
[39.06-42.40] 其實集團的營收實際上是持續的成長
[42.40-46.46] 從前年18億到去年是21億
[46.46-48.36] 今年1、2月是401、41億
[48.36-50.76] 雖然說成長幅度沒有那麼大
[50.76-55.06] 但是我們事實上都是維持一個10%到20%的一個成長的趨勢
[55.06-61.16] 尤其是再生能源設備它的銷售跟整個系統整合的薄利率也提升1%
[61.16-64.66] 所以表示說集團在過去兩年以來
[64.66-69.46] 在整個再生能源市場的布局是逐漸的呈現它的效果
[69.46-75.96] 第二在通訊業務的過去兩年確實通訊業務過去兩年表現的不是很好
[75.96-79.36] 主要是因為COVID那時候所遺留下來的庫存
[79.36-84.46] 所以我們在去年事實上我們也正式有把一些呆滯的部分打掉
[84.46-84.96] 那
[84.96-88.56] 它整個庫存去化目前水準都是已經去正常
[88.56-89.56] 那最重要的是呢
[89.56-90.66] 在去年第四季
[90.66-91.86] 我們通訊這邊呢
[91.86-94.56] 自主研發了一個雲端的監控系統
[94.56-96.66] 有正數跨入這個電力公司
[96.66-99.56] 就是電網現代化還有企業物聯網的市場
[99.56-102.16] 那在去年第四季有小福的出貨
[102.16-105.56] 有一個5G的路由器跟雲端管理解決方案的訂單
[105.56-109.76] 所以我們相信就是說通訊的營收在今年會逐漸的增長
[109.76-112.46] 那因為軟體部分是自主開發的
[112.46-114.86] 所以軟體這一塊的毛利率也會提升
[114.96-116.76] 那第三個呢
[116.76-119.16] 在我們傳統電源業務的部分
[119.16-121.36] 雖然我們整個營收規模並不大
[121.36-126.16] 但是因為電源這邊我們是聚焦在所謂的工商業跟資安設備
[126.16-128.36] 這些高度化客製的市場
[128.36-129.96] 所以在這個部分呢
[129.96-131.86] 我們用專屬的設計
[131.86-134.56] 還有彈性生產方案就是我們都是少量多樣
[134.56-136.06] 那這個部分呢
[136.06-139.36] 其實在過去兩年也是一個布局的階段
[139.36-142.96] 那在去年等一下我們可以看到整個電源的毛利率
[142.96-144.86] 從26.8是提升到
[144.96-148.86] 到24年的34%
[148.86-153.46] 所以呢這個競爭優勢其實我相信今年還是會再繼續
[153.46-155.96] 那第四個在能源事業的部分
[155.96-161.16] 能源事業我們剛剛從盛期2017年從代理光電設備開始
[161.16-163.96] 然後到兩年前跨入儲能
[163.96-169.36] 一直到去年集團開始跨入這個EV的充電樁跟智慧能源的管理
[169.36-173.16] 那整個全方位的一個整合的部分呢
[173.16-174.86] 在去年比較亮眼的時機就是
[174.96-178.46] 我們以太平洋海外的一個光儲的並列
[178.46-183.96] 那另外就是說等一下我們也會秀出我們表後工商儲能的一些全島的累積的暗藏
[183.96-185.96] 而且它應用場域都不一樣
[185.96-189.66] 那大型光儲魚店的這些EMS SCADA的這個限制
[189.66-192.36] 還有EVEMS平台的一些快速擴展
[192.36-193.96] 那這些豐沛時期呢
[193.96-197.26] 事實上也確立這個盛期項目的這個項目
[197.26-199.36] 所以我們可以看到這些光儲的這些項目
[199.36-202.86] 其實是在這個時間內的一個大型營業項目的一個封鎖
[202.86-203.86] 那這兩個項目呢
[203.86-204.86] 他們是在這個時間內的一個盛期項目
[204.96-208.26] 盛打的在台灣能源市場的一個市場地位
[208.26-210.16] 那最後一點就是剛剛我們總長提到
[210.16-212.76] 跟策略夥伴中美信心的一個戰略合作
[212.76-215.26] 那除了持續強化儲能布局之外
[215.26-218.36] 我們也會做工地暗藏維運資源的整合啦
[218.36-220.66] 還有暗藏開發跟綠電銷售等
[220.66-224.46] 會來掌握整個海內外市場能源的一個發展機會
[224.46-226.36] 那在財務佔要的部分呢
[226.36-229.66] 首先我們看到合併營售跟毛利率的部分
[229.66-234.26] 那去年的合併營售剛剛講20.2C YY是10%
[234.26-234.86] 1到2E
[234.86-236.16] 2月4.15億
[236.16-238.16] 那YY是10%
[238.16-240.46] 您說是持續的穩健的增長
[240.46-243.86] 那整體毛利率雖然說24年有稍微掉下來
[243.86-245.06] 那剛剛有報告就是說
[245.06-248.36] 因為通訊業務有一些貯獲的呆滯
[248.36-252.36] 可是呢在去年第四季毛利率已經回升了
[252.36-254.66] 那在綜合水益的部分
[254.66-257.66] 去年整體來講是負的0.22
[257.66-259.36] 那你剛剛講除了通訊之外
[259.36-261.56] 另外我們有個資產減損
[261.56-263.36] 資產減損我們自己持的暗藏
[263.36-264.16] 那因為保全物
[264.16-264.86] 除了這個部分
[264.86-267.06] 是依照科技原則先提列
[267.06-269.36] 那目前是在做理賠作業中
[269.36-273.86] 但是我們在Q4除掉這些非營運的因素之外
[273.86-278.66] 我們在去年第四季的ETS0.13也已經轉虧為硬
[278.66-280.06] 那在資產負債的部分
[280.06-283.36] 可以看到就是說我們的合約負債跟旅行的合約成本
[283.36-284.96] 都是持續的增加
[284.96-288.56] 所以表示說暗藏這個部分還是很順利在進行
[288.56-290.16] 那整體來講
[290.16-292.66] 24年的現金部位大概6.6億
[292.66-294.16] 從或是2.87億
[294.16-296.36] 總資產38.81億
[296.36-298.66] 所以流動比率179%
[298.66-300.16] 負債比率是36
[300.16-303.46] 所以表示說整個財務結構來講還是穩健的
[303.46-307.96] 那這是整個信跟各位報告整個集團的一個營運概況
[307.96-311.16] 那接下來我們看圖就快一點
[311.16-312.16] 就剛剛講了
[312.16-316.16] 就是說整個營收事實上是一個持續的一個成長的趨勢
[316.16-318.16] 在毛利率的部分
[318.16-319.66] 各位可以看到就是說
[319.66-322.16] 黃色這一條是24年
[322.16-323.46] 綠色是23嘛
[323.46-323.96] 那剛剛說的就是這個黃色這一條是24年
[323.96-327.16] 那通訊的部分剛剛有提到營收稍微下來
[327.16-328.96] 然後毛利率也下來一點
[328.96-332.96] 那電源的部分剛剛就講從26.8到34
[332.96-337.26] 然後這次能源設備是從17.7到18.7
[337.26-340.16] 那這中間這個為什麼它毛利率差這麼多
[340.16-344.96] 其實就是我們在前年有賣掉一個太陽能電廠
[344.96-346.96] 那個電費收入比較高
[346.96-351.56] 那另外當然我們也有支持小規模的DREG的儲能暗廠
[351.56-353.26] 那大家也知道現在都是負毛利的
[353.26-355.96] 但是我們自己持的這個儲能暗廠
[355.96-358.96] 我們現在其實市場有一廠已經轉EDREG
[358.96-362.46] 那另外一廠剛剛講就是保全在處理中
[362.46-366.96] 那另外兩廠其實我們都在做一個績效提升的一個改善方案
[366.96-368.96] 但是那影響部位很小
[368.96-375.26] 那綜合選議表的部分剛剛看過我就不多說
[375.26-376.96] 選議表 資產不賴表
[376.96-379.96] 那在組織的部分就是說
[379.96-382.56] 各位投資朋友對我們公司落手
[383.26-386.96] 那我們這個組織其實在這兩三年一直在變動
[386.96-388.96] 那原則上就是說
[388.96-391.96] 藍色就是我們現在的網通
[391.96-394.96] 網通就是剛剛講就是生產這個通訊產品
[394.96-396.96] 然後我們美國公司BEC
[396.96-398.96] 那工廠是在台灣
[398.96-401.96] 那能源的部分就是從傳統的電源
[401.96-403.96] 然後增加了宜蘭的組裝廠
[403.96-406.96] 然後就是從盛啟利2017年
[406.96-409.96] 是真正的這一次能源業務的一個主體
[409.96-412.96] 再加上工廠 成瑞廠 台中的這個Pegner廠
[413.26-415.26] 跟聖衣淨好 是充電樁
[415.26-418.26] 跟那個太陽能電流器
[418.26-420.26] 二線品牌的太陽能電流器
[420.26-422.26] 然後最右邊那些項目公司
[422.26-424.26] 事實上是我們資產管理的一環
[424.26-427.26] 那在這張圖要跟各位報告就是說
[427.26-430.26] 我們在去年底發說會有跟各位投資朋友講說
[430.26-432.26] 我們要開始跨入海外市場
[432.26-436.26] 所以我們在日本跟澳洲都有設立這公司
[436.26-439.26] 而且它是直接隸屬在盛啟利的下面
[439.26-443.26] 就是說我們今年到明年二十年
[443.26-445.26] 到後年三年的一個海外拓展計畫
[445.26-447.26] 為盛啟利為主
[447.26-450.26] 那目前主要所定市場是在日本跟澳洲
[453.26-456.26] 好 那接下來我就講一下網通的部分
[456.26-457.26] 剛剛提到網通的部分
[457.26-460.26] 事實上我們是看到現在網通的三個發展趨勢
[460.26-462.26] 一個就是utility 數位化
[462.26-464.26] 因為大家知道說電網現代化
[464.26-468.26] 智慧電網這個部分其實對於網路的這個安全性
[468.26-472.26] 跟穩定性跟它的傳遞的速度都有非常高的要求
[472.26-477.26] 所以呢在這個部分其實北美這邊有一些5G跟RT專網品段開始釋出
[477.26-482.26] 所以我們其實拿到那個指標型訂單事實上已經不可兩年
[482.26-483.26] 在去年才拿到
[483.26-486.26] 那隨著就是說整個這個AI伺服器需求
[486.26-489.26] 大家整個網路需求用電量增加
[489.26-492.26] 所以這個電力工商對於這個電網的安全性
[492.26-494.26] 要求是大概越來越高
[494.26-498.26] 所以我們其實覺得這一塊在北美市場是有相當大的一個機會
[498.26-500.26] 那第二個企業物聯網的部分呢其實也是一樣喔
[500.26-501.26] 其實也是一樣喔
[502.26-505.26] 就是說你現在凡事務必聯網嘛
[505.26-510.26] 所以在這個地方其實透過現在BEC所發展出來的雲端監控軟體
[510.26-511.26] 像有一些連鎖商店
[511.26-515.26] 像Pisa Ha啦或者是有些連鎖商店
[515.26-518.26] 它就是透過我們來做一個雲端的監控
[518.26-521.26] 那這個部分在去年也確實有拿到訂單
[521.26-524.26] 我想這個商業模式也都是一個可以複製的
[524.26-526.26] 那最後是5G的導致就是說
[526.26-530.26] 大家也知道我們BEC這邊主要是在做北美比較偏鄉地區
[530.26-532.26] 因為它基礎建築是很高的
[532.26-537.26] 所以我們在北美這邊其實事實上都有一定的市佔率
[537.26-541.26] 那這個部分呢雖然說其實有很多的補助方案
[541.26-543.26] 雖然川普上來有稍微Pending
[543.26-547.26] 但我們現在看到的需求就是整個貸換機的這個時間呢
[547.26-550.26] 經過COVID之後大概經過三四年
[550.26-553.26] 該有的都已經已經換都換
[553.26-554.26] 我現在是開始要貸款的
[554.26-556.26] 就是舊的地方也是在等嘛
[556.26-558.26] 他們本來在4G一直等等5G
[558.26-562.26] 所以其實這個需求我們今天看到也還不錯的一個需求
[562.26-564.26] 有出來
[564.26-567.26] 所以整個來講就是我們整個業務的話
[567.26-571.26] 就剛剛講電力公司現代化這個部分
[571.26-574.26] 就是有得到指標型訂單
[574.26-578.26] 然後企業托管也拿到多家連鎖商店訂單
[578.26-581.26] 5G FWA就是我們原來北美市場的產品
[581.26-588.26] 那另外這邊其實就是說我們現在剛好在美國這邊有一個
[588.26-591.26] Distributed 2025的展會
[591.26-594.26] 那我們這邊就是說我們跟電力公司合作是
[594.26-596.26] 我們跟電信機站一起來合作
[596.26-600.26] 因為Nokia、Erison我們是同台去展出我們自己的機器
[600.26-605.26] 那在這個展覽裡面事實上右邊可以看到我們同時在五個步子
[605.26-607.26] 都有我們自己BEC的產品
[607.26-612.26] 所以我們相信說這個對於通訊業務來講
[612.26-617.26] 今年應該是會一個很好的一個開始
[617.26-620.26] 可以有一個蠻好的
[620.26-622.26] 成果
[622.26-626.26] 那傳統電源的部分剛剛有跟各位報告過
[626.26-632.26] 就是我們就是著重在這個工商業跟資安設備的一些高效能解決方案
[632.26-634.26] 那當然我們也強化高功率
[634.26-637.26] 除了傳統比較小瓦數60瓦以下的產品之外
[637.26-641.26] 我們事實上在過去一年也開始從120開發到330
[641.26-643.26] 那目標要做到400瓦
[643.26-647.26] 那另外呢也從原來後行我們現在開始聚焦在保險的部分
[647.26-650.26] 然後照我們也找到很好的供應商的方式來做這個發展
[650.26-652.26] 那我們的工商成本是相當有競爭力的
[652.26-658.26] 所以我們在這邊呢ODM的業務的毛利率也都還不錯
[658.26-662.26] 那我們的產品就是傳統的這種電源工器桌上型
[662.26-667.26] 那還有剛剛講專屬電源Powerboard的部分
[667.26-671.26] 好那我們講能源實機的部分
[671.26-680.26] 能源實機的部分這邊其實就是各位可以看到我們就是在各個項目的能源實機的表現
[680.26-682.26] 那我直接跳下一頁好了
[682.26-688.26] 那這是去年最大的一場中區雲林地區最大一場EDREC的暗場
[688.26-691.26] 那各位可以看到說其實它蓋之前是這樣
[691.26-693.26] 蓋完以後是這樣
[693.26-698.26] 所以其實這整個工程建置呢大概花了15個月的時間
[698.26-701.26] 那是中中部地區最大的一個EDREC的暗場
[701.26-704.26] 可以供2.5萬戶一整天的用電
[704.26-710.26] 那這個呢其實也展現了盛啟整個輸電基因用一個儲能統包的實力
[710.26-712.26] 這是相當不容易的
[712.26-716.26] 那接下來呢就是一些電網型儲能暗場
[716.26-720.26] 那因為之前都講過那我這邊框三個就是EDREC的暗場
[720.26-722.26] 這個是我們自己的暗場
[722.26-725.26] 然後那個台南這個都客戶的暗場
[725.26-728.26] 然後電池其實也都有用SAT或TESLA
[728.26-731.26] 那就右邊剛剛那個是我們的雲林暗場
[731.26-734.26] 那這個是已經在運作的實機
[734.26-738.26] 然後儲能的部分這個是海外離島
[738.26-740.26] 海外離島的一個帛琉光儲能
[740.26-742.26] 我們可以用電網來儲微電網
[742.26-744.26] 配合這個國合會的一個案子去
[744.26-747.26] 帛琉、土瓦魯跟馬紹爾
[747.26-752.26] 那麼有的地方我們就協助他們的孤島獨立來運作這個電網
[752.26-757.26] 那另外這些呢都是已經在建置中的表後儲能案件
[757.26-759.26] 那各位可以看到我上面那個黑字就是說
[759.26-762.26] 我們現在表後儲能的應用場景是非常多元
[762.26-765.26] 其實表後儲能它需要的是非常高度客製化的
[765.26-768.26] 不是像表錢就是大家跟台電來做交易
[768.26-771.26] 那這邊可以看到就是說我們有離島的案子
[771.26-773.26] 也有電子屏主建製造業
[773.26-778.26] 甚至消防局本身也跟我們採用這個儲能的設備
[778.26-781.26] 那紡織業、水泥廠、飯店也是
[781.26-783.26] 還有校園尾電網
[783.26-787.26] 所以可見這個表後儲能的應用是非常的多元
[787.26-789.26] 那供電暗場的部分
[789.26-795.26] 這個是過去盛期很大型的地面型77Megaton台南13.7
[795.26-797.26] 那這個是充電樁的部分
[797.26-799.26] 雖然我們現在支數還沒有很多
[799.26-800.26] 因為才剛開始
[800.26-806.26] 但是我們事實上在去年就已經有一個單一暗場98支的充電樁
[806.26-808.26] 雖然台灣是比較少見
[808.26-811.26] 因為那大概都比較分散
[811.26-814.26] 那整個實機總染就是說
[814.26-815.26] 我們以台灣來講
[815.26-817.26] 就剛剛講光電暗場的部分
[817.26-822.26] 集團現在總共服務有超過1800個太陽能電站的併網
[822.26-826.26] 那維運的部分呢光電有30場32.7
[826.26-831.26] 儲能的話24場362.2MW
[831.26-833.26] 那可以看到就是說表前的部分
[833.26-836.26] 從前兩年前我們現在已經完成19場
[836.26-839.26] 今年再完成5場就是24場
[839.26-841.26] 表後我們在去年已經做完13場
[841.26-843.26] 目前洽談中有10場
[843.26-846.26] 總建置量是97.2MW
[846.26-849.26] 那光廚的EMS SCADA跟光沖廚的部分呢
[849.26-851.26] 預計今年要做完4場
[851.26-853.26] 因為他的這個暗量是比較大
[853.26-855.26] 然後有193.7MW
[856.26-858.26] 洽談中還有4場
[858.26-862.26] 另外就是我們台中成瑞的電磁模組的出貨
[862.26-864.26] 從去年開始呢
[864.26-866.26] 因為他是前年才上線
[866.26-867.26] 去年開始不去接
[867.26-871.26] 但那電磁模組出貨在去年有11.8MW
[871.26-874.26] 洽談中還有66.0MW
[874.26-877.26] 那右邊的部分就是我們日本跟澳洲的實機
[877.26-879.26] 等一下我們請Elaine來說明
