[0.00-5.92] 好,各位投资先进、分析师朋友、媒体伙伴以及线上的同仁们大家好
[5.92-10.12] 欢迎各位参加加币奇2025年第一季法说会
[10.12-13.96] 也谢谢大家一直以来对加币奇的支持跟关注
[13.96-16.34] 我是公司的发言人易伟林
[16.34-19.88] 今天会由我为各位说明前几页的简报内容
[19.88-25.04] 并由我们的管理团队进一步分析整体的营运情况以及产品动态
[26.92-29.22] 在开始之前先提醒各位
[29.22-36.36] 本简报中有部分前瞻性的陈述是根据目前的营运以及市场状况所做的推估
[36.36-40.42] 实际结果可能因为各种外部的因素而有所不同
[40.42-44.54] 还请各位投资先进多加留意并审慎评估
[44.54-49.96] 今天与会的包含我们的董事长张淑美董事长
[49.96-52.34] 她将与会后亲自回答QA
[52.34-54.20] 财务长Jeff副总
[54.20-56.98] SCI业务负责人阿咪副总
[56.98-59.20] DNT产品PMYK
[59.22-62.22] 以及光产品线的负责人孙博士
[62.22-67.22] 也都会在后续的简报以及问答中与大家进一步的交流
[67.22-70.22] 本次的简报分为三个部分
[70.22-73.22] 首先是由我这边进行公司现况的说明
[73.22-81.22] 让大家快速掌握加比起在AI资料中心等核心市场的最新发展以及策略方向
[81.22-86.22] 接着将由三位SPM介绍他们所负责的产品与业务领域
[86.22-89.22] 分享第一线的市场洞察以及业务领域的发展和计划
[89.22-90.22] 以及成长机会
[90.22-92.22] 最后我们会进入QA时间
[92.22-97.22] 由张董事长与各位主管一同回答大家关心的问题
[97.22-100.22] 诚挚欢迎各位踊跃提问以及交流
[100.22-104.22] 那我们就继续往下看今天的简报内容
[106.22-109.22] 首先先跟各位分享一个好消息
[109.22-112.22] 在2025年的NVIDIA GTC技术大会上
[112.22-116.22] 加比起很荣幸以AI基础建设
[116.22-118.22] 关键连接解决方案供应商的角色
[118.22-119.22] 加比起很荣幸以AI基础建设关键连接解决方案供应商的角色
[119.22-122.22] 与全球领先的伙伴共同亮相
[122.22-126.22] 在这次展出我们聚焦于三大核心解决方案
[126.22-132.22] 一、高效率耐高电流的60A ORV3电源线束
[132.22-137.22] 二、为次世代AI机会设计的Busbar供电方案
[137.22-145.22] 三、支援PCIe Gen6包含MCIO GenZ等超高速连接的互联产品
[145.22-148.22] 这些产品以成功纳入NVIDIA的NGX ecosystem
[148.22-150.22] 这些产品以成功纳入NVIDIA的NGX ecosystem
[150.22-157.22] 代表加比起在AI伺服器、供电以及高速传输领域的专业实力以及稳定的供应能力
[157.22-162.22] 其中GB300内部的Cable就涵盖了我们很多个料耗
[162.22-168.22] 整体来看我们是唯一一家有六种产品同时被采用的台湾厂商
[168.22-175.22] 这样的技术能量以及产品深度是我们迈向全球AI基础建设供应链的重要一步
[175.22-177.22] 也带来更多延伸的国际合作以及商机
[177.22-182.22] 进一步强化加比起在产业中的关键角色
[182.22-191.22] 再来看看这一页是我们在OCP协会中已通过正式认可的产品贡献项目
[191.22-198.22] 画面左侧请看目前JPC在OCP平台上已成功注册并且合格的产品
[198.22-202.22] 包含1. ORV3 AC电源连接器限速
[202.22-205.22] 2. UQD 水冷接头
[205.22-207.22] 这些都是针对资料的设计计划
[207.22-209.22] 3. 开放中心以及高效能运算设计
[209.22-212.22] 符合OCP的开放结构标准
[212.22-216.22] 画面右侧也可以看到我们集团伙伴Astron
[216.22-219.22] 提出的多项通过OCP的产品设计
[219.22-223.22] 其中有几项是由JPC协同开发以及供应的模组
[223.22-231.22] 整体来看,我们的OCP认可的产品涵盖了从电源冷却到高速传输等各个领域
[231.22-234.22] 展现我们在全球开放标准生态系中
[234.22-235.22] 从参与者迈向推动者的角色
[235.22-237.68] 参与者迈向推动者的角色定位
[237.68-241.70] 这也是国际客户选择加币期的重要基础之一
[241.70-246.08] 那我们来看一下法人朋友很关心的
[246.08-248.28] 主要的市场跟销售占比
[248.28-252.12] 我们在2024年全年的销售市场结构分析
[252.12-253.72] 主要分为两大板块
[253.72-257.14] 其中左侧是数据网络电信
[257.14-260.24] 它占的总营收约54%
[260.24-264.14] 其中以AI GPU Server为主的应用成长
[264.14-265.40] 是最为明显的
[265.40-268.60] 在2024年占比已达50%
[268.60-273.18] 未来在大型AI计算中心的持续扩建下
[273.18-277.72] 我们预计2025年仍会有进一步的成长动能
[277.72-281.14] Server Storage Switch TOR
[281.14-283.92] 这些应用也维持稳健的发展
[283.92-286.22] 资料中心内部的供电
[286.22-289.98] 以及高速部件的需求仍在持续的增长中
[289.98-293.52] 请看一下右侧是我们智能连结
[293.52-294.12] 在2024年占比以达50%
[294.12-297.74] 2024年它占了总营收约40%
[297.74-302.16] 这部分涵盖了Gaming、消费性电子、工厂自动化
[302.16-306.88] 以及EV、车用电子、除能等等新兴应用领域
[306.88-310.96] 其中工业自动化随着智慧制造的趋势
[310.96-312.84] 加上新客户的导入
[312.84-316.44] 2025将会是成长的动能之一
[316.44-318.82] 高压除能以及车用电子的部分
[318.82-323.36] 我们也与日系、欧美的车厂专案持续合作
[324.12-325.44] 并展新的品牌客户
[325.44-330.22] 虽然Gaming跟CE市场目前较为稳定、持平
[330.22-332.80] 但我们在高频高速连接的技术
[332.80-336.72] 以及服务整合的优势上是非常有竞争力的
[336.72-338.00] 整体来看
[338.00-341.92] 我们预期2025年将延续目前良好的成长轨迹
[341.92-346.32] 持续聚焦在高附加价值、高技术门槛的应用领域
[346.32-349.40] 深化客户的合作、强化产品组合
[349.40-353.02] 接下来我们来看一下
[353.02-354.10] 加比奇在AI工业的技术业界的合作和合作
[354.12-355.82] 和供应链关键客户的布局
[355.82-359.46] 在AI伺服器相关应用方面
[359.46-363.76] 加比奇已经建立起完整而且具策略性的客户生态系
[363.76-369.68] 目前这部分产品已经占到Data Center跟Telecom营收的约5成
[369.68-373.96] 也反映出我们在高阶伺服器连接领域的深度参与
[373.96-376.04] 从这张图可以看出
[376.04-378.98] 我们的核心客户类型主要分为三大类
[378.98-381.66] 首先是GPU晶片大厂
[381.80-384.12] 我们加比奇以正式列名为
[384.12-386.34] NVIDIA MGX Ecosystem
[386.34-387.84] 成为生态系的一员
[387.84-390.18] 这不仅是技术规格的认可
[390.18-393.64] 也象征稳定供应能力跟长期的合作关系
[393.64-399.72] 第二是具备指标意义的超大规模AI基础建设专案
[399.72-403.18] 我们目前是其中的主要供应商之一
[403.18-406.36] 负责提供高效能、高可靠性的电源
[406.36-407.96] 以及高速连接模组
[407.96-410.78] 这样的参与也让我们的产品
[410.78-413.92] 在全球的AI基础设施中落地应用
[414.12-418.22] 对,GP200是
[418.22-421.32] 那第三部分呢
[421.32-423.60] 就是AI应用端的云端服务业者
[423.60-426.58] 我们已获得部分终端客户的推荐跟指定
[426.58-431.08] 强化了我们在产品整体供应链中的可信度跟能见度
[431.08-434.44] 那这三大类型的客户架构将会是我们
[434.44-436.54] 2025年推动业绩成长
[436.54-438.86] 扩大市占率的重要基石
[438.86-444.10] 接下来呢
[444.12-448.58] 这一页是我们在全球产能扩张的最新进度
[448.58-450.36] 首先在越南地区
[450.36-454.68] 我们目前已经在北越、南越分别设有两处生产基地
[454.68-457.22] 其中北越厂已经完成扩建
[457.22-459.16] 并正式进入量产阶段
[459.16-462.64] 这一次扩建新增了9条高速线路
[462.64-464.12] 以及电源自动化产线
[464.12-466.34] 还有4条的自动组装线
[466.34-469.36] 整体的产能提升约30%
[469.36-472.82] 这将大幅提升我们在亚太区的供应弹性
[472.82-473.42] 呃
[473.42-474.10] 供应弹性
[474.12-476.42] 交货以及交期的稳定性
[476.42-480.78] 特别是针对AIS服务器客户的即时出货需求
[480.78-481.66] 在美国部分
[481.66-487.94] 我们的子公司JPCPP也同步展开产线升级跟搬迁的作业
[487.94-490.10] 目前正准备迁往新址
[490.10-493.00] 规模将会是比原址的两倍大
[493.00-497.06] 并同步新增NPI产线跟仓储的设施
[497.06-500.54] 未来将更有效支援美国客户的在地需求
[500.54-501.90] 提升反应的速度
[501.90-503.18] 缩短交期
[503.18-503.54] 强化
[503.54-506.24] 我们在北美市场的服务能量
[506.24-507.06] 整体来看
[507.06-511.18] 这两个据点的扩建是我们全球供应策略中的核心行动
[511.18-516.44] 为我们2025年之后的大型专案量产提前做好产能跟弹性的准备
[519.78-520.50] 最后两页
[520.50-523.22] 再大家来看一下加比奇的财务绩效
[523.22-523.88] 这一页呢
[523.88-526.42] 是加比奇近三年的财务绩效摘要
[526.42-528.98] 我们可以先看一下红色的柱状图
[528.98-530.48] 它是营收表现
[530.48-533.00] 从这个柱状图可以看出我们的营收是持续
[533.00-534.08] 稳健成长
[534.08-536.36] 2022年是43.4亿
[536.36-542.00] 2023年提升至49.6亿到2024年提升到67.7亿
[542.00-543.74] 年增是超过三成
[543.74-545.96] 反映出客户需求持续扩大
[545.96-549.74] 以及我们在AI伺服器供应链中的关键角色
[549.74-552.26] 再来请大家看一下红色的折线
[552.26-554.06] 这是基本的美股盈余
[554.06-556.40] 美股盈余的表现也是同步提升
[556.40-558.18] 2022年3.6
[558.18-559.76] 2023.2
[559.76-562.04] 2024已经达到8.69
[562.04-562.84] 这三年来的承受性是非常高的
[562.84-562.98] 这三年来的承受性是非常高的
[563.00-564.62] 我们的营收成长超过140%
[564.62-567.26] 展现我们获利能力的稳步提升
[567.26-569.18] 整体来看
[569.18-571.76] 营收跟美股盈余的双回增长
[571.76-574.34] 主要来自于我们持续投入高阶连接器
[574.34-577.96] AI高功率限速等产品的研发跟交付能力
[577.96-581.82] 也显示我们营运体质的稳健及我们的效率
[581.82-586.22] 除了营收跟美股盈余的成长
[586.22-588.58] 我们也关注股东权益的长期回报
[588.58-589.90] 过去三年
[589.90-591.94] 我们的平均殖利率为4%
[591.94-592.98] 提供稳定的产品
[593.00-593.74] 并且有增加了我们的现金回报
[593.74-596.38] 对于重视现金收益的投资人来说
[596.38-597.94] 这是一个具吸引力的水准
[597.94-602.04] 同时我们的平均股利配发率达83%
[602.04-605.18] 显示公司盈余大多回馈给股东
[605.18-607.94] 具备高度的股东友善政策
[607.94-610.20] 在整体的财务报酬面
[610.20-612.64] ROE为20.48%
[612.64-615.28] 反映出我们有效运用股东资金
[615.28-617.02] 创造良好的报酬能力
[617.02-619.24] 这些指标综合起来
[619.24-622.22] 说明加密奇不仅在营运成长上表现稳健
[622.22-622.84] 在股东回报上
[622.84-625.08] 也呈现出高度的承诺
[625.08-628.34] 以上是我这边简单的先跟各位报告
[628.34-629.60] 公司目前的现况
[629.60-630.84] 那接下来呢
[630.84-633.56] 我就请我们的YK产品经理
[633.56-634.68] 跟大家分享一下
[634.68-637.34] 高速连接器的产品现况
[637.34-648.44] 各位投资界的现金
[648.44-649.88] 各位法人朋友
[649.88-651.02] 各位媒体朋友
[651.02-652.08] 我是
[652.08-652.84] 加密奇
[652.84-657.48] 负责高速同产品的PM
[657.48-658.28] 我是YK
[658.28-662.56] 那今天由我来跟各位介绍
[662.56-666.52] 加密奇在整个AI的生态系上
[666.52-668.08] 我们目前拥有
[668.08-674.12] 以及持续在开发跟进步的一些连接的方案
[674.12-677.64] 那如果各位在画面上所看到
[677.64-681.36] 这就是我们今年在GTC2025
[682.84-687.96] 这个会场在MGX的生态系里面
[687.96-694.12] 所有的产品就被罗列在这样子的一个展示墙上
[694.12-702.68] 那我们从左侧的大电源到右侧上方的高速连接方案
[702.68-709.36] 还有右侧下方的整个Busbar的一个电源解决方案
[709.36-711.88] 那几乎在这些
[712.84-718.12] 板块上面都有加密奇的产品列名其中
[718.12-722.84] 那我们接下来为各位来做一个分项的解说
[722.84-731.28] 那首先是加密奇在高速连接方案的产品
[731.28-733.32] 在限速的部分
[733.32-738.96] 加密奇提供GB300MGX整个生态系里面
[738.96-741.00] 所有的高速传输
[741.00-742.72] 那内含
[742.84-745.40] PCIe Gen6的产品
[745.40-750.00] 如MCIO GenZ或PCIe的Riser
[750.00-758.32] 那我们在下一页我们有更细致的一个图解的部分
[758.32-759.04] 麻烦
[759.04-762.24] 先下一页好了
[762.24-763.80] 我们再回头来看一看
[763.80-764.46] OK好
[764.46-769.18] 那这是一个GB的架构
[769.18-771.54] 那如各位所见
[771.54-772.80] 我们从
[772.84-774.88] 从左上方开始
[774.88-779.76] GenZ 4G 4G Plus这样子的一个连接器跟限速
[779.76-784.62] 一直到MCIO Gen6的这样子的一个限速
[784.62-788.20] 那到右侧MultiTrack
[788.20-790.50] 这样的连接器跟限速
[790.50-791.52] 那还有
[791.52-796.40] 针对主板到扩充卡之间PCIe Riser的Cable
[796.40-801.52] 所有高速讯号的传输加密奇都参与其中
[801.52-805.62] 那这样的产品也在会场的展示墙上
[805.62-808.44] 公开的向各界来做展示
[808.44-809.72] 那提供
