[0.00-7.50] 漢翔航空工業股份有限公司線上法人說明會即將會在兩分鐘之後開始
[7.50-12.98] 那今天我們法說會的議程會先進行簡報
[12.98-14.92] 簡報完之後會進行QA
[14.92-22.62] QA會優先回覆會長的提問單之後再開放線上文字提問以及語音提問
[30.00-33.68] mamto. nutzen 乙
[60.00-89.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 感谢观看
[120.00-149.98] 感谢观看
[150.00-179.98] 感谢观看
[180.00-209.98] 感谢观看
[210.00-239.98] 感谢观看
[240.00-269.98] 感谢观看
[270.00-299.98] 感谢观看
[300.00-329.98] 感谢观看
[330.00-359.98] 感谢观看
[360.00-389.98] 感谢观看
[390.00-419.98] 感谢观看
[420.00-449.98] 感谢观看
[450.00-479.98] 感谢观看
[480.00-482.00] 感谢观看
[482.00-509.98] 感谢观看
[510.02-512.00] 看� Davide
[512.00-512.74] поб
[512.76-516.00] 感谢观看
[516.00-516.96] � bro
[516.98-517.76] 麦
[517.78-519.88] 等等
[519.92-522.00] 身
[522.00-523.00] 郎
[523.02-524.44] 陸
[524.46-526.20] 宗
[526.22-529.48] 忠
[529.50-531.58] 登
[532.92-533.58] 有
[533.62-534.16] 啥
[534.18-534.88] 童
[534.90-538.64] 迷
[538.66-539.08] лять
[539.10-539.56] 竹
[539.60-540.00] 味
[540.00-542.28] 为电网的这个电力导的启用
[542.28-543.42] 大家都很清楚
[543.42-547.58] 那我希望这样能够带动我们未来整体的一个转型
[547.58-550.12] 也能够希望立下一个很好的一个基础
[550.12-553.04] 所以接下来请我们秦处长
[553.04-555.28] 为各位做一个营运部分的一个简报
[555.28-556.50] 谢谢大家
[556.50-560.18] 好谢谢金副总
[560.18-564.02] 那接下来有请汉祥公司的秦处长
[564.02-565.64] 针对目前的营运状况
[565.64-567.52] 向各位来宾提出简报
[567.52-569.12] 那有请秦处长
[570.00-571.26] 各位法轮朋友
[571.26-573.82] 那接下来就公司的营运
[573.82-577.32] 做一个重点的是一个报告
[577.32-580.68] 那在刚刚我们金副总的一个支持中
[580.68-583.62] 其实也大概将公司去年
[583.62-587.02] 还有今年的一些的重点都有说明的
[587.02-591.14] 那稍后我在就所没有报告到的部分
[591.14-592.00] 做一个补充
[592.00-594.00] 那再做一个说明
[594.00-594.50] 好谢谢
[594.50-599.98] 好那我今天报告的部分
[599.98-602.74] 我先把这个部分共分为五点的一个部分
[602.74-604.74] 那在下一页
[604.74-607.74] 那刚刚已经提到了就是整个的营收
[607.74-610.92] 基本上是比去年是成长的
[610.92-613.38] 而且是创了历史的一个新高
[613.38-615.54] 那从这个业务的占比来看
[615.54-616.82] 在去年来讲
[616.82-620.54] 我们整个业务占比跟前年来讲是相当的
[620.54-623.00] 大概都是五十几%
[623.00-625.52] 是占我们营收的一个五十几%
[625.52-627.64] 那在民用业务的
[627.64-629.78] 民用业务的部分大概是占的四成之一
[629.98-630.74] 左右
[630.74-632.68] 那是比去年是成长的
[632.68-633.88] 那在科技服务的部分
[633.88-636.92] 基本上是只有两%的一个部分
[636.92-638.68] 是比去年还要衰退
[638.68-642.32] 那这是大概的业务占比的一个部分的一个补充说明
[642.32-644.14] 再来演
[644.14-648.38] 那从这页里面我们可以看到整个信用市场来讲
[648.38-650.98] 我们主要要跟各位报告的是说
[650.98-654.58] 在习政院所公告的这个军工产业
[654.58-656.52] 就是赖总统的五大信贷产业里面
[656.52-659.78] 在军工的部分主要是为了打造国防
[659.98-663.44] 产业的自主能量和能量
[663.44-664.74] 那这跟过去一样
[664.74-666.88] 我们所推动的国防自主这个部分
[666.88-672.74] 基本上他所强调的部分是在于无人机的一个飞行供应链的部分
[672.74-677.98] 那所以在这个部分他的推动策略就是希望能够利用我们内需的市场
[677.98-684.12] 也就是说他在前一阵子所推动的军用商规的这些无人机的一个建立
[684.12-688.44] 那在国内建立这样一个希望大家开发这些能量
[688.44-689.94] 那同时呢也希望就是
[689.98-694.98] 在我们所短缺的这个反制系统的部分能够就技术上的一个提升
[694.98-700.88] 那在去红的一个部分基本上是为了能够扩大这个国际合作的一个机会
[700.88-705.88] 因为那个美国他的一个去红供应链的一个政策之下呢
[705.88-711.28] 我们认为就是说他可以帮我们去争取更多的一个业务商机单元
[711.28-717.34] 所以这个部分就是整个无人机的一个系统整合一个部分的一个推动策略
[717.34-719.28] 那在整个来讲
[719.98-725.28] 我们在航太的部分基本上虽然没有继续国际国造的这个部分的政策来讲
[725.28-729.88] 我们基本上还是在飞机的一个系统圈的一个部分
[729.88-731.58] 我还是趋势去做发展
[731.58-733.28] 这个也是一个重点的一个部分
[733.28-739.18] 另外就是所谓的蓝奶的一个部分就是锻造技术的一个开发的一个部分
[739.18-741.18] 那这个也是我们未来的一个重点
[741.18-744.18] 同时呢在F16的一个部分
[744.18-747.98] 因为国家新做了66架的这个F16战机
[747.98-749.82] 那所以整个未来的一个机会是什么呢
[749.98-753.88] 就是在这个部分的这个制造这个机会有200多架
[753.88-756.68] 那在这个部分整个去建立这个自主能量
[756.68-758.38] 这个也是未来整个推动重点
[758.38-764.38] 所以在这个情形下我们可以看到行政院主题书在整个国防预算的一个一个编列上
[764.38-766.38] 他是逐年是提高的
[766.38-771.38] 以今年来讲他是编了4674亿的一个国防预算
[771.38-779.82] 那再像历年来就是已经编了就是所谓的一个特别预算去采购新机的这些加起来高达5578亿左右
[779.98-787.98] 那在这个情形下的汉祥公司目前最重要的还是在这个高较机的一个量产的一个作业
[787.98-792.98] 那另外就是所谓高较机的一个维保的一个业务
[792.98-799.98] 因为高较机目前到今年已经交完了今年有18架
[799.98-802.98] 是原来依照合约要交的18架
[802.98-804.98] 那明年还有3架
[804.98-809.98] 那整个来讲已经交的飞机来讲现在也已经有两架了
