[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.60] 进行15到20分钟的简报说明
[32.60-36.70] 那在简报说明过后会开放给各位法人提问
[36.70-39.06] 那这边我们时间交给林经理
[39.06-44.90] 好 谢谢Line 谢谢第一金证券的这个支持
[44.90-50.46] 然后也让我们这个机会跟各位法人跟各位投资先进
[50.46-52.24] 有一个简单的沟通
[52.24-56.46] 那因为我们其实上个月才刚开完法术会
[56.46-59.98] 那第一季的数字也很明显
[59.98-62.72] 没有正式消化跟公布
[62.72-66.84] 所以我们大概第一季的东西可能不会讲太多
[66.84-71.72] 主要还是以去年一整年的一些业绩的一些表现做说明
[71.72-76.28] 那当然我们在QA这部分也是可以做一些交流
[76.28-80.88] 那如果以看我们去年的这个业绩表现来看的话
[80.88-85.22] 我们去年整体的获利还是再创新高
[85.22-88.30] YY也成长了大概5%
[88.76-89.92] 也算是
[89.92-97.80] 在继前年跟去年之后又再次有一个不错的表现
[97.80-103.80] 那当然因为我们在非银行子公司像票券 证券
[103.80-106.22] 去年获利也都非常好
[106.22-112.44] 所以说虽然说银行因为有一些
[112.44-116.78] 比如说美国的这些商办的一些提存
[116.78-118.70] 或者说换汇交易
[118.70-119.90] 或者说换汇交易
[119.92-124.00] 可能因为升息的关系 降息的关系
[124.00-129.80] 所以有影响到部分的这个交易财超的收入
[129.80-133.80] 所以说去年银行是没有比前年来的高
[133.80-138.00] 但是也维持大概284亿的这个表现相当不错
[138.00-147.00] 那当然证券跟票券因为这个去年股市的交易量
[147.00-149.76] 还有这个表现都非常好
[149.92-152.80] 而且这些货币的收入也非常的强劲
[152.80-158.80] 所以说我们证券的earning是比前年来的成长27%
[158.80-165.80] 那票券因为整体的这个短期跟长期的财务操作
[165.80-170.80] 虽然说利率没有像预期大幅的降息
[170.80-175.80] 它没有办法去实现它账上的这些债券的利益
[175.80-179.80] 但是它去年也都比前年成长了15%
[179.92-182.80] 所以说我们的这个收入是比前年来的高
[182.80-184.80] 所以说我们的这个收入是比前年成长了15%
[184.80-186.80] 那其他像创投啦 投信啦
[186.80-190.80] 都比去年大概表现起来都有蛮不错的成绩
[190.80-195.80] 甚至连产险都摆脱了这个防疫保单的相关的这些压力
[195.80-198.80] 在去年有4亿的这个获利
[198.80-204.80] 那如果我们看这个整体的我们营运策略
[204.80-209.84] 我们过去两年来设立了一些1234的这个行业
[209.92-212.92] 我们的这个4块有三大支柱
[212.92-215.92] 还有两大聚焦的这些执行啊
[215.92-221.92] 都还是维持在这个我们这个策略营运策略上面
[221.92-225.92] 那这个特别是非银行子公司啊
[225.92-227.92] 像证券啊
[227.92-230.92] 它的这个表现也非常好
[230.92-235.92] 然后特别是在两这个双翅膀部分
[235.92-237.92] 也就是契金跟宵金
[237.92-238.92] 我们去年宵金的表现
[238.92-241.92] 特别是财务管理的表现也非常的不错
[241.92-247.92] 那展望未来我们还是会持续去follow我们这个四大营运策略
[247.92-251.92] 那如果以财务的概况来看的话
[251.92-255.92] 去年全年我们的地息收入
[255.92-259.92] 虽然说Fed降息
[259.92-265.92] 然后整体那个美元的存款的成本还相当高
[265.92-267.92] 但是我们还是manage
[267.92-270.92] 有这个2%的YY的成长率
[270.92-272.92] 在地息收入的部分
[272.92-278.92] 那首收因为去年有这个高铁一次性的一些首收
[278.92-282.92] 然后再加上财务管理的首收非常的强劲
[282.92-285.92] 所以我们去年在金控的部分
[285.92-288.92] 首收是成长了26%YY
[288.92-291.92] 那银行的部分是成长了25%YY
[291.92-295.92] 那这个财超交易收益啊
[295.92-296.92] 虽然说去年
[297.92-300.92] FX1不如预期
[300.92-303.92] 但是我们在股票收益啊
[303.92-305.92] 还有些其他收益上面
[305.92-307.92] 也都表现得相当不错
[307.92-309.92] 所以整体的财超
[309.92-312.92] 也跟前年同期相较起来
[312.92-318.92] 其实差不多维持280Y的这个财超的这个收益
[321.92-323.92] 那如果以这个主要获利的指标
[323.92-325.92] 我们
[325.92-327.92] 去年R1是
[327.92-329.92] 将近10%
[329.92-331.92] 9.93%
[331.92-335.92] 那这个ROA也有0.77%
