[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.62] 问题结束后也将开放现场提问
[32.62-35.70] 开放现场提问时请回首示意
[35.70-39.36] 现场两侧将会安排工作人员递交麦克风
[39.36-43.62] 请各位贵宾提问前先说明公司宝号及姓名
[43.62-48.00] 如果各位贵宾需要今天法人说明会的相关资讯
[48.00-51.80] 可以扫描提问单上的QR code进行下载
[51.80-56.68] 此外邀请现场的各位贵宾将您的手机调整至静音模式
[56.68-58.18] 以利会议进行
[58.18-59.72] 感谢您的配合
[59.72-61.62] 我们的活动即将开始
[61.62-63.36] 敬请各位贵宾入座
[63.36-63.92] 谢谢
[149.72-157.54] 执行副总经理张修琪Harris
[157.54-163.24] 资深副总经理张希文Celes
[163.24-168.42] 资深副总经理陆荣华Gloria
[168.42-173.92] 以及财务会计主管洪雨轩Raffi
[173.92-178.40] 接下来在进行简报之前
[178.40-179.70] 将在此提醒各位贵宾
[179.72-180.12] 请各位
[180.12-184.00] 报告中任何前瞻性的预测是有其风险的
[184.00-185.72] 并请各位花一些时间
[185.72-188.32] 阅读投影片的第二页免责声明
[188.32-191.58] 接下来我们有请
[191.58-194.22] 陆荣华资深副总经理Gloria
[194.22-195.98] 上台为各位进行报告
[195.98-197.98] 让我们掌声欢迎Gloria
[209.72-218.96] 好各位投资先进大家好
[218.96-221.36] 我是LinePay的资深副总监
[221.36-223.58] 投资关系负责人Gloria
[223.58-226.10] 那非常感谢大家今天
[226.10-229.42] 抽空参加我们的法说会
[229.42-231.06] 那接下来呢
[231.06-232.12] 我简单为大家
[232.12-234.90] 做一个公司简报的开场
[234.90-237.94] 今天简报呢
[237.94-238.90] 分三个部分
[238.90-239.70] 第一个是
[239.72-240.88] 公司介绍
[240.88-242.84] 第二是营运成果
[242.84-244.56] 第三是事业展望
[244.56-247.44] 在简报结束后呢会进行QA
[247.44-250.16] 首先是
[250.16-251.10] 公司介绍
[251.10-253.76] 我们LinePay公司
[253.76-256.12] 名称为林家网络商业股份
[256.12-257.74] 有限公司成立于
[257.74-258.68] 2015年
[258.68-262.16] 目前大约有440名的员工在职
[262.16-264.50] 公司董事长兼总经理
[264.50-265.92] 为丁雄柱先生
[265.92-267.76] 目前主要营运
[267.76-269.00] 第三方支付
[269.00-269.70] 目前主要营运第三方支付
[269.70-269.72] 目前主要营运第三方支付
[269.72-271.72] 本公司背后呢
[271.72-272.76] 有三大股东
[272.76-275.20] 股权比例为
[275.20-278.74] LineCorp Corporation的58.1%
[278.74-281.84] 台北富邦银行17.22%
[281.84-284.30] 联邦银行8.61%
[284.30-285.68] 此外我们在韩国
[285.68-288.72] 拥有一间100%持股的子公司
[288.72-289.78] LinePay Plus
[289.78-293.10] 另外各位也应该
[293.10-294.86] 透过新闻报道有看到
[294.86-296.96] 我们公司计划申请
[296.96-298.28] 电子支付执照
[298.28-299.68] 目前已经向
[299.68-301.68] 主管机关递交了申请书
[301.68-304.20] 未来我们预计成立一间
[304.20-306.90] 由我们100%持股的子公司
[306.90-309.42] 来专营LinePay的电子支付
[309.42-313.60] 为了让各位能更好地理解
[313.60-315.18] 后面的简报内容呢
[315.18-317.24] 容我先跟各位说明一下
[317.24-320.18] LinePay整体的事业和业务
[320.18-322.66] 我们公司作为
[322.66-324.32] 第三方支付业者的
[324.32-326.08] 营运的业务可以分为
[326.08-327.88] B2B2C和B2B
[327.88-329.66] B2B2C
[329.66-331.94] 业务涵盖第三方支付
[331.94-333.30] 点数回馈卡
[333.30-334.84] 以及票券发行
[334.84-336.96] B2B业务包括
[336.96-340.06] 广告以及金融机构的合作
[340.06-341.44] 接下来呢
[341.44-343.28] 我会进一步详细说明
[343.28-344.50] 各项的业务
[344.50-348.80] 首先B2B2C的支付事业
[348.80-350.84] 这是大家所知道的
[350.84-352.66] 用户透过QR付款
[352.66-354.10] 给商家的业务
[354.10-357.26] 点数回馈卡和联名卡的话
[357.26-359.64] 是与银行合作
[359.66-361.92] 发行可以累积LinePoint的
[361.92-363.30] 信用卡业务
[363.30-365.32] 票券发行业务呢
[365.32-367.10] 是指LinePay以票券
[367.10-369.44] 票券发行商的角色呢
[369.44-371.54] 将多个合作店家的票券
[371.54-373.54] 整合在LinePay的平台上
[373.54-375.16] 向消费者提供
[375.16-377.66] 多样的优惠票券
[378.20-380.00] 至于B2B
[380.00-382.08] 金融产业合作的话
[382.08-383.86] 是与跟多家的
[383.86-385.18] 金融机构合作
[385.18-386.92] 把信用卡保险
[386.92-389.32] 还有贷款等金融商品资讯
[389.32-391.08] 放在LinePay的平台上
[391.08-393.24] 然后方便用户比较
[393.24-394.62] 帮助消费者
[394.62-396.08] 做出最佳的选择
[396.08-397.58] 最后
[397.58-399.28] 在广告业务方面
[399.28-401.98] 我们提供CPM
[401.98-402.80] CPC
[402.80-405.32] CPA等多种广告模式
[405.32-406.82] 帮助商店呢
[406.82-408.84] 推广自家产品和服务
[408.84-411.06] 向使用者提供
[411.06-413.32] 多元的折扣与优惠
[413.32-417.12] 在这里我想特别强调的是
[417.12-418.28] LinePay除了
[418.28-419.30] 跟大型商品
[419.32-420.86] 的品牌合作以外呢
[420.86-422.48] 我们也有一个平台
[422.48-424.86] 是提供给中小型店家
[424.86-427.12] 可以以自身的需求
[427.12-429.84] 克制暗型的广告平台
[429.84-431.26] 所以为他们可以
[431.26-432.56] 进一步创造一个
[432.56-434.42] 新的商机
[434.42-437.06] 接下来有请
[437.06-438.92] 财务主管洪雨仙
[438.92-440.44] 向大家说明
[440.44-443.54] 以前面提到的这些业务基础下呢
[443.54-445.84] 我们取得了哪一些的成果
[449.32-451.32] 那我们现在就来看看
[451.32-453.32] 我们的营运成果和营收模式
[453.32-455.32] 那我们的营运成果和营收模式
[455.32-457.32] 也跟大家一起看看
[457.32-459.32] 本公司2024年的
[459.32-461.32] 关键财务指标
[461.32-463.32] 首先是经营绩效
[463.32-465.32] 对我们公司来说
[465.32-467.32] 最重要的营运指标之一
[467.32-469.32] 就是交易量
[469.32-471.32] 交易量不仅反映用户
[471.32-473.32] 透过LinePay的实际活跃成绩
[473.32-475.32] 但是也反映了我们的
[475.32-477.32] 经营成绩和营收模式
[477.32-478.32] 我们也有一个很重要的指标
[478.32-479.32] 就是我们的营运成绩
[479.32-481.32] 也是带动我们公司营收成长
[481.32-483.32] 扩大用户基础以及营运规模
[483.32-485.32] 同时也是能够反映客户满意度的关键数据
[485.32-487.32] 也是能够反映客户满意度的关键数据
[487.32-489.32] 也是能够反映客户满意度的关键数据
[489.32-491.32] 本公司自2021年
[491.32-493.32] 生意平衡以来
[493.32-495.32] 我们的交易量持续上升
[495.32-497.32] 累积成长将近两倍
