[0.00-7.08] 各位投资先进参加2025年第一次技嘉科技份有限公司线上法人说明会
[7.08-11.52] 首先为各位介绍今天代表出席的经营团队
[11.52-15.46] 在线上的有集团总经理李怡泰
[15.46-19.04] 集团总经理林英宇
[19.04-21.18] 以及发言人刘文忠
[21.18-24.32] 现在法说会正式开始
[24.32-27.70] 我们邀请刘发言人进行简报
[27.70-30.10] 各位投资先进大家好
[30.10-33.72] 欢迎大家来到技嘉2025年的投资法人说明会
[33.72-36.98] 首先还是把免责声明念一遍
[36.98-39.70] 本简报由技嘉科技份有限公司准备
[39.70-43.16] 由于使用不同的假设和不同的标准
[43.16-46.60] 本简报中表达的任何意见或如有更改
[46.60-47.66] 恕不令请通知
[47.66-51.40] 即将没有义务更新或保持此处包含的资讯或追星
[51.40-54.36] 对于本简报的准确性或完整性
[54.36-57.52] 本公司现在或将来不会做出任何明示
[57.52-57.68] 或任何的执行
[57.68-59.00] 或按摩的陈述或保证
[59.00-61.18] 也不承担任何责任或义务
[61.18-64.64] 因此特此明确表示任何责任否认
[64.64-68.54] 本简报中的陈述包含前瞻性陈述
[68.54-71.22] 其中包括但不限于有关技嘉的问题
[71.22-73.02] 计划和期望的陈述
[73.02-76.40] 前瞻性陈述反映的管理层
[76.40-78.48] 对未来营运的计划和目标
[78.48-81.96] 对未来事件和未来经济表现的当前看法
[81.96-84.06] 以及对各种财务状况的预测
[84.06-87.66] 这些前瞻性陈述涉及
[87.68-89.60] 已知和未知的风险
[89.60-91.42] 不确定性和其他因素
[91.42-93.26] 可能导致实际结果
[93.26-95.06] 与此类前瞻性陈述
[95.06-97.88] 明示或暗示的结果有重大差异
[97.88-100.80] 接下来跟各位报告一下
[100.80-102.46] 2024年的财务报告
[102.46-106.56] 2024年3月31号的资产部代表
[106.56-108.32] 账面约当现金
[108.32-111.94] 现金约当现金是214.99亿
[111.94-115.38] 年减少16.67亿
[115.38-117.50] 幅度是-7.19%
[117.50-117.66] 年减少16.67亿
[117.68-118.20] 年减少16.67亿
