[0.00-2.00] Yagio 第一季度的结果
[2.00-4.00] 大家好,大家早上好
[4.00-8.00] 谢谢大家今天与我们一起参与Yagio的第一季度结果直播
[8.00-17.00] Yagio是世界上最大的供应器和十分之十的电池供应器和十分之十的电池供应器的最高供应器
[17.00-21.00] 我的名字是Howard Kao,我是Morgan Stanley的顾问分析师
[21.00-29.00] 我们很高兴有David Wong总裁、Eddie Chen总裁、CFO和Claudio Lalini总裁
[29.00-36.00] Yagio的全球销售与市场市场的总裁,今天与我们一起与大家分享他们的讨论和评论
[36.00-38.00] 以及市场上的讨论
[38.00-43.00] 管理队将首先通过第一季度结果
[43.00-46.00] 并且提供一些向前看的评论
[46.00-48.00] 然后我们将将其开放到问论栏
[48.00-50.00] 在任何时候做网络节目时
[50.00-51.00] 您可以看到我们的视频
[51.00-54.00] 您可以在您的视频中发布您的问题
[54.00-59.00] 现在我想将评论栏转到Eddie和David的开放声明上
[59.00-60.00] 谢谢
[60.00-63.00] 您可以直接进行财政报告
[63.00-64.00] 谢谢
[64.00-66.00] 是的,David
[66.00-68.00] 各位投资者,好早上
[68.00-73.00] 谢谢您参与我们的第一季度结果会议
[73.00-80.00] 正如常,让我给您介绍一下第一季度的财政表演的最高分子
[81.00-92.00] 好的,第一季度25年,我们在一季度中生产了31.1亿的收入
[92.00-97.00] 一季度的成本是3.7%的增长
[97.00-103.00] 如果比起去年,是9.1%的增长
[103.00-110.00] 在市场上的预算上,第一季度的成本是
[110.00-115.00] 从前一季度开始增长
[115.00-119.00] 您可以看到,第一季度成本是35.6%
[119.00-124.00] 这是一季度的2.5%增长
[124.00-128.00] 而每年是1.8%的增长
[128.00-136.00] 如果您看看行业平均,我们看到第一季度的OPAC是受到很大的控制
[136.00-139.00] 所以,这项行业平均增长更加增长了
[139.00-142.00] 以28.8%为例
[142.00-146.00] 或是比前一季度的2.9%的增长
[146.00-149.00] 或是比去年的3.4%的增长更加增长
[149.00-154.00] EBITDA也在同一期中显示同样的趋势
[154.00-163.00] 因此,这一季度的成本是5.5亿的税收
[163.00-167.00] 或是49.1%的增长,比前一季度的增长更加增长
[167.00-176.00] EPS在10.77元每个股份
[176.00-181.00] 当然,线市的增长也从其他业务方面的执行中增长了
[181.00-192.00] 尤其是AI-类型的质量质量,我们将在后期的分析中谈论
[192.00-196.00] 而质量控制,OPAC控制都很好的
[197.00-200.00] 所以,在前一季度的增长上,
[200.00-202.00] 我们将在后期的增长上,
[202.00-205.00] 更加增长了
[205.00-208.00] 下一个页面
[208.00-211.00] 我将在这个图表中,
[211.00-213.00] 在不同的角度上,
[213.00-215.00] 在销售分析中,
[215.00-217.00] 我们将在不同的角度上,
[217.00-219.00] 如果您看了产品,
[219.00-220.00] 您可以看到,
[220.00-226.00] 所有的抵制器和能量都在前一季度的增长中显示出好消息
[226.00-230.00] 如果您看了第一季度的分析中,
[230.00-231.00] 您可以看到,
[231.00-237.00] Tantulum的成本在销售分数上升
[237.00-242.00] MLCC的成本也在增长中
[242.00-243.00] 同样是同样的,
[243.00-252.00] 而这些都是相关于高AI内容的需求
[252.00-255.00] 所以,Tantulum MLCC的抵制器都在上升中
[256.00-258.00] 这些都在增长中
[258.00-259.00] 另一方面,
[259.00-260.00] 理论上,
[260.00-262.00] 因为自动转移的项目,
[262.00-263.00] 因此,
[263.00-264.00] 理论上,
[264.00-265.00] 理论上,
[265.00-266.00] 理论上,
[266.00-267.00] 理论上,
[267.00-268.00] 理论上,
[268.00-269.00] 理论上,
[269.00-270.00] 如果您看了分析中,
