[0.00-2.00] 各位
[2.00-4.00] OK
[4.00-6.00] 兩位投資先進大家好
[6.00-12.00] 我想我們就直接進入到一下公司的基本的一些簡介
[12.00-14.00] 首先跟兩位報告一下
[14.00-18.00] 我們台灣農林是成立於1950年
[18.00-22.00] 我們主要的經營業務有四個項目
[22.00-25.00] 第一個包含茶樹的種植
[25.00-29.00] 然後包含茶葉跟茶的相關產品的生產跟銷售
[29.00-32.00] 第二個部分主要就是我們的觀光休閒事業
[32.00-37.00] 第三個部分是我們的土地資產的委外經營
[37.00-40.00] 第四個部分就是有關於我們的土地開發的一些業務
[40.00-45.00] 那我們台灣農林是台灣民間的第二大地區
[45.00-49.00] 我們總共擁有的土地面積達到3714公頃
[49.00-53.00] 其中這裡面投資性的不動產的供應價值
[53.00-56.00] 約當在新台幣254億元
[56.00-59.00] 這個2024年的12月14日
[59.00-62.00] 我們就有了一個30億的估值
[62.00-67.00] 那2024年我們的營收約在新台幣的4.3億
[67.00-71.00] 那我們公司在2019年是由我們吳青源吳董事長
[71.00-74.00] 被選任為我們台灣農林的董事長
[74.00-78.00] 那他經過6年的一個長期的觀察跟經營
[78.00-82.00] 那董事長我們現在持續的啟動了一系列
[82.00-85.00] 關於公司的這個利潤改善的一個方案
[85.00-87.00] 那希望我們可以在最短的時間內
[87.00-89.00] 讓台灣農林可以實踐
[89.00-90.00] 讓我們能夠在這個時候
[90.00-92.00] 有更好的賺到貨力
[92.00-95.00] 本業的獲利的一個效益這樣子
[95.00-100.00] 那我們公司也會配合種茶跟自茶的本體業務
[100.00-103.00] 在推廣觀光休閒事業
[103.00-107.00] 從此對於茶園跟整個茶的文化資產
[107.00-110.00] 做更大的一個有效的使用
[110.00-116.00] 那我們同步也會盤點公司龐大的土地的資產
[116.00-117.00] 可能可以往開發合作或者是讓土地價值更為便宜
[117.00-118.00] 那就是我們同步的做一個農林的這個動力的工作
[119.00-122.40] 提升的一個這個方案
[122.40-126.30] 為我們台灣農林創造永續不斷的營收跟獲利
[126.30-127.30] 接下來
[129.14-132.14] 介紹一下我們這個公司的董事長
[132.14-136.34] 吳慶元董事長他畢業於台北科技大學
[136.34-139.34] 原本就是台北公專的機械工程
[139.34-144.64] 他同時也擁有中華大學的建築跟都市計畫的碩士學位
[144.64-150.24] 董事長剛有提到在2019年被選任為這個公司的董事長
[150.24-152.38] 那2022年連任
[152.38-155.90] 那這一段期間他主要就是在focus在
[155.90-160.04] 提升公司的整個利潤率的一個轉型的一個方案
[160.04-164.34] 那董事長他過往他利用了9年的時間
[164.34-169.28] 改造了台灣的另外一間這個上市公司就是這個山陽工業
[169.28-170.98] 汽機車相關產業
[170.98-174.64] 那這個山陽工業2023年的時候
[174.64-179.64] 在營收跟盈利利潤率也都達到這個公司的歷史新高
[179.64-184.20] 那使這個山陽汽車也重返台灣的四戰第一名的寶座
[184.20-188.68] 那董事長他就會秉持著這個在山陽的這個成功的經驗
[188.68-191.80] 那持續來深化台灣農林的改革
[191.80-196.64] 那希望可以在最短的時間內讓這個農林可以轉虧為盈
[196.64-198.64] 那在董事長的帶領之下
[198.64-201.74] 台灣農林已經有6年的營收的成長
[201.74-203.80] 那2024年的年營收
