[0.00-3.88] 各位投资先进与媒体朋友午安
[3.88-7.98] 由于光宝我们的国际会议厅
[7.98-11.28] 目前正进行设备升级的工程
[11.28-15.50] 所以今天的法说会是改由政大国际中心
[15.50-17.56] 以实体会议的方式举行
[17.56-22.36] 我们的升级工程预计大概在5月中就可以竣工
[22.36-25.60] 所以届时我们520的股东会
[25.60-27.38] 以及下次的法说会
[27.38-33.42] 便可以邀请各位一同去体验一下
[33.42-36.26] 我们耳目一新的国际会议中心
[36.26-37.24] 国际会议厅
[37.24-40.36] 在今天会议开始之前
[40.36-43.48] 也请各位扫描一幕左侧的QR Code
[43.48-47.00] 可以到官网下载本次会议的简报档
[47.00-48.52] 以利各位的参阅
[48.52-48.88] 谢谢
[48.88-51.32] 我们的会议准时2点开始
[57.38-66.38] 请大家有请
[66.38-83.22] 那欢迎各位投资先进媒体朋友
[83.22-84.30] 莉玲光宝科
[84.30-87.22] 欢迎各位投资先进媒体朋友
[87.22-87.34] 谢谢大家
[117.38-118.36] 谢谢大家
[118.36-120.14] 谢谢大家
[120.14-122.22] 谢谢大家
[122.22-124.30] 谢谢大家
[124.30-125.74] 谢谢大家
[125.74-127.68] 谢谢大家
[130.40-132.00] 谢谢
[132.00-133.38] 谢谢
[133.38-134.84] 谢谢
[134.84-135.18] 谢谢
[135.18-135.46] 谢谢
[135.46-135.52] 谢谢
[135.52-137.76] 谢谢
[137.76-138.08] 谢谢
[138.08-138.42] 谢谢
[138.42-139.70] 谢谢
[139.70-139.84] 谢谢
[139.84-141.82] 谢谢
[141.82-142.10] 谢谢
[142.62-143.24] 谢谢
[143.24-144.30] 谢谢
[144.30-144.32] 谢谢
[144.32-144.46] 谢谢
[144.46-145.04] 谢谢
[145.04-146.38] 谢谢
[146.38-146.52] 谢谢
[148.14-151.98] 那对于首次参加光宝科法说的投资先进
[151.98-154.12] 那这页的部门别分类
[154.12-156.64] 提供您了解我们的三大事业
[156.64-158.72] 分别是光电部门
[158.72-160.74] 包含了光电半导体
[160.74-161.92] 汽车电子
[161.92-164.26] 云端及物联网部门
[164.26-166.88] 主要应用于资料中心
[166.88-167.88] 伺服器
[167.88-169.62] 5G网通设备
[169.62-171.24] AI物联网等
[171.24-173.94] 资讯及消费性电子部门
[173.94-175.62] 应用于笔电
[175.62-176.72] 工作站
[176.72-178.16] 桌上型电脑
[178.16-179.74] 以及游戏机等
[179.74-185.80] 光宝科第一季
[185.80-187.96] 我们全球合并营收是
[187.96-190.58] 新台币364亿
[190.58-193.44] 营业毛利82亿
[193.44-197.48] 营业毛利率22.6%
[197.48-199.48] 营业利益37亿
[199.48-202.72] 营业利益率10.1%
[202.72-205.42] 营业费用45亿
[205.42-206.62] 营业费用率
[206.62-206.70] 32.6%
[206.70-211.86] 营业外收支金额是9.9亿
[211.86-214.82] 税后净利34.6亿
[214.82-216.70] 每股净利1.51
[216.70-218.96] 那总体来说
[218.96-220.64] 第一季的营收呢
[220.64-222.60] 年增27%
[222.60-224.96] 我们三大事业部门呢
[224.96-226.12] 都是年成长
[226.12-228.24] 带动了整体营收
[228.24-230.06] 回到年成长的轨道
[230.06-232.18] 营业毛利呢
[232.18-234.82] 金额年增41%
[234.82-236.60] 受惠于高价值
[236.60-238.28] 事业比重的提升
