[0.00-3.04] 营业费用的部分是9.46亿
[3.04-7.92] QOQ部分是减少大概9.5%
[7.92-10.26] YOY部分是大概增加23个%
[10.26-11.70] 这边的费用
[11.70-15.70] 因为德国的并购公司在去年的第四季进来
[15.70-21.56] 所以整个今年第一季跟去年第四季的整个费用的标准是一样的
[21.56-23.88] 整个QOQ还是减少将近一倍
[23.88-26.70] YOY部分是增加
[26.70-29.68] 这边基本上的营业费用的增加
[29.68-34.64] 就是来自于并购公司他们的一些营业费用进来
[34.64-39.88] QOQ是增加大概29.9%
[39.88-42.78] YOY是衰退84.4%
[42.78-45.86] Net Income部分是大概800万
[45.86-49.04] QOQ是衰退86.5%
[49.04-52.52] YOY是衰退95.4%
[52.52-57.32] 归属于母公司的合并净利
[57.32-59.20] 例如5900万
[59.20-59.66] 那就是来自于并购公司的一些营业费用
[59.66-62.54] 那QOQ大概衰退47.9%
[62.54-64.94] YOY大概衰退58.9%
[64.94-69.66] 基本每股营业是0.2亿元
[69.66-72.34] 那整个在产品组合的部分
[72.34-74.54] 以季度来看的话
[74.54-81.92] 这一季占比比较大的是在IT周边的产品部分大概占51个%
[81.92-85.90] 那第二部分是绿能产品的大概在36个%
[85.90-89.46] 那整个原件部分大概维持在13个%
[89.66-94.30] 整个营收的部分
[94.30-96.94] 整个季度的营收
[96.94-104.62] 刚刚有提到就是因为整个季度的过年的影响
[104.62-108.96] 还有一部分是整个季度的比较淡的状况
[108.96-111.00] 所以整个营业有稍微下滑
[111.00-114.50] 但是YOY的部分大概是增长7.3个%
[114.50-117.02] 在毛利率的部分
[117.02-119.64] 刚刚有提到就是因为整个营业的营收
[119.66-121.44] 产品还是产品组合的
[121.44-123.94] PayIT的产品组合有持续在优化
[123.94-126.84] 那这边有底下掉一部分
[126.84-130.48] 那个绿能产品的一些去库存的毛利的影响
[130.48-133.24] 所以这边还是维持在17.8%
[133.24-138.60] 那April income的margin的部分维持在改善到0.6个%
[138.60-144.50] 整个第一季度的合并资产不在表的部分
[144.50-146.60] 在现金的部分
[146.60-149.20] 大概在现金期有价证券的部分
[149.66-151.48] 在63亿台币左右
[151.48-155.22] 存货部分在61亿左右
[155.22-156.90] 这边持续在去化
[156.90-158.56] 那这边去化比较多的部分
[158.56-159.72] 大概少2亿
[159.72-162.46] 基本上是来自于一样绿能产品
[162.46-165.46] 有持续在去化
[165.46-168.86] 那有微幅增加的部分是在KIT
[168.86-172.58] 那因为第一季跟第二季
[172.58-176.24] 尤其是整个PayIT的营收的成长动劳还是有
[176.24-178.42] 所以这边两项抵销之后
[178.42-179.54] 其实存货还是在往下跌的
[179.66-181.66] 一个趋势
[181.66-187.66] 那整个负债比例的部分大概58.6%
[187.66-191.66] 那股东权益的比重比例大概在41.4%
[191.66-194.66] 是38.8元
[194.66-196.66] 那这边可以看得到
[196.66-200.66] 整个我们的现金水位还是相对比较高
[200.66-204.66] 而且我们的流动比例也维持比较高的流动性比例
[204.66-207.66] 这个是主要是要去因应整个
[207.66-209.66] 因为整个最近
[209.66-212.66] 近期的整个国全球的经济的不确定性
[212.66-218.66] 因为只有唯有现金水位及比较健康的财务结构
[218.66-222.66] 才有办法去降低未来整个的经济的不确定性
[222.66-229.66] 这边整个和第一季的合并现金流量表
[229.66-232.66] 在营业活动的部分大概是
[232.66-235.66] 进现金流出大概6700万
[235.66-239.66] 那这边主要是因为第一季的本业的获利有稍微
[239.66-241.66] 有比较减缓的
[241.66-246.66] 所以这边在整个营业活动部分有稍微少一些
[246.66-249.66] 那在投资活动的进现金流量的部分
[249.66-251.66] 大概流出5300万
[251.66-253.66] 那这边主要是来自于资本支出
[253.66-255.66] 大概有1.76亿
[255.66-258.66] 那这1.76亿主要是来自于一些
[258.66-260.66] 机器设备的一些投入
[260.66-263.66] 就是有一些自动化设备的投入
[263.66-264.66] 还有一些产能的一些扩展
[264.66-267.66] 不过这边稍微在
[267.66-268.66] 上
[268.66-272.66] 在第二季度跟第三季度稍微会比较谨慎一些
[272.66-275.66] 因为整个川普关税的这个政策不确定性
[275.66-277.66] 那我们是预算在那边
[277.66-278.66] 但是我会保留一个弹性
[278.66-284.66] 就看看哪边整个关税的一些比较明朗化之后
[284.66-288.66] 再决定说这个资本支出应该要在什么Site要去投入
[288.66-290.66] 因为以大方来讲
[290.66-292.66] 大方在全球不管是欧洲
[292.66-294.66] 或者是东南亚
[294.66-296.66] 越南或泰国
[296.66-297.66] 或者是中国
[297.66-298.66] 其实基本上我们
[298.66-299.66] 都有布局
[299.66-304.66] 所以在相对整个因应这个关税的不确定性
[304.66-307.66] 那我们这边是比较可以弹进来做一个移动
[307.66-309.66] 所以这个是维持一个弹性的
[309.66-310.66] 变动
[310.66-316.66] 那整个融资活动的进现金流入大概是1.21亿
[316.66-321.66] 那本期的现金节约当现金是进流入增加大概1.55亿
[321.66-323.66] 所以这边整个
[323.66-326.66] 重点就是说整个的资本支出
[326.66-328.66] 会稍微弹性的
[328.66-329.66] 进来调整
[329.66-330.66] 不是不会发生
[330.66-333.66] 但是我们是看要谋在什么Site来处理
[333.66-340.66] 那另外一个部分就是说在整个现金的现金流量部分
[340.66-344.66] 这边会比较以安全健康的态度来看
[346.66-348.66] 这边是一些重要的财务指标
[348.66-351.66] 负债比例大概是59%
[352.66-354.66] 流动比例111%
[354.66-358.66] 那现金周转转换周期大概143天
[358.66-360.66] ROE是0.7%
[360.66-362.66] ROE是0.2%
[362.66-367.66] 那这边看起来负债比例基本上还是有持续
[367.66-371.66] 在一个比较好的一个控制的水位
[371.66-375.66] 那可以有助于维持比较稳健的一个资本结构
[375.66-379.66] 那比较高的流动比例可以维持
[379.66-382.66] 公司比较稳健的一个短期的长暂能力跟流动性
[382.66-384.66] 然后也可以降低一些
[384.66-386.66] 包括像一些存货AR这种会积压一些货币的流动性
[386.66-387.66] 然后也可以降低一些包括像一些存货AR这种会积压一些货币的流动性
[387.66-389.66] 然后也可以降低一些货币的流动性
[389.66-391.66] 那整个CCC的部分持续在改善当中
[391.66-393.66] 那整个CCC的部分持续在改善当中
[393.66-395.66] 那整个CCC的部分持续在改善当中
[395.66-397.66] 这边代表就是我们针对一些AR、AP或存货
[397.66-399.66] 这边代表就是我们针对一些AR、AP或存货
[399.66-401.66] 我们会持续的进步去针对每个地方去做一些比较好的改善
[401.66-403.66] 我们会持续的进步去针对每个地方去做一些比较好的改善
[403.66-405.66] 我们会持续的进步去针对每个地方去做一些比较好的改善
[405.66-407.66] 好 再来这个是第二个部分
[407.66-409.66] 是业绩的转换部分
[409.66-411.66] 我 蜀总向各位报告
[411.66-413.66] 我 蜀总向各位报告
[413.66-415.66] 好 各位投资先进 大家好
[415.66-417.66] 好 各位投资先进 大家好
[417.66-419.66] 那接下来由我跟各位报告一下整个
[419.66-421.66] 那接下来由我跟各位报告一下整个
[421.66-423.66] 去年的状况还有接下来的展望
[423.66-425.66] 去年的状况还有接下来的展望
[425.66-427.66] 那基本上从24年
[427.66-429.66] 那基本上从24年
[429.66-431.66] 我们的营收 各位投资先查到的数字
[431.66-433.66] 从25年一开张
[433.66-435.66] 我们受惠以我们去年第四季的
[435.66-437.66] 这个并购案 通入的并购案
[437.66-439.66] 看来今年全年
[439.66-441.66] 整個成長的momentum
[441.66-444.66] 就如上次的法說會跟各位報告的
[444.66-447.66] 應該是維持一個成長的狀態
[447.66-448.66] 從營收的角度
[448.66-452.66] 我想這個沒有什麼太大的問題
[452.66-456.66] 第二個當然就是這個ALT的狀況
[456.66-459.66] 那基本上從這一次的關稅的影響
[459.66-461.66] 當然這中間變化很大
[461.66-465.66] 那因為有了這個90天
[465.66-468.66] 還有一些對一些特定的產品的豁免
[468.66-471.66] 那目前看來在這個族群
[471.66-473.66] IT這個族群來看的話
[473.66-475.66] 第二季的這個成長動能
[475.66-477.66] 從目前客人的訂單來看的話
[477.66-478.66] 還是有的
[478.66-480.66] 所以我們整個預期來看的話
[480.66-482.66] 在IT的相對的族群
[482.66-485.66] 第二季的這個還是呈現一個
[485.66-487.66] 正向的一個趨勢
[487.66-490.66] 那emobility也就是說
[490.66-492.66] 在這個我們綠能的部分
[492.66-494.66] 還有腳踏車的部分
[494.66-496.66] 這個其實今年
[496.66-498.66] 我們今年從去年一直想
[498.66-500.66] 到今年的第一季
[500.66-503.66] 受這個庫存區劃的這個影響
[503.66-505.66] 還是有一定的
[505.66-507.66] 對打幫的這個財務商還是有一點影響
[507.66-509.66] 我想大家都看到
[509.66-513.66] 那基本上整個的庫存區劃
[513.66-515.66] 還有客人的態度
[515.66-520.66] 應該一般中心的看法還是要到下半年
[520.66-523.66] 那今年我們從這個台北展
[523.66-526.66] 接下來一個觀察的重點就是在歐展
[526.66-528.66] 客人的這個參與
[528.66-531.66] 對新的這個新的年度的下彈狀況
[531.66-534.66] 會是取決26年這個反彈的
[534.66-537.66] 有機會反彈到底有多大的力道
[537.66-539.66] 我這個可以持續的觀察
[539.66-543.66] 那基本上我們在這個
[543.66-546.66] 內部的這些攤品來講
[546.66-549.66] 過去的這些併購還是在強調這個
[549.66-551.66] 在這個價值的發揮
[551.66-553.66] 還有這個中銷的整合
[553.66-556.66] 那基本上長期來講的話
[556.66-558.66] 我們還是以綠能跟LED當作
[558.66-560.66] 一個比較大的主筹
[560.66-562.66] 去從事我們在過去一段時間的
[562.66-564.66] 這個中銷發揮跟接下來一些
[564.66-567.66] 策略的一些併購的議題上面
[567.66-570.66] 那我想在回答各位問題之前
[570.66-572.66] 我還是把這個目前
[572.66-575.66] 大家關心的一些問題先在這邊講一下
[575.66-577.66] 第一個當然就是關稅
[577.66-582.66] 那各位剛有看到整個集團來講
[582.66-587.66] 這個IoT就是說在我們過去的這個Keyboard
[587.66-590.66] 周邊產品還有像永業這些MCC
[590.66-593.66] 目前看來Q1跟Q2應該都是
[593.66-596.66] 一個比較整合的成長趨勢
[596.66-600.66] 那因為當有些拉貨的因素
[600.66-603.66] 那下半年度其實還是要觀察
[603.66-606.66] 因為這個會不會有些貨是在Q2拉了
[606.66-607.66] Q3就會下來
[607.66-609.66] 不過一般預期來講
[609.66-611.66] IT的傳統旺季是在Q3
