[0.00-7.76] 大家午安,我是艾普科技财务长明玉馨,欢迎各位投资先进参与艾普科技法人说明会。
[8.88-15.34] 在会议的前段,我们将进行本公司2025年第一季的财务状况及业务报告。
[16.28-23.10] 简报过后会进入问答阶段,线上参与的投资朋友可于画面右下角栏位输入您的问题。
[24.10-26.12] 我们将于整理后统一回复。
[26.12-30.28] 免责声明的部分再请各位留意。
[31.96-36.32] 第三及第四页是艾普科技的简要资料,提供各位参考。
[37.76-42.66] 本次法说会会先由我来说明2025年第一季财务数字重点。
[43.42-48.72] 洪志勋总经理将报告营运状况以及未来展望,之后进行Q&A。
[49.62-53.10] 今日的与会团队除了洪志勋总经理及我之外,
[53.58-56.10] 陈文亮总长,薛泽元业务总经理,
[56.12-61.16] 刘宗明副总以及刘宗明产品中心副总也会在线上回复提问。
[62.96-65.86] 首先由我这边进行财务状况报告。
[67.88-71.52] 首先说明2025年第一季的合并水域情形。
[72.34-75.86] 艾普第一季合并收金额为新台币9.7亿元,
[76.84-84.06] QOQ减少20%,主要是本季BHM及SC-CAP产品线单季出货减少。
[84.96-86.10] YY则在IoT上,
[86.12-91.70] QOQ增加30%,毛利金额为4.5亿元,
[92.14-96.12] QOQ减少31%,YY增加32%,
[97.02-101.98] 第一季毛利率为46%,QOQ减少7个百分点,
[102.64-107.24] 主要来自产品组合的不利变化,YY则维持相同。
[107.88-110.26] 稍后总经理会有更详细的说明。
[111.24-114.06] 本季E&F被用为2.8亿元,
[114.30-116.10] 较去年第四季减少约2.8亿元,
[116.12-123.06] QOQ减少9%,较去年同期增加3700万元,
[124.14-129.90] YY增加16%,营业费用的变动主要来自于研发费用的影响。
[130.78-133.32] 本季研发费用金额为1.95亿元,
[133.88-142.54] 季减3400万元,QOQ减少15%,年增3700万元,YY增加23%,
[142.54-144.96] 客户专案相关的研发费用的认列跟NHK的认定,
[144.96-145.04] QOQ减少15%,年增3700万元,YY增加23%,客户专案相关的研发费用的认定,
[145.04-147.80] QOQ减少15%,年增加23%的认定,
[147.80-148.30] QOQ减少15%的认定,
[148.30-151.32] 本季认列的客户专案Milestone比上季少,
[151.66-154.42] 造成相应的研发费用也较上季减少,
[154.82-156.94] 这是会计认列上的正常波动。
[158.42-162.90] 营业利益为1.8亿元,受到营收及牟利率下滑的影响,
[163.42-168.36] QOQ金额减少50%,YY金额增加66%,
[168.36-170.94] 这是来自于营收YY上升的益助。
[171.90-173.94] 本季营业利益率为18%,
[175.04-179.94] QOQ因牟利率下降,营业费用率上升,而下降10个百分点,
[181.20-185.04] YY增加4个百分点,主要是营业费用率下降。
[186.58-190.96] 公司业务有比较明显的季节性,第一季通常是淡季,
[191.68-195.84] 营业利益YY比较能反映公司财务成绩的表现。
[197.60-202.00] 业务业外收支的部分,第一季业外收入为2.6亿元,
[202.22-204.90] 主要来自于兑换利益1.1亿元,
[205.04-214.04] 利息收入9200万元,以及因投资标的估值增加带来的金融资产评价利益6000万元的净影响。
[214.04-219.04] 金融资产评价利益在资产负债表的部分会有进一步的说明。
