[0.00-5.04] 各位投资先进大家午安
[5.04-10.56] 欢迎参加由富邦证券所主办的春湖科技股份有限公司线上法人说明会
[10.56-13.32] 那今天公司出席的长官我也发言了
[13.32-14.90] 王俊强执行副总
[14.90-18.30] 他会跟各位分享公司的营运状况
[18.30-20.04] 以及未来的展望
[20.04-23.12] 那我现在就先将时间交给王师傅这边
[23.12-23.50] 谢谢
[23.50-27.30] 各位线上的投资人大家午安
[27.30-28.06] 大家好
[28.06-31.60] 然后很快的再次见面
[31.60-40.98] 我们114年Q1的一个整体的performance已经在昨天公告了
[40.98-46.36] 那我例行线的还是从这种损益点开始跟各位报告一下
[46.36-51.78] 114年第一季营收39.5亿
[51.78-54.22] 销货成本9.46亿
[54.22-57.98] 销货毛利30.7亿
[57.98-58.04] 然后很快的再次见面
[58.06-62.38] 销货毛利YY成长149%
[62.38-65.06] 销货毛利率76.05%
[65.72-68.46] 营业费用2.84亿
[68.46-71.68] 营业费用率7.18%
[71.68-75.32] 营业利益27.23亿
[75.32-76.18] 然后营业
[76.18-79.06] 营业利益68.87%
[79.60-82.30] 然后营业费用率17.18%
[82.30-83.78] 营业利益27.23%
[83.78-85.06] 成长169%
[85.80-88.04] 税前盈余31.35%
[88.06-92.38] YOY成长80.86%
[92.38-95.50] 税后利益25.111
[95.50-97.60] YOY成长81%
[97.60-103.24] 那第一季的一个美股税后是26.35亿
[103.24-105.48] YOY成长81%
[105.48-111.26] 第一季有汇兑利益2.35亿的一个汇兑利益
[111.26-114.72] 影响数EPS差不多在两块钱
[114.72-117.72] 那在资产货债表的部分呢
[117.72-121.62] 总资产293.8亿
[121.62-124.76] 月当现金199亿
[124.76-127.00] 然后存货11.9亿
[127.00-129.30] 应收账款36.3亿
[129.30-132.06] 非流动资产45.3亿
[132.06-134.24] 总负债55.7亿
[134.24-136.30] 流动负债35.6亿
[136.30-140.00] 非流动负债20.06亿
[140.00-142.52] 股东权利238.15亿
[142.52-144.62] 负债比18.9%
[144.62-146.52] 速动比660%
[146.52-147.28] 净值249亿
[147.28-149.28] 负债比149.9亿
[149.28-152.46] 以上就财务的部分跟各位报告
[152.46-156.86] 那接下来就是
[156.86-163.06] 川普从2000年开始转型做伺服器
[163.06-168.70] 到了2021、22疫情期间
[168.70-172.04] 酝酿了3000多个专利
[172.04-174.30] 整合了所有的资源
[174.30-175.88] 用在AI的世代
[175.88-176.74] 从GPU
[177.28-178.78] 从2013年开始
[178.78-182.28] 到2024的整年的GPU
[182.28-186.46] 2024年底的一个GP200开始导入
[186.46-192.50] 我们相信就是很努力的在
[192.50-193.66] 这个业界
[193.66-195.50] 然后努力的创新
[195.50-198.66] 获得了全世界所有客户的
