[0.00-9.00] 好各位投资先进午安
[9.00-12.26] 欢迎参加文业科技受邀
[12.26-15.02] 兆丰证券举办的
[15.02-17.14] 2025年第一季的一个
[17.14-19.50] 线上投资法人说明会
[19.50-22.34] 首先为各位介绍一下
[22.34-24.22] 现场我们与会的贵宾
[24.22-26.76] 文业科技的郑文忠董事长
[26.76-29.54] 请Eric向线上的朋友打声招呼
[29.54-31.46] 线上有没有听到声音
[31.46-38.22] 线上有没有听到声音
[38.22-39.94] 现在都没听到吗
[39.94-42.22] 有吗
[42.22-46.98] 好
[46.98-49.66] 这边似乎发现
[49.66-51.76] 线上的声音是
[51.76-56.34] 不能够通到各位线上的朋友们
[56.34-57.46] 请问一下大家
[57.46-59.52] 可以听到我们现场会议
[59.52-61.10] 的声音吗
[61.10-62.50] 如果可以的话
[62.50-66.48] 请在你们的电脑上面回复
[66.48-68.36] OK的
[68.36-68.76] 好的
[68.76-72.50] 好我们继续今天的一个会议
[72.50-75.66] 首先我们介绍现场的与会贵宾
[75.66-78.66] 文业科技的一个郑文忠董事长
[78.66-81.78] 请Eric向线上的朋友打声招呼
[81.78-82.78] 大家好
[82.78-83.66] 大家午安
[83.66-87.86] 接下来为各位介绍文业科技的财务长
[87.86-88.94] 及发言人
[88.94-89.36] 林冠军
[89.36-89.40] 林冠军
[89.40-89.48] 林冠军
[89.48-89.50] 林冠军
[89.52-90.04] 林冠军
[90.04-90.06] 林冠军
[90.06-91.14] 财务长
[91.14-92.10] 大家好
[92.10-94.84] 投资人关系
[94.84-96.36] 两位协理
[96.36-97.64] 刘浩铭
[97.64-98.14] Ricky
[98.14-98.70] 以及
[98.70-99.44] Yvonne
[99.44-100.40] 蔡云珍
[100.40-102.14] 请两位向现场
[102.14-103.68] 大家打招呼
[103.68-104.28] 大家好
[104.28-105.64] 好的
[105.64-107.64] 会议进行的方式
[107.64-111.58] 首先会由财务长进行财务的简报说明
[111.58-116.10] 以及郑董事长会进行营运展望的一个说明
[116.10-118.76] 再由蔡协理整理提问
[118.76-119.40] 让财务长进行财务的简报说明
[119.40-122.72] 让现场贵宾主持回复
[122.72-124.90] 如果您需要提问
[124.90-127.96] 请点选下方的一个问答按钮
[127.96-130.16] 在发言视窗当中
[130.16-133.60] 写上您的大名以及代表的公司
[133.60-135.84] 然后写下您的问题
[135.84-136.20] 好
[136.20-139.42] 现场我们就把时间交给财务长
[139.42-139.92] 请
[139.92-144.88] 大家好
[144.88-147.04] 第一页是关于集团的基本资料
[147.04-148.56] 那我们这边特别提一下
[148.56-149.20] 今年四月
[149.20-149.28] 刚开始的财务展望
[149.28-150.88] 刚公布的公司治理品鉴
[150.88-155.16] 文业在上市公司中连续五年排名前5%
[155.16-157.84] 在市值100亿元以上的电子类上市柜公司
[157.84-160.92] 连续五年排名前10%
[160.92-163.12] 另外可以看到市占率的部分
[163.12-164.28] 根据GARNA统计
[164.28-167.44] 2024年全球半导体通路市场
[167.44-170.92] 文业在并购Future后市占率达到全球14%
[170.92-172.20] 排名第一
[172.20-174.24] 那在亚太半导体通路市场
[174.24-176.12] WTE的市占率是15.9
[176.12-179.16] 也是排名第一
[179.28-182.60] 那接下来进到第一季的财务数字
[182.60-187.12] 第一季的合并营收为台币2474亿元
[187.12-188.88] 季减约6%
[188.88-190.88] 年增28%
[190.88-194.28] 超过财策上缘的2360亿元
[194.28-196.88] 第一季除了手机外
[196.88-199.44] 其他应用别的营收都比原先的预期加
[199.44-201.16] 包括通讯资料中心
[201.16-204.60] 车用工业消费型GPC
[204.60-209.08] 其中WTE的部分营收季减约HIGH SINGLE
[209.28-214.92] FUTURE的部分营收则是季增MID SINGLE DIGIT
[214.92-219.00] FUTURE的收入经过几个季度的库存调整
[219.00-222.08] 在本季实现了季对季的正成长
[222.08-225.40] 显示FUTURE所处的欧美市场逐步改善
[225.40-227.20] 如上一季所提过
[227.20-229.76] 去年第四季是循环的底部
[229.76-232.84] 今年看起来逐季应该都会变好
[232.84-237.96] 本季的毛利率4.58%低于猜测
[237.96-239.24] 主要是在市场上的货币增长上升
[239.28-242.60] 主要是因为第四季低毛利的产品出货比预期加
[242.60-246.44] 也就是季减的幅度比原先预期的少
[246.44-251.56] 但整体的毛利率如果对比去上一季4.12%是有所提升
[251.56-254.64] 其中WTE的部分是因为产品组合的关系
[254.64-257.72] 而FUTURE的部分毛利则为时平稳
[257.72-260.52] 整体的毛利率因为高毛利率产品
[260.52-263.60] 以及FUTURE有较好的QOQ运输的表现
[263.60-265.64] 而整体获得提升
[265.64-267.96] 本季毛利额113亿
[267.96-269.24] 季增5%
[269.28-272.60] 季增132%
[272.60-274.92] 接近猜测的这个上缘
[274.92-277.48] 如之前所述因为产品组合的关系
[277.48-282.84] 本季虽然营收季减但毛利额是季增的情况
[282.84-286.68] 本季的营业费用67.5亿元季增3%
[286.68-289.24] 介于猜测中位数跟上缘之间
[289.24-293.60] 主要是因为营收比预期要高
[293.60-298.72] 本季的营业利益45.7亿元季增8%
[299.28-302.60] 高于猜测的中位数
[302.60-305.16] 主要是因为营收比预期高
[305.16-307.98] 营业利益率是1.85%
[307.98-312.84] 介于猜测范围的1.8到2.0之间
[312.84-319.00] 本季的净财务成本也就是财务成本扣掉利息收入约为11.6亿元
[319.00-322.58] 比第四季的10.6亿元有小幅增加
[322.58-327.18] 主要是因为较高的平均营运资金的需求
[327.18-329.24] 整体而言本季的净利益率是1.6亿元
[329.24-330.26] 比第四季的净利益率是1.6亿元
[330.26-332.56] 比第四季的净利益率是1.6亿元
[332.56-336.16] 季增7%年增70%
[336.16-339.22] 高于猜测中位数的25.7亿
[339.22-342.34] 第一季虽然是传统的淡季
[342.34-344.12] 但因为整个产品组合正好
[344.12-345.24] 所以整体的获利
[345.24-347.90] 我们在第一季实现了季对季的成长
[347.90-351.76] 第一季的基本每股盈余是2.42元
[351.76-353.98] 季增7%年增54%
[353.98-356.58] 高于猜测中位数的2.3元
[359.24-362.64] 接着我们看一下资产负债表的部分
[362.64-367.20] 2025年第一季底的总资产是4,322亿
[367.20-370.18] 总负债是3,242亿元
[370.18-372.84] 相较于上一季都是小幅的成长
[372.84-375.26] 第一季的净应收账款
[375.26-377.60] 库存及应付账款
[377.60-380.10] 都比去年第四季有所增加
[380.10-383.46] 季底的净营运资金大致维持平稳
[385.30-389.22] 第一季的净营运资金在435亿元
[389.22-391.66] 较第四季的季底是小幅增加
[391.66-395.46] 总借款扣现金部位后的净金融负债
[395.46-398.18] 是485亿元
[398.18-403.18] 净负债比也就是Net Debt over Equity
[403.18-405.64] 下降至45%
[405.64-407.40] 较上一季持续的改善
[407.40-411.48] 主要是因为净应收账款减少所致的现金流入
[411.48-413.44] 让整体的净金融负债减少
[413.44-418.14] Net Average也就是Net Debt over EBITDA
[418.14-419.18] 在第一季是
[419.22-420.50] 2.6倍
[420.50-422.80] 比上一季的3.3倍持续下降
[422.80-424.34] 这是因为EBITDA增加了
[424.34-428.70] 且净金融负债的金额减少
[428.70-431.50] 未来随着欧美市场持续成长
[431.50-433.30] 市场需求及公司会提升
[433.30-437.14] 公司会持续以营运产生的现金流的方式
[437.14-439.44] 来进一步的降低干港的比率
[442.78-446.62] 接下来我们看一下主要的财务指标趋势
[446.62-448.66] 第一季的毛利4.58%
[448.66-450.20] 第四季有所提升
[450.20-452.50] 主要是之前提到产品组合的关系
[452.50-455.06] 而营业利率率1.85%
[455.06-456.60] 也叫第四季提升
[456.60-458.90] 整体而言我们看这些趋势
[458.90-462.22] 集团的毛利率跟营业利率
[462.22-466.84] 在并购Future后都稳定维持在一个水准以上
[466.84-470.16] Future目前的营运已经走出产业循环的底部
[470.16-472.72] 那它的营业干港之前提过是比较高的
[472.72-474.00] 所以随着市场复苏
[474.00-476.30] 公司的目标是要进一步的
[476.30-478.36] 再提升整体的
[478.66-481.22] 营业利率
[481.22-483.02] 右下角EPS的部分
[483.02-486.86] 第一季的EPS也随着营业利率激增而有所激增
[486.86-488.14] 整体EPS
[488.14-495.30] 并购Future后都维持在一个比较高的水准
[495.30-497.60] 在营运资金回收天期的部分
[497.60-500.94] 营收账款天数从第四季的53天
[500.94-504.26] 微幅增加到第一季的54天
[504.26-507.08] 库存天数从第四季的55天
[507.08-508.62] 有比较大增加到第一季的54天
[508.66-511.74] 主要是因为某些产品线备货需求
[511.74-513.78] 我们预期这个是短期的现象
[513.78-516.60] 在接下一两季就会回到正常的水准
[516.60-519.42] 但在库存天数提升的时候
[519.42-520.70] 会看到应付账款
[520.70-523.26] 其实也相应的从第四季的66天
[523.26-525.56] 增加到第一季的77天
[525.56-529.40] 所以公司整体的营运资金回收天期
[529.40-531.44] 从第四季的42天
[531.44-534.26] 其实是进一步的下降到第一季的41天
[534.26-537.34] 我们对比全球的这个通货商主要同眼
[537.34-538.62] 应该我们这个水准的
[538.66-543.52] 都是比较好的
[543.52-545.32] 接下来看营运资金报酬率
[545.32-547.10] ROWC的部分
[547.10-550.70] 第一季的ROWC是16.6%
[550.70-553.00] 相比第四季进一步的提升
[553.00-554.78] 与公司过往长期的比率
[554.78-557.10] 或是跟全球的主要同业相比
[557.10-560.68] 都是维持在比较高的水准
[560.68-562.72] 那第一季的净营运资金对比
