[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-89.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[90.00-119.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[120.00-149.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[150.00-152.74] 2025年第一季合并综合损益表
[152.74-155.58] 营业收入新台币47.25亿
[155.58-157.84] 营业毛利6.75亿
[157.84-159.84] 营业净利4900万
[159.84-161.76] 本期净利3000万
[161.76-165.28] 本期净利归属于母公司业主5600万
[165.28-167.78] 基本每股盈余0.3元
[167.78-171.14] 本公司第一季毛利率14.3%
[171.14-174.12] 较去年同期增加1.2个百分点
[174.12-175.82] 营业净利率1%
[175.82-178.60] 较去年同期增加0.3个百分点
[178.60-179.98] 本期净利率6.3%
[180.00-184.38] 较去年同期减少2.3个百分点
[184.38-190.32] 现在来看本公司2025年3月31号
[190.32-192.22] 合并资产负债表状况
[192.22-195.26] 现金及月当现金14.3亿
[195.26-198.46] 应收票据及账款29.9亿
[198.46-200.44] 存货52.7亿
[200.44-203.26] 不动产厂房及设备9.5亿
[203.26-205.36] 总资产139亿
[205.36-207.22] 流动负债79亿
[207.22-209.28] 非流动负债9.88亿
[209.28-209.98] 全域负债9.8亿
[209.98-211.82] 全域总计49.75亿
[211.82-215.42] 归属于母公司业主资权益40.27亿
[215.42-217.70] 每股净值21.38元
[217.70-221.40] 存货较去年底增加3.95亿
[221.40-223.48] 除了美国子公司Brandstone
[223.48-227.20] 3月底因应美国关税而被较多库存外
[227.20-229.98] 还有台湾这边因应专案而被获
[231.36-235.24] 全域总计及每股净值较2024年底降低
[235.24-239.24] 主要是分配113年现金股利1.14亿元
[239.98-245.44] 再来针对本公司的重要财务指标来说明
[245.44-247.08] 2025年第一季
[247.08-249.56] 应收账款周转天数57天
[249.56-252.36] 存货周转天数114天
[252.36-255.00] 应付账款周转天数68天
[255.00-257.78] 营运资金周转天数103天
[257.78-259.90] 流动比率126%
[259.90-263.86] 存货周转天数较去年底及去年同期长
[263.86-265.82] 主要是刚刚前面所提
[265.82-268.56] 因应美国关税而被较多库存
[268.56-269.78] 及台湾这边
[269.78-271.20] 因应专案而被获
[271.20-276.92] 接下来再看本公司合并营收占比
[276.92-278.26] 以应用比来区分
[278.26-280.54] 本公司分为AI运算
[280.54-281.42] 云服务
[281.42-281.96] 自安
[281.96-282.70] Meta联网
[282.70-283.54] 四大应用
[283.54-285.48] 2025年第一季
[285.48-286.72] 这四大应用
[286.72-289.00] 营收占比分别为
[289.00-291.06] AI运算52.9%
[291.06-292.70] 云服务14.1%
[292.70-294.24] 自安6.2%
[294.24-296.42] Meta联网25.5%
[296.42-297.78] 其他1.2%
[297.78-299.76] 未来除了持续优化产品之外
[299.78-300.82] 现有事业外
[300.82-303.40] 还有也会协助海外子公司
[303.40-304.88] 营运绩效提升
[304.88-306.22] 那外
[306.22-307.34] 国内市场在
[307.34-309.38] 自安公有云应用平台
[309.38-311.54] 及相关软硬体的销售与服务
[311.54-312.70] 逐步会回温
[312.70-316.38] 本公司会强化订阅自己云端等服务
[316.38-318.98] 以上为我对Meta的数位
[318.98-321.06] 2025年第一季财务结果
[321.06-322.14] 及业务摘要
[322.14-322.82] 谢谢
[322.82-322.92] 谢谢
[322.92-323.82] 谢谢
[323.82-327.82] 谢谢
[329.78-332.78] 来请总经理施建成报告
[332.78-337.78] 各位投资先进大家好
[337.78-339.92] 我是总经理施建成
[339.92-343.02] 在此向大家报告
[343.02-346.42] 2025年Meta针对于下半年的展望
[346.42-349.74] 公司是资讯服务产品
[349.74-354.98] 主要未来还是会聚焦于云端服务
[354.98-356.28] 开源应用
[356.28-357.54] AI赋能
[357.54-358.62] 以及自然防护
[358.62-359.76] 这四个大点的产品
[359.78-361.78] 在大型公司的领域
[361.78-364.78] 首先就云服务来讲的话
[364.78-367.78] 我想从去年到今年
[367.78-369.78] 台湾的三个公有云
[369.78-372.78] 包含AWS A9跟GCP
[372.78-375.78] 都陆续会在台湾成立一个Data Center
[375.78-378.78] 这个造成的影响就是因为
[378.78-379.78] 大家都知道
[379.78-382.78] 其实公有云一直有一个
[382.78-386.78] 就是能够对User来讲是比较弹性
[386.78-387.78] 而且是一个
[387.78-389.78] 这个订阅制的一个权限
