[0.00-29.98] 大家好。我是戴宇国际的IR师,
[29.98-33.48] 我是小玉,谢谢那个米小姐的介绍
[33.48-36.48] 那我们就先介绍一下公司的状况
[36.48-38.98] 然后等下我们最后再开放Q&A
[41.98-44.48] 那我们是黛宇国际股份有限公司
[44.48-48.98] 我们主要是做健身器材的生产制造跟销售为主
[48.98-52.98] 那我们目前的资本是16.71亿元
[52.98-55.98] 主要的产品就有有氧的健身器材
[55.98-58.98] 还有比较偏重训方面的
[58.98-61.98] 像是亚磷跟那个沙袋
[61.98-66.98] 还有我们也有涉略到商用跟轻商用的有氧健身器材
[68.98-70.98] 那这是我们目前主要的品牌
[70.98-73.98] 那我们品牌比较大的是这三个
[73.98-76.98] Stove的话是我们目前的家用健身器材品牌
[76.98-78.98] 最主要的销售的品牌
[78.98-82.98] 那它目前主要的售卖地区是北美地区为主
[82.98-85.98] 那它主打的是比较中高阶的健身器材
[85.98-88.98] 那中间的Xperia呢是属于比较中低级的
[88.98-92.98] 健身器材是比较有高CP值
[92.98-94.98] 那它销售通路主要就会是像Costco
[94.98-99.98] 亚马逊或是沃马这些比较平价的量饭店为主
[99.98-101.98] 那最后边的是Spirits
[101.98-104.98] Spirits是我们的商用健身器材品牌
[104.98-106.98] 那我们其实以往都比较偏
[106.98-110.98] 我们走向在轻商用的像是建案或者是一些社区
[110.98-115.98] 那我们近期是有比较蛮积极的在拓展商用健身房这一块
[115.98-118.98] 那商用健身房现在主要的品牌就会是
[118.98-121.98] Spirits的有氧和装饰器材为主
[121.98-126.98] 那另外呢我们除了健身器材一般有氧的话
[126.98-130.98] 还有就是Medical是我们的附件医疗的产品
[130.98-136.98] 那我们最近几年也是蛮积极的在附件医疗的产品上去做琢磨
[136.98-140.98] 那我们近几年的医疗的占比也有陆续的提升
[140.98-141.98] 大家后面也会讲到
[141.98-144.98] 那中间的UFC就是格斗品牌
[144.98-146.98] 有就是拳击手套啊
[146.98-148.98] 然后或者是纱带啊
[148.98-149.98] 亚林这些的
[149.98-153.98] 那最右边的Sicada是我们的自有品牌
[153.98-154.98] 是电腐车的自有品牌
[154.98-159.98] 那也是我们近期比较算是积极开发的新的产品线
[162.98-166.98] 那就是我们2024年跟近三年的损益表
[166.98-169.98] 那主要可以看到2024年其实有相较于
[169.98-173.98] 2023年有蛮大幅度的营运结构的优化
[173.98-177.98] 但是在毛利率跟营业利率的部分都有所成长
[177.98-181.98] 那我们也是从2024年开始有亏转盈
[181.98-186.98] 原本是2023年的0.88成长到2024年的0.45元
[186.98-189.98] 那我们的股本也是有持续的扩大
[189.98-193.98] 因为我们也是近期也是有做蛮多次的筹资
[193.98-197.98] 那这个16.71应该是2025年目前的股本
[197.98-201.98] 因为我们今年出的时候有做先增跟CD
[203.98-205.98] 那这是我们的销售组合
[205.98-206.98] 现在这边分成
[207.98-208.98] 列别跟产品
[208.98-211.98] 那列别可以看到我们目前占比最大的
[211.98-213.98] 还是以家用健身器材为主
[213.98-217.98] 那商用的话其实跟前几年比也是有蛮大的成长
[217.98-222.98] 因为刚刚讲到我们最近很积极的在扩展商用市场
[222.98-225.98] 就是像是一些连锁的小型健身房
[225.98-228.98] 都是我们很积极扩展的客户对象
[228.98-230.98] 那另外是部件医疗部分
[230.98-233.98] 可以看到其实之前的占比都是一帕以下的
[233.98-235.98] 但是我们2024年就是蛮积极的扩展
[235.98-237.98] 所以有把占比拉到上去
[237.98-239.04] 1.12%
[239.04-240.62] 虽然说占比还是很小
[240.62-242.58] 但是因为附近医疗产品
[242.58-244.44] 它的毛利其实都相较于
[244.44-246.34] 家用跟商用来的高蛮多的
[246.34-248.28] 所以这一块也是我们近期
[248.28-251.12] 算是很努力想要发展的
[251.12-253.00] 类别
[253.00-255.62] 那以产品别来看的话
[255.62-257.66] 最大的还是以电跑为主
[257.66-259.32] 跑步机24年的时候
[259.32-260.62] 有占到55%
[260.62-263.82] 那接下来是椭圆机跟健身车
[263.82-265.16] 那脚踏车的话
[265.16-267.20] 目前占比才1%左右
[267.20-268.80] 但是2025年
[268.80-271.86] 就是今年我们在代股中的出货
[271.86-274.14] 算是比较开始放大了
[274.14-275.60] 所以25年的占比
[275.60-277.46] 应该会成长蛮多的
[277.46-278.56] 就是会比这1%
[278.56-281.12] 至少是两倍以上的成长
[281.12-285.26] 在销售组合的话
[285.26-286.50] 依品牌别看
[286.50-287.92] 我们目前占比最大的
[287.92-289.18] 还是售为主
[289.18-290.42] 占48%
[290.42-291.48] 那Speria的话
[291.48-294.04] 近期也是有蛮大的提升的
[294.04-295.12] 现在已经23%
[295.12-296.78] 因为它主要就是商用
[296.78-298.54] 健身器材
[298.54-301.02] 那接下来就是其他类别
[301.02-305.14] 也是一直都大概有快两成左右
[305.14-307.34] 那其他里面就会是放一些
[307.34-309.62] 可能我们有一些外购品
[309.62-312.46] 或者是UFC之类的
[312.46-314.56] 都会在其他这个类别
[314.56-315.46] 那Speria的话
[315.46-316.98] 就是占比有略略缩小
[316.98-318.74] 因为其实Speria的产品
[318.74-320.92] 它是比较中低阶的
[320.92-322.38] 交CP的健身器材
[322.38-324.64] 那它其实以往的销售地区
[324.64-326.78] 蛮大一部分的会是在中国
[326.78-328.68] 或者是美国地区有模码
[328.68-332.46] 那因为现在可能大家的健身区是
[332.46-333.14] 的不同
[333.14-334.10] 就是有一些改变
[334.10-335.96] 像以往疫情最严重的时候
[335.96-338.26] 大家就是会买这些很便宜
[338.26-340.30] 就是比较便宜的健身器材
[340.30-341.34] 在家里面运动
[341.34-344.34] 但最近几年可能健身器材市场的
[344.34-346.14] 的一些变动
[346.14-348.06] 所以导致这些比较低价的产品
[348.06-350.68] 它的销售的状况就会变得比较不好
[350.68-351.82] 就主要还是为了自己
[351.82-354.54] 受这种比较中高阶的跑步机为主
[354.54-358.36] 那在各地区销售比重的话
[358.36-360.90] 我们其实以往最多都是美国
[360.90-362.32] 大约就是六到七成
[362.32-365.24] 那24年我们有蛮大的成长
[365.24-366.34] 是在欧洲这一块
[366.34-369.24] 欧洲我们这几年也是有并购了
[369.24-371.76] 蛮多一些线上的销售平台
