[0.00-29.98] 谢谢大家
[30.00-40.50] 好各位投資前進大家好午安
[40.50-43.24] 歡迎大家參加今天的
[43.24-44.80] 英業達股份有限公司
[44.80-47.80] 2025年第一季的財報發說會
[47.80-50.64] 我是富邦投顧下游分析師Titan
[50.64-53.28] 很高興我們今天邀請到
[53.28-55.60] 英業達集團的集團總經理Jack
[55.60-56.80] 蔡志安總經理
[56.80-59.98] 伺服器事業群的總經理Vincent
[60.00-61.44] 林素如先生
[61.44-64.56] 筆電事業群的總經理Fermin
[64.56-65.60] 尹福明先生
[65.60-69.00] 英華達董事長David何太水先生
[69.00-71.52] 以及財務長游季寶先生
[71.52-73.60] 來為大家說明
[73.60-75.94] 那我們今天的流程會是先說明
[75.94-77.32] 第一季的財報狀況
[77.32-79.64] 然後再進行GNA的環節
[79.64-83.18] 那我們現在先把時間交給財務長
[83.18-85.32] 由財務長來向大家說明一下
[85.32-86.88] 我們整個第一季的財報狀況
[86.88-87.84] 有請財務長
[87.84-89.18] 好
[89.18-89.28] 好
[89.28-89.98] 好
[89.98-90.00] 好
[90.00-91.80] ,大家午安
[91.80-93.12] 各位投資朋友們
[93.12-95.96] 各位投資先進們
[95.96-96.68] 我是葉俊寶
[96.68-98.92] 我先針對我們
[98.92-102.64] 英業達在第一季的一個合併報表
[102.64-105.16] 幾個數字來看報告一下
[105.16-107.04] 首先我們在看第一季的狀況
[107.04-110.08] 我幾個重點數字跟大家報告
[110.08-112.04] 分別是在營業收入方面
[112.04-115.98] 我們在第一季是來到了1570億
[115.98-119.02] 那這個數字比我們去年同期
[119.02-119.98] 也就是說2020年
[119.98-121.98] 去年的低限中期
[121.98-126.90] 1300年度的成長幅度達到了20%的一個成長
[126.90-130.10] 但因為我們在去年的第一四季
[130.10-134.38] 就是1977是去年度的高點
[134.38-140.66] 所以相對於去年第四季是衰退21%
[140.66-145.86] 那另外一個比較亮點的數字就是我們的毛利率
[145.86-148.98] 在第一季的毛利率是來到了6.0%
[148.98-149.94] 超過6%的一個成長度
[149.94-152.94] 那這也是我們歷年
[152.94-155.94] 最近這個年度以來的一個高點
[155.94-161.94] 在整個產品的出貨的一個組合情況
[161.94-168.94] 及我們這段期間在生產過程的順暢度增加
[168.94-175.94] 我們的毛利也在第一季也來到了一個超越狀態的一個範圍
[175.94-179.94] 那也因為毛利率的
[179.94-184.94] 高毛利率所以帶來我們在OP營業利率這一端
[184.94-187.94] 這邊的第一季是2.2%
[187.94-191.94] 我們第一年來我們大概也是在2.2%的水平
[191.94-193.94] 第一季的表現相對比較好
