[0.00-5.00] 請到滕輝來為大家舉辦法術會分享
[5.00-8.00] 首先我們介紹一下我們的警長鍾建仁
[8.00-9.00] 鍾先生
[13.00-17.00] 還有歡迎我們的財務長Jennifer
[19.00-20.00] 好
[20.00-22.00] 我就把時間交給我們的觀察團隊
[22.00-23.00] 謝謝
[30.00-44.00] 各位投資界的先進
[44.00-45.00] 大家午安
[45.00-50.00] 感謝今天能夠來參加公司的法術會
[50.00-54.00] 這裡做有我跟財務長杜曉雲
[54.00-57.00] 來跟各位做簡報說明
[57.00-58.00] 謝謝
[60.00-61.00] 謝謝
[64.00-66.00] 整天特別強調一下
[66.00-70.00] 我們公司是做特殊材料
[70.00-72.00] 在同行裡面
[72.00-75.00] 跟大家做差異化等等
[75.00-77.00] 那種規模
[77.00-78.00] 擴大
[78.00-79.00] 所以我們
[79.00-81.00] 在追求
[81.00-83.00] 高利潤高貿易
[83.00-84.00] 然後
[84.00-86.00] 來跟我們的同行
[86.00-87.00] 競爭
[87.00-88.00] 那當然也是要做到
[88.00-89.00] 要特殊
[89.00-90.00] 所以我們強調
[90.00-91.00] 我們要提升利息
[91.00-92.00] 每一方面
[92.00-93.00] 提供
[93.00-94.00] 在
[94.00-96.00] 積極水溫特殊產品上面
[96.00-97.00] 做到一流進來
[97.00-98.00] 然後
[98.00-99.00] 買出客戶來
[99.00-101.00] 新的發展
[101.00-102.00] 其實當然能夠
[102.00-104.00] 做得
[104.00-105.00] 所以
[105.00-106.00] 那另外我們的策略是
[106.00-109.00] 希望做全球的互動
[109.00-112.00] 然後提供全方位的技術跟產品
[112.00-114.00] 客人可以到我們公司
[114.00-115.00] 任何
[115.00-117.00] 全球任何角落
[117.00-118.00] 買到
[118.00-119.00] 他們所需要的產品
[119.00-122.00] 我們希望把自己定位成這個樣子
[122.00-128.00] 那這個接下來是講我們公司的長處
[128.00-133.00] 一個就是各位看到這些材料
[133.00-136.00] 基本上市場上能夠找到的材料
[136.00-140.00] 是關於傳統的子彈或是新式子彈的公司都有
[140.00-142.00] 那中間比較特殊的
[142.00-144.00] 像我的公司是台藏的魅維加
[144.00-145.00] 或
[145.00-147.00] 區間雅安的產品
[147.00-148.00] 那目前市佔率大概是
[148.00-152.00] 全世界大概20%
[152.00-154.00] 那主要應用是軍工
[154.00-156.00] 還有一些半導體的測試
[156.00-157.00] 所以非常高階的
[157.00-159.00] 然後率大概就在六七十
[159.00-161.00] 另外我們也是
[161.00-163.00] 全世界最大的投燈
[163.00-165.00] 跟一些散熱材料的
[165.00-167.00] 基礎基板公司
[167.00-169.00] 然後像我們也
[169.00-171.00] 現在大家都很熱的高需
[171.00-173.00] 我們公司做在英文叫來日記
[173.00-175.00] 這一塊目前還在進行
