[0.00-6.82] 好那欢迎各位投资先进来参加今天望准科技的法说会
[6.82-9.32] 那今天的主讲者是我们的史安总经理
[9.32-12.84] 那接下来的时间我们就交给总经理这边
[12.84-13.34] 谢谢
[13.34-17.04] 各位投资朋友大家好
[17.04-20.12] 很高兴大家来参加望准的一个法说会
[20.12-23.64] 那我看台下很多都是手面孔一直在follow我们的
[23.64-25.54] 那也谢谢大家
[25.54-28.66] 那我在这边有就是这第一季的法说会
[28.66-32.32] 所以我有整理了一下市场上第一季上的一些数据
[32.32-33.64] 来供大家参考
[33.64-36.08] 那报告完之后大家有任何问题的话
[36.08-38.74] 就欢迎拿出来一起讨论
[38.74-45.58] 目前我们的资本额大概是5.8亿
[45.58-49.72] 那目前的月产能一个月大概5400万片
[49.72-53.84] 那三个工厂正在新建的竹南新的总部
[53.84-56.34] 那一切目前工程是on schedule
[56.34-58.58] 所以预计明年整个building会完成
[58.58-58.64] 那三个工厂正在新建的竹南新的总部
[58.64-64.66] 那先来看一下我们Q1的一个财务数字
[64.66-68.18] 那我们从2021年到2024年
[68.18-71.16] 其实我们整个的收入其实年成长率大概28%
[71.16-73.76] 那去年大概做30亿
[73.76-76.44] 那今年第一季是做8.1亿
[76.44-79.32] 那比起去年同期YY是大概6%左右
[79.32-81.46] 那在毛利的部分的话
[81.46-82.86] 过往大概毛利大概在48
[82.86-84.12] 去年是39
[84.12-86.58] 那今年第一季是41%
[86.58-88.62] 那营业利润率的话
[88.64-89.92] 去年30
[89.92-92.14] 那今年是29%
[92.14-94.26] 那净利的部分
[94.26-95.98] 今年第一季是25%
[95.98-98.96] 所以从整个从营收的成长
[98.96-101.78] 那从毛利率营业利润净利率
[101.78-104.92] 那旺准一直都有一个不错的一个表现
[104.92-110.68] 那在盈余的EPS的部分
[110.68-112.92] 2021年到2024年
[112.92-114.42] 我们富额成长率在40
[114.42-116.26] 也就2021年我们大概4.6块
[116.26-118.26] 那去年是11.8
[118.64-121.58] 那今年第一季是3.32块
[121.58-123.98] 那其实今年第一季比去年同期
[123.98-125.10] 赚的钱是比较多
[125.10-128.02] 但是因为我们股本上市有一个股权的稀释
[128.02-131.96] 所以EPS是略低于去年的一个同期
[131.96-134.26] 去年大概在3.4左右
[134.26-136.14] 那在股东权益报酬率的话
[136.14-139.30] 去年是2024年是25%
[139.30-142.84] 那因为上市的时候有做一次增值
[142.84-146.28] 那所以今年第一季的ROE的话有点下降
[146.28-148.10] ROE目前大概在20%
[148.10-151.54] 那20的ROE也算是还一个不错的一个财务数字
[151.54-157.20] 那看一下我们第一季的一个营收
[157.20-159.20] 这整个市场的一个状况
[159.20-160.76] 在第一季的话
[160.76-163.06] 占比的部分的话
[163.06-165.62] 日本市场是占我们54%
[165.62-167.96] 那可以看一下2024年
[167.96-171.24] 我们日本市场YOY是28%
[171.24-174.76] 那2025年Q1的YOY是37%
[174.76-176.52] 也就是今年的第一季
[176.52-178.08] 日本有一个非常大幅的一个成长率
[178.10-180.10] 那主要是来自于日本
[180.10-183.10] 这边有比较多新品向的一个
[183.10-185.10] 新品的一个上市
[185.10-188.10] 那主要是我们第二代绿蓝光的产品
[188.10-190.10] 那以及闪光彩片的一个产品
[190.10-192.10] 在市场上上市
[192.10-194.10] 来推动我们在日本市场上
[194.10-196.10] 一个比较低级一个比较大的一个成长
[196.10-201.10] 那大陆市场在第一季占比是41%
[201.10-205.10] 那2024年大陆市场YOY是11%
[205.10-207.10] 那今年第一季YOY是-20%
[207.10-208.10] 那今年第一季YOY是-20%
[208.10-211.10] 那主要是我们做的客户的话
[211.10-215.10] 他第一季大概一二月还在明显的去化库存
[215.10-218.10] 那一些彩片的回单是从三月开始
[218.10-220.10] 那基本上在第二季的话
[220.10-223.10] 中国市场就会看到比较明显的一个
[223.10-225.10] 拉货的一个动能
[225.10-228.10] 这等下在中国市场分析部分
[228.10-231.10] 也会再跟大家分享一下
[231.10-233.10] 那所以整个中国市场的话
[233.10-236.10] 第二季开始应该就会开始一个
[236.10-238.10] 比较明显的一个成长动能
[238.10-242.10] 那在台湾市场的话是目前占比在第一季是5%
[242.10-244.10] 那YOY有18%
[244.10-246.10] 那主要是我们开始整合一些
[246.10-248.10] 就我们有转投资公司
[248.10-250.10] 那开始帮客户做一些品牌的代运营
[250.10-253.10] 那未来会希望台湾的一个占比
[253.10-256.10] 也可以慢慢的开始提升
[256.10-258.10] 那美国市场刚开始我们西纬胶产品
[258.10-261.10] 刚开始在美国市场做贩售
[261.10-262.10] 那目前比例还不高
