[0.00-6.00] 今天我們要進行的是中華紙張2025年度第一季營運概況的法收會
[6.00-11.00] 今天的議程一開始會先由我們的財務部的協理
[11.00-14.00] 洪思穎洪協理先來進行財務概況的說明
[14.00-19.00] 緊接著在Q&A時間會邀請總經理陳瑞浦來回答各位的提問
[19.00-22.00] 現在開始進入今天的議程
[22.00-27.00] 各位股東投資先進及媒體記者大家午安
[27.00-34.00] 感謝大家過來參加中華紙張2025年度第一季營運概況的法的說明會
[34.00-39.00] 請大家注意一下折聲明
[39.00-48.00] 接下來就進行我們今天的簡報內容
[48.00-56.00] 這一頁是我們公司的基本資料跟主要產品提供給各位參考
[56.00-57.00] 中華紙張2025年度第一季營運概況的說明會
[57.00-65.00] 上 συν合資證報告
[65.00-73.00] 大家預先前進看我們的資料
[73.00-87.00] 出版 Pakai中華紙張2025年度第一季營運開放
[87.00-91.90] 那我们在两岸的生产基地和销售据点
[91.90-94.52] 也跟之前和各位报告的一样
[94.52-95.82] 没有这点变化
[95.82-98.84] 那大家可以看到这边有花莲厂
[98.84-101.28] 以及高雄的酒堂厂
[101.28-102.24] 台东厂
[102.24-106.00] 还有在大陆广东肇庆的鼎峰厂
[106.00-109.28] 以及下面这边桃园的观音厂
[109.28-112.64] 那销售据点六个我们分别是在
[112.64-117.36] 台北台中台南上海深圳香港等地
[117.36-122.32] 投资架构的部分呢
[122.32-127.00] 也是跟上次打收费和各位报告的内容没有变化
[127.00-129.20] 那在海外的投资部分
[129.20-132.84] 我们是透过CHPBI去投资海外
[132.84-134.20] 那在台湾的部分
[134.20-138.18] 我们是透过华丰投资来进行一个规划
[138.18-141.78] 那大家可以看一下到这边的投资架构
[141.78-142.62] 那在台湾的部分
[142.62-142.64] 那在台湾的部分
[142.64-172.62] 那在台湾的部分
[172.62-202.60] 那在台湾的部分
[202.60-232.58] 那在台湾的部分
[232.60-262.58] 那在台湾的部分
[262.60-292.58] 那在台湾的部分
[292.60-322.58] 那在台湾的部分
[322.60-352.58] 那在台湾的部分
[352.60-355.60] 那在台湾的部分
[355.60-356.36] 那在台湾的部分
[356.36-356.58] 那在台湾的部分
[356.60-358.82] 那么我们俩 cities
[358.82-359.56] 就可以掌摩好
[359.56-359.84] conquered
