[0.00-5.50] 各位衛兵同志先敬大家午安
[5.50-8.10] 感謝各位今天撲絨參加
[8.10-10.30] 風大科技的保安說明會
[10.30-12.88] 首先我們為各位介紹
[12.88-16.08] 風大科今日的與會經營團隊
[16.08-18.24] 總經理林威春
[18.24-23.42] 以及常務長李文正
[23.42-28.42] 接下來是公司的簡報時間
[28.42-30.18] 我們將請經營團隊
[30.18-32.26] 就第一季的經營成果
[32.26-34.76] 為大家做簡報
[38.76-40.64] 各位同志先敬
[40.64-42.76] 大家午安 大家好
[42.76-45.50] 我是風大科技總經理
[45.50-48.54] 今天就由我跟常務長李文正
[48.54-50.44] 來這邊跟各位做報告
[50.44-52.34] 以及回答接下來各位
[52.34-56.54] 對於風大公司的所有的問題
[56.54-58.42] 那
[58.42-60.42] 這是一個免責的聲明
[60.42-62.42] 這個大家看一下
[62.42-64.42] 報告的部分分兩段
[64.42-66.42] 一個是營運的報告
[66.42-68.42] 那跟財務的說明
[68.42-70.42] 那這樣
[70.42-72.42] 我今天會把時間
[72.42-74.42] 多留一些時間給各位
[74.42-76.42] 我知道各位想要很多的問題
[76.42-78.42] 那我多留一點時間給各位
[78.42-80.42] 所以這兩份報告
[80.42-82.42] 都會由我來做說明
[82.42-84.42] 首先我們來進行營運的聲明
[84.42-86.42] 我們先來講一下
[86.42-86.72] 我們在這個項目上的部分是什麼呢?
[86.72-86.74] 我們在這個項目上的部分是什麼呢?
[86.74-86.84] 我們在這個項目上的部分是什麼呢?
[86.84-87.42] 我們在這個項目上的部分是什麼呢?
[87.42-87.92] 我們在這個項目上的部分是什麼呢?
[87.92-88.42] 我們在這個項目上的部分是什麼呢?
[88.42-88.92] 我們在這個項目上的部分是什麼呢?
[88.92-89.42] 我們在這個項目上的部分是什麼呢?
[89.42-90.90] 我們在這部分是說明
[90.90-92.32] 風達在1997年成立
[92.32-92.92] 我們在這個項目上的部分是什麼呢?
[92.92-93.42] 我們在這個項目上的部分是什麼呢?
[93.42-94.42] 我們在這個項目上的部分是什麼呢?
[94.42-96.42] 我們在這個項目上的部分是什麼呢?
[96.42-98.42] 是2002年的izz
[98.42-100.42] 目前資本是5.57億
[100.42-102.42] 主要的大股東是神蹟科技
[102.42-104.42] 目前的人數有888位
[104.42-106.42] 目前的人數有888位
[106.42-108.42] 目前的人數有888位
[108.42-110.42] 這800多位分成到台灣大概580左右
[110.42-112.42] 這800多位分成到台灣大概580左右
[112.42-114.42] 這800多位分成到台灣大概580左右
[114.54-116.54] 中國大概260
[116.54-117.44] 中國大概260
[118.42-125.22] 大概40多位,將近快50位是我們新的馬來西亞公司的一個員工的數量
[127.62-132.02] 營收在2024年合併是35.2億
[132.50-137.38] 主要的產品還是在飛機所使用的扣件
[137.38-139.86] 我想這個扣件我們說得更精準一點
[139.86-144.10] 應該是在飛機引擎上面所使用的居多
[145.46-146.50] 這使用的居多
[146.50-151.30] 再來是機架件、鍛造的部分以及汽車的扣件
[154.34-158.66] 各位可以看到台灣的部分我們有三個工廠
[158.66-160.98] 都在位於平鎮裡三個工廠
[160.98-162.42] 一廠、二廠、三廠
[162.42-165.06] 昆山目前還是為止一個工廠
[165.06-168.02] 再來這個是馬來西亞的部分
[168.02-173.38] 待會兒我會多一些說明在馬來西亞工廠的目前狀況
[176.50-185.30] 我剛提到我們公司最主要的產品還是在飛機發動機上面使用的產品居多
[185.30-190.26] 那目前全世界四大引擎製造公司
[190.26-195.14] GE、美國的骨繪、英國的RosLois
[195.14-197.30] 以及法國的Safran
[197.30-199.06] Safran Engine Club
[199.06-204.34] 目前這四大都是FONDA的客戶
[204.34-206.34] 那當然最終
[206.50-212.90] 飛機已經是組裝在波音跟Airbus的飛機上面
[212.90-216.42] 除了這四大客戶之外
[216.42-221.86] 當然還有其他的一些這四大客戶的一些TL1的部分
[221.86-223.86] 包括機身的TL1
[223.86-226.98] 例如像義大利的AVIO
[226.98-229.38] MOOC這個飛機
[229.38-231.38] 飛行控制的
[231.38-233.38] CORIANS
[233.38-235.38] TRIANF
[235.38-236.42] MTU
[236.42-238.42] GK HONEYWELL等等
[238.42-243.46] 這個大概是最主要的幾家大的飛機
[243.46-247.94] 不管是引擎或是機身方面的製造的TL1
[247.94-251.78] 那剩下這幾家主要是在汽車運用方面
[251.78-255.62] 汽車構建運用方面的一些大客戶
[255.62-261.62] 使用FONDA的產品所用的
[261.62-263.62] 應用到發動機的部分
[263.62-265.62] 我想現在空中
