[0.00-5.64] 歡迎各位投資先進參加愛迪生光電股份有限公司法人說明會
[5.64-9.22] 我們今天在場的主講人是許正典副總
[9.22-12.04] 接下來我們就先請副總來為我們進行簡報
[12.04-21.00] 歡迎各位投資先進來參加我們第一季度的法人說明會
[21.00-25.60] 今天的整個會議的話我一樣前面會用比較短的時間
[25.60-31.24] 大概簡短介紹一下我們整個Q1的一個情況
[31.24-40.44] 後面的話我想我還是保留一些時間讓各位投資先進這邊來做一個Q&A問題的發問
[40.44-42.24] 那我們就開始
[42.24-49.92] 公司簡介部分我想大家應該都比較熟悉的
[49.92-54.28] 目前公司的資本額大概是在14.56億
[54.28-55.56] 如果是折算
[55.56-59.14] 在美金的話大概在這個
[59.14-63.76] 4700萬的美金左右
[63.76-66.56] 那公司目前的一個主要產品其實還是
[66.56-69.12] 分成三大類包括在
[69.12-75.28] LED照明的產品還有車用的產品以及這個傳感器的
[75.28-76.56] 元件的部分
[76.56-77.84] 那當然在
[77.84-82.44] 照明跟車用產品上我們也都分別從元件
[82.44-85.52] 走到中油的模組到下油的成品
[85.52-85.54] 所以我們現在在這個情況下我們也有一個分別的產品我們也有一個分別從元件走到中油的模組到下油的成品
[85.54-91.18] 那公司嚴格我想這個我就跳過去
[91.18-96.04] 那財務資訊的話我們整個在Q1來講
[96.04-98.86] 我們剛才介紹了三大類的產品
[98.86-102.18] 傳感器元件目前的占比大概在
[102.18-104.22] 五個點左右
[104.22-108.32] 那在照明的這個產品大概在51%
[108.32-114.22] 那車用的產品在第一個季度的一個占比大概在44%左右
[114.22-114.46] 那有關這個車用的產品的話我們在Q1來講的話我們在第一季度的一個占比大概在44%左右
[114.46-115.50] 那有關這個車用的產品的話我們在第一個季度的一個占比大概在44%左右
[115.50-118.32] 那有關這個車用的產品的話我們在第一個季度的一個占比大概在44%左右
[118.32-121.90] 我們在把它拆解
[121.90-124.98] 拆解成就是車用有關的
[124.98-128.56] 從元件到
[128.56-132.40] 元件到模組一直到成品的部分
[132.40-135.98] 元件的部分占比大概占整個車用的14%
[135.98-139.82] 模組大概占車用部分的41%
[139.82-142.12] 成品大概占45%
[142.12-145.46] 那如果我們把這個部分就是整個回復的部分
[145.46-149.56] 回歸到整個合併的營收來看的話
[149.56-152.38] 大概就是在車用的這個成品部分
[152.38-154.42] 這邊45%的部分
[154.42-159.28] 占整體的合併營收的比重大概在20%左右
[159.28-162.86] 那相對在車用模組的部分
[162.86-166.96] 占整個合併營收的百分比大概在18%
[166.96-170.80] 車用元件大概在6%左右
[170.80-174.14] 那其實如果以這個比重來看就是我們其實
[174.14-175.34] 第一個季度來講
[175.34-178.60] 我們車用的成品這邊的出貨
[178.60-182.58] 大概來到我們整個集團合併營收的20%左右
[182.58-186.14] 也算是就是相較於過去來講
[186.14-188.18] 比重也有在持續提升
[188.18-192.50] 那最主要就是因為我們在第一個季度來講
[192.50-196.98] 雖然說這個中間有經過
[196.98-199.44] 這個農曆年過年的一個因素
[199.44-204.00] 但是因為之前公司其實整個在農曆年前
[204.00-205.30] 包括在去年年底
[205.30-208.84] 其實我們也有做了一些預先備貨的一個情況
[208.84-210.50] 所以其實我們在第一個季度
[210.50-213.90] 車用的成品這邊出貨的一個情況
[213.90-219.24] 也算是比整個前個季度算是比較好
[219.24-220.26] 有一些提升
[220.26-222.96] 那車用的元件的部分其實也有陸續在提升
[222.96-226.20] 不過提升的當然它的速度沒那麼快
[226.20-228.66] 那車用元件以目前來講
[228.66-230.96] 應用端比較多的市場
[230.96-232.90] 其實是在中國大陸的市場
[232.90-234.00] 在中國大陸的市場
[234.00-237.34] 那如果以這個模組
[237.34-239.50] 當然模組跟成品這兩個部分
[239.50-244.84] 其實比較多的應用端還是會在北美的市場
[244.84-252.30] 那以我們整個第一個季度合併損益表
[252.30-253.76] QOQ的部分來看
[253.76-258.20] 我們第一個季度的這個合併營收在5.72億台幣
[258.20-261.16] 那整個營業毛利在1.32億
[261.16-264.00] 那毛利率大概在23.1左右
[264.00-267.00] 那在這個營業費用的話
[267.00-270.24] 跟去年第四季來比較的話
[270.24-273.00] 大概有減少了大概11%左右
[273.00-274.76] 大概1.13億
[274.76-279.50] 那整個在營業淨利的部分在1961萬
[279.50-284.00] 那業外的部分以第一個季度來講的話
[284.00-288.00] 就是第一個季度這邊是還有一些外幣兌換的利益
[288.00-291.24] 大概在9,895萬左右
[291.24-293.84] 那整個合併的稅前
[294.00-297.24] 一般的業務淨利在2570萬
[297.24-299.84] 那稅後在1754萬
[299.84-301.84] 當然這邊看起來就是
[301.84-304.00] 各位先進這邊可能會發現說
[304.00-307.00] 我們這個所流稅費用這邊第一季度我們估列的比較高
[307.00-308.50] 來到800多萬
[308.50-310.50] 那其當然這個部分
[310.50-313.00] 其實主要的原因是因為
[313.00-316.00] 如果我們跟去年的第四季度來看
[316.00-319.00] 第四季度其實這邊整個才1100多萬
[319.00-321.00] 那因為整個第一個季度來講
[321.00-324.00] 如果以我們把整個分成整個的
[324.00-327.24] 這個趙明跟車用兩大BU這種概念來看的話
[327.24-330.24] 因為第一個季度在車用的BU的這個部分
[330.24-333.24] 它的獲利是比趙明這邊要來的好一些
[333.24-337.24] 我講的獲利是指它的這個最後的稅後的金額的部分
[337.24-341.76] 那因為以這個車用的一個部分
[341.76-345.00] 我們目前主要是放在我們的集團合併報表內的
[345.00-347.24] 這個子公司愛特光電的部分
[347.24-349.00] 那單獨就這家公司來講
[349.00-351.00] 因為它的營利比較好
[351.00-353.84] 所以它的這個估列的這個所流稅費用
[353.84-355.08] 就會相對比較高
[355.08-357.08] 那因為愛迪生光電雖然它有獲利
[357.08-359.08] 但是因為愛迪生光電它在過去
[359.08-362.08] 它的這個所流稅這邊有一些
[362.08-367.08] 過去幾年的這個虧損扣除這邊都還沒有使用完畢
[367.08-369.08] 所以其實如果單純就愛迪生光電
[369.08-373.08] 它是相對來講它比較不會有所流稅的一個問題
[373.08-377.08] 不過我想這個它都只是一個估計的概念而已
[377.08-381.08] 因為它會隨著我們整個到Q2到Q4
[381.08-383.08] 它這個數字它還會再改變
[383.84-386.08] 那就是說到我們到Q2
[386.08-388.08] 那整個整體來講
[388.08-390.08] 隨著這個獲利或是隨著這個報稅
[390.08-394.08] 我們還會再加入一些包括所流稅的一些扣除的部分
[394.08-396.08] 包括一些申請投資抵減等等之類
[396.08-398.08] 所以它的實質的稅率呢
[398.08-406.08] 基本上它到後面它應該會呈現是一個下降的一個數字
[406.08-410.08] 那當然第一季度我們是用比較保守的方式來做估列
[410.08-413.08] 那整體在第一個季度這個稅後淨利合併
[413.84-415.84] 我們的淨利在1754萬
[415.84-421.84] 那歸屬母公司業主是在1282萬
[421.84-426.84] 那這邊我們看一下YY的部分
[426.84-430.84] 那這個是跟去年的同季第一季這邊來做比較
[430.84-433.84] 那如果以跟去年同季來比較的話
[433.84-435.84] 今年第一季度的一個營收
[435.84-439.84] 大概微乎比去年同期增加了6.2%
[439.84-441.84] 那在毛利的部分
[441.84-443.84] 若以毛利的經濟來看的話
[443.84-445.84] 其實是減少372萬
[445.84-447.84] 如果以毛利率來講
[447.84-451.84] 大概減少了大概1.8個百分點
[451.84-453.84] 那當然我想減少1.8個百分點
[453.84-457.84] 這個部分應該跟我們的產品組合有關係
[457.84-459.84] 因為剛才我有說明到就是說
[459.84-461.84] 其實今年第一個季度
[461.84-465.84] 我們在這個車用的部分
[465.84-469.84] 它其實的這個營收是比去年第一季度要來的提升
[469.84-471.84] 那相對來講
[471.84-473.84] 我們在這個趙明這邊的這個營收
[473.84-476.84] 是比去年第一季的營收是要來的下降
[476.84-480.84] 那如果以這兩大塊BU來看的話
[480.84-482.84] 在車用的這個BU來講
[482.84-488.84] 它的一個毛利率其實並沒有像趙明的毛利率這麼高
[488.84-490.84] 那當然它這個是要靠它的價動率
[490.84-492.84] 以及它的這個經濟規模
[492.84-496.84] 才有辦法去產生更大的一個獲利的金額
[496.84-498.84] 所以以平均值來講
[498.84-499.84] 我們在車用這邊它的一個毛利率大概在哪一邊呢
[499.84-500.84] 大概在哪一邊呢
[501.84-503.84] 大概在兩成 20%左右
[503.84-504.84] 那在趙明的部分
[504.84-506.84] 它因為有從原件到模組
[506.84-509.84] 那當然也有一些比較屬於這個
[509.84-512.84] 這個負債價值比較高的這些成品
[512.84-515.84] 所以其實它的一個毛利率有可能就會落在
[515.84-519.84] 15%到35%這樣的一個區間
[519.84-522.84] 所以其實如果單純就毛利率的概念來看
[522.84-525.84] 其實目前趙明的毛利率是比較好
[525.84-526.84] 平均
[526.84-528.84] 那當然車用是
[528.84-530.84] 車用以目前的規模來講
[530.84-533.84] 是稍微就是比較低一些
[533.84-536.84] 那所以當這兩個它的一個產品組合的一個
[536.84-538.84] 稍微有一些消長的時候
[538.84-541.84] 毛利率就會有微幅的一個調整
[541.84-543.84] 那在這個營業費用的部分
[543.84-545.84] 我們今年第一季度
[545.84-549.84] 營業費用跟去年其實是幾乎是相當的
[549.84-550.84] 幾乎是相當的
[550.84-551.84] 那差異是不大
[551.84-553.84] 那整個在營業淨利的部分
[553.84-558.84] 今年第一季度大概比去年減少了285萬左右
[558.84-560.84] 那如果以佳績的整體來說的話
[560.84-564.84] 整個營業外的收入支出的情況後來看
[564.84-566.84] 我們整個在稅前淨利的金額
[566.84-569.84] 今年第一季跟去年第一季比較
[569.84-573.84] 大概是微乎減少了148萬左右
[573.84-575.84] 減少148萬
[575.84-577.84] 那我想主要差異還是在這個
[577.84-579.84] 剛才所報告的這個所得稅費用的部分
[579.84-581.84] 因為這個部分在去年第一季度
[581.84-584.84] 因為去年第一季度這個愛特這邊幾乎是
[584.84-586.84] 幾乎是沒有估列所得稅
[586.84-588.84] 那這兩個來一相比較的話
[588.84-590.84] 大概就是差異的部分
[590.84-592.84] 這個會有大概有721萬
[592.84-594.84] 所以整個在稅後的一個金額來講
[594.84-598.84] 大概兩期的差異大概在869萬左右
[598.84-603.84] 869萬
[603.84-607.84] 那在這個合併資產負債表的部分
[607.84-610.84] 我們整個在截止到3月31號為止
[610.84-616.84] 我們整個總合併的一個資產是在41.23億
[616.84-617.84] 那這裡面呢
[617.84-620.84] 大概我想比較大的部分就是屬於
[620.84-623.84] 流動的一個部分的一個占比
[623.84-627.84] 大概有來到將近55%以上
[627.84-629.84] 那比較大的還是在現金
[629.84-631.84] 月亮現金跟這個英州賬款存貨
[631.84-633.84] 這三大科目當中
[633.84-636.84] 那在這個負債比的話
[636.84-639.84] 大概在21.8%
[639.84-644.84] 那負債金大概在這個8.9億左右
[644.84-649.84] 那我們的整個股東權益在32.26億
[649.84-651.84] 那如果以整個財務結構來講
[651.84-653.84] 跟去年的
[653.84-656.84] 如果跟去年這個年底
[656.84-658.84] 以及跟去年的同期
[658.84-660.84] 去年Q1來比較的話
[660.84-663.84] 這個財務比率其實差異是並沒有很大
[663.84-668.84] 那當然如果以這個負債比的話
[668.84-671.84] 那其實我們今年21.8
[671.84-673.84] 那年底的時候是在23.9
[673.84-674.84] 那去年在22.1
[674.84-678.84] 所以其實大概都是落在21到23%左右
[678.84-680.84] 那我們的股東權益的這個比重
[680.84-684.84] 大概也都是落在76到78左右的百分比左右
[684.84-688.84] 所以其實它這個比例其實是並沒有差異太大
[688.84-692.84] 那因為我們在去年的11月份的時候
[692.84-696.84] 我們有發行的一個CB4的這個部分
[696.84-698.84] 那當然這裡面有一部分
[698.84-702.84] 我們是拿來提前償還了這個長期借款
[702.84-706.84] 那另外有一部分我們拿去做這個轉投資子公司
[706.84-708.84] 愛特光電這邊來使用
[708.84-713.84] 我們基本上我們的有一些這個流動的這個
[713.84-714.84] 算是說負債
[714.84-716.84] 我們只是把它從這個銀行的借款
[716.84-718.84] 我們轉期一個稍微比較長
[718.84-721.84] 轉成比較長期的這個三年期的這個
[721.84-723.84] 可轉換公司債這個部分
[723.84-728.84] 所以其實整體的一個影響其實並不是很大
[728.84-732.84] 那目前的公司合併的這個不動廠廠房設備
[732.84-734.84] 大概有16.23億
[734.84-738.84] 那當然這裡面就是我想主要除了在
[738.84-741.84] 台灣這邊的這些不動產設備以外
[741.84-744.84] 那主要還是在這個揚州廠的部分
[744.84-748.84] 因為揚州廠它過去我們這個投資的這個金額比較大
[748.84-751.84] 主要是來自於我們集團來自於這兩個部分
[755.84-757.84] 那我想以目前來講
[757.84-760.84] 公司這邊其實的產品
[760.84-763.84] 還是從這個原件這邊出發
[763.84-766.84] 那不管是在照明的部分也好
[766.84-768.84] 或者是在車用的部分也好
