[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.20] 与点点栏目的各个投资新进
[32.20-40.08] 以下我会就第一季度的财务报告重点
[40.08-45.80] 还有今年后续的营运状况的讲话来做一个说明
[45.80-52.46] 首先我们还是先看到我们整个营运投资的架构
[52.46-56.82] 过去在架构上没有一个重大调整
[56.82-58.62] 那只是说在
[58.62-59.98] 因应今后的
[60.00-62.04] 今年的一个中美贸易的情况
[62.04-68.36] 那我们其实从去年开始就有比较积极的在我们的生产基地做布局
[68.36-75.40] 包含从去年有一个PTSCI的管理层的一个调整
[75.40-80.28] 那今年上个月四月底我们也通过了对印尼的一个政治案
[80.28-83.72] 准备去强化我们整个海外生产基地
[83.72-87.72] 那除了目前的这个布局以外
[87.72-89.88] 未来可能还会是情况去
[89.88-93.36] 看我们的一些市场通路的一个拓展
[94.62-98.16] 那另外就是说在餐饮事业跟其他事业方面
[98.16-101.00] 还是维持相当的一个投资
[101.00-106.68] 包含金矿咖啡的一个原料生豆的一个烘培
[106.68-110.68] 然后五花马这个台湾连锁的一个实名品牌
[110.68-114.76] 跟日本这边的一个物业地产管理的持续投资
[116.82-119.02] 那我们接下来看一下
[119.88-122.28] 第一季的一个水益状况
[122.28-125.64] 那其实今年在第一季度的时候
[125.64-130.62] 在营收的部分还是比同期略微成长了两个百分点
[130.62-133.50] 那这个主要还是得于说
[134.94-139.98] 市场上对公司的一个产品还是有一定的青睐度
[139.98-146.10] 那只是说这其中的一个组成也仍然有美国的客户
[146.10-148.62] 他对于当初川普关税的一个不确定影响的一个形式
[148.62-149.32] 他对于当初川普关税的一个不确定影响的一个形式
[149.32-149.82] 他对于当初川普关税的一个不确定影响的一个形式
[149.88-152.54] 所以还是有进行一些转单
[152.54-156.14] 那因为是转到我们的印尼自然基地
[156.14-161.24] 所以我前面所提的一个布局的成效开始有逐步的展现出来
[161.24-163.92] 所以我们的营收还是维持相当的成长
[163.92-168.24] 只是说受限于目前整体市场的一个原物料
[168.24-170.44] 包含铝锭 硅金属
[170.44-176.58] 甚至是海运费等等这些成本及费用的高涨
[176.58-177.78] 我们的劳力跟营业利益是交通期来说是很高涨的
[177.78-179.86] 我们的劳力跟营业利益是交通期来说是很高涨的
[179.88-181.32] 所以我们的营业利益是交通期来说是很高涨的
[181.32-187.44] 那这其中当然也包含了我们持续在投入的一个零件自治的一个部分
[187.44-195.14] 这个部分的固定支出也对我们在短时间内还是有一定程度的获利影响
[195.14-197.34] 那至于在业外的部分
[197.34-207.04] 财务单位在这个部分的操盘其实还是着重于在理财商品跟一个汇率关注
[207.04-209.32] 以及定存利率的一个
[209.32-209.86] 财务单位在这个部分的操盘其实还是着重于在理财商品跟一个汇率关注
[209.86-214.16] 以及定存利率的一个相对应的获利操盘
[214.16-216.58] 所以我们在业外的部分
[216.58-220.48] 今年周一到三月其实美金有一度
[220.48-224.02] 有一个比较大的比较好的汇率的情况下
[224.02-225.48] 所以我们的对外损益
[225.48-228.44] 当然就有一个比较好的假货
[228.44-230.00] 那另外就是说
[230.00-234.44] 从去年开始整个移转的大额定损
[234.44-237.44] 也对我们挹注了一定的利息收入
[238.20-239.64] 那整体而言
[239.64-239.84] 在这个情况下
[239.86-243.92] 在第一季度的一个美股盈余EPS的部分
[243.92-245.12] 大概是0.42
[245.12-246.92] 要同期来的衰退
[246.92-250.06] 那这就是因为前面也提到说费用跟成本上
[250.06-252.46] 有一些自轴站
[252.46-255.66] 那这个部分我们还是会强化去调整它
[255.66-260.04] 那另外在合并资产付贷表的部分
[260.04-264.36] 我想我们在现金及金融商品这个部分
[264.36-265.82] 其实维持的还不错
[265.82-268.76] 整体都还是有一个现金的正成长
[268.76-269.84] 那当然我们也有一个现金的正成长
[269.84-271.34] 我们的预测账款减少
[271.34-276.50] 或多或少有一些收款上条件上的调整
[276.50-278.94] 那不过大体上我们的前十大客户
[278.94-281.90] 包含欧洲美国等等这些客户的一个收款
[281.90-283.30] 都还是趋于正常
[283.30-285.32] 那在存货的部分
[285.32-288.44] 我们也因为营运上的调整
[288.44-291.14] 所以有做了一些控管跟收链
[291.14-294.40] 那以因应接下来的一个不确定性
[294.40-298.60] 那这个不确定性其实还是中美贸易的问题
[298.60-299.82] 那另外一方面呢
[299.84-303.40] 说在中美贸易目前的情况下
[303.40-306.10] 其实我们在四月份的一个公告
[306.10-308.56] 的确有受到低延出货的影响
[308.56-311.20] 所以我们存货的控管上会相对严格
[311.20-313.42] 那另外流动负债的部分
[313.42-316.46] 也因应的调整
[316.46-320.70] 所以我们在进货上也会做一个控管
[320.70-322.86] 那另外还有一个变数就是说
[322.86-325.92] 去年同期我们其实在上海产物的部分
[325.92-329.32] 有一个当初在
[329.32-329.56] 在上海产物的部分
[329.84-333.34] 三年前约当三年前的一个动钱款的
[333.34-335.64] 那个所得税额在我们去年
[335.64-337.52] 依政府的一个法例
[337.52-339.60] 把它做合规的缴纳之后
[339.60-341.16] 负债有下降
[341.16-345.84] 那出入负债的部分则是没有重大的变动
[345.84-349.04] 那这个部分在后续可能会是我们
[349.04-353.56] 漳州厂的一个动钱改造会有一定的调整
[353.56-355.24] 那陆续还在观察中
[355.24-359.02] 那
[359.84-363.42] 我们在接下来第二季到年底
[363.42-368.46] 我们还是会持续去看我们的一个通路市场
[368.46-369.88] 包含说中国
[369.88-372.22] 俄罗斯还有中东市场
[372.22-373.88] 那另外就是南美洲的市场
[373.88-377.34] 我们目前也还是积极的去做一个拓展
[377.34-380.24] 那其中在经销业务的部分
[380.24-382.00] 除了刚刚提到的这些海外市场
[382.00-383.68] 包含中国的内销
[383.68-387.32] 我们也是持续以自由品牌去做一个提升
[387.32-388.96] 那还有台湾的
[389.84-391.38] 内地品牌
[391.38-393.30] 台湾这边的一个内销市场
[393.30-395.80] 也是透过关系企业
[395.80-397.68] 的一个通路去做一个拓展
[397.68-399.82] 那也积极在洽谈的
[399.82-403.46] 在台湾这边的一个连锁品牌
[403.46-405.50] 包含说像
[405.50-406.90] 各项网购通路
[406.90-411.20] 或是说一些网上商品的一个理政免商等等
[411.20-413.48] 那在国际形势这边
[413.48-416.60] 四月份开始其实对我们来讲
[416.60-419.42] 有一个短暂的利空的状态
[419.42-421.42] 所以我们紧急通过了
[421.42-425.70] 原本就要去进行印尼增资的一个议案
[425.70-428.82] 把它提前大概一个月左右
[428.82-430.32] 那在这样的情况下
[430.32-435.42] 其实印尼厂这边目前的产能也会持续的提升
[435.42-439.44] 那上周
[439.44-441.52] 中美贸易的一个谈判
[441.52-445.52] 其实有一个比较缓和的一个状态下
[445.52-449.18] 目前除了印尼这边会积极的出货以外
[449.42-451.42] 在市场这里
[451.42-454.92] 现在客户的情况也是持续的在回流
[454.92-461.42] 那我们会把握跟客户之间的一个出货的协谈
[461.42-463.82] 尽可能去维持我们第二季度
[463.82-466.92] 甚至到下半年的一个传统旺季
[466.92-469.22] 都至少说有一个持平
[469.22-471.52] 甚至可以向上拉升的状态
[471.52-474.12] 那在技术研发的部分
[474.12-479.02] 目前公司这边主力主打的一个
[479.02-481.02] 品质业部的部分
[481.02-482.62] 这个自动咖啡机
[482.62-485.22] 也是一个相对高毛利的商品
[485.22-487.52] 我们在这部分的技术研发
[487.52-489.52] 已经有一定的展阔
[489.52-492.82] 所以其实在今年的广交会
[492.82-494.02] 3月的广交会
[494.02-498.32] 我们在广州的一个展场上
[498.32-500.82] 也是有提出了相对应的产品
[500.82-505.02] 那也有相对的订单去进来
[505.02-506.82] 那这个部分
[506.82-508.82] 各位可以后续到我们
[509.02-510.82] 向南昌坤的一个官方网站
[510.82-513.02] 或张若昌坤这边
[513.02-516.22] 跟相对商口做联系
[516.22-518.22] 那也许在这个部分
[518.22-522.32] 会成为我们下半年一个展货的一个立基点
[522.32-525.82] 那另外说车流伙伴的协商
[525.82-528.42] 抬购还有售价
[528.42-530.82] 除了应用关税的一个调整
[530.82-534.72] 我们也是积极的在跟我们的供应链
[534.72-537.12] 去做一个互助协作
[537.12-538.72] 希望可以把我们的
[539.02-541.02] 产品购入和采购单价
[541.02-543.02] 可以再做一个优化
[543.02-546.02] 那创造双边的利润
[546.02-550.02] 所以说前面有提过的林业厂自治
[550.02-552.02] 也是我们多化制程
[552.02-555.02] 跟提升生产效能的一个重要环节
[555.02-557.02] 那只是说这个部分
[557.02-560.02] 配合目前在张若生产基地的一个改造
[560.02-563.02] 以及印尼厂的一个提升
[563.02-565.02] 还是有一个过渡期
[565.02-567.02] 所以我们会对各项费用去做有管控
[567.02-569.02] 来提升我们自己的生产体系
[569.02-571.02] 的一个营业利率
[571.02-576.02] 那以上是整体第一季跟接下来
[576.02-578.02] 我们会做的一些展望
[578.02-580.02] 那谢谢各位
[580.02-583.02] 如果有问题可以进行一个提问
[587.02-589.02] 感谢黄叶顺经理的营运概况说明
[589.02-591.02] 接下来是QA时间
[591.02-594.02] 各位投资先进可以利用线上举手功能提问
[596.02-599.02] 请问各位投资先进是否需要提问
[599.02-608.02] 请问各位投资先进是否需要提问
[608.02-619.02] 请问各位投资先进是否需要提问
[619.02-622.02] 元大证券及灿星网通感谢投资先进的参与
[622.02-627.02] 也欢迎各位投资先进在会后与灿星网通公司的经营团队联系
[627.02-629.02] 今天的灿星网通股份有限公司的说明会
[629.02-631.02] 在此告一段落
[631.02-633.02] 敬祝各位投资顺利
[633.02-635.02] 再见
[635.02-637.02] 谢谢
