[0.00-1.00] 介紹一下
[1.00-3.00] 有張耀元副總經理
[3.00-5.00] 各位天氣好
[5.00-7.00] 有洪國志老師
[7.00-10.00] 還有陳淑慧副總
[10.00-14.00] 還有一位呂天耀永市長
[14.00-16.00] 我們都知道
[16.00-19.00] 公司首頁的slogan上面是寫著
[19.00-21.00] Look colors on token
[21.00-24.00] 公司各系列的產品應用範圍
[24.00-26.00] 涵蓋在運動相關的器材
[26.00-28.00] 還有我們日常生活的用品
[28.00-30.00] 讓原本生硬的物件
[30.00-33.00] 變得多彩多姿也更加有趣
[33.00-39.00] 我們現在就是請洪董事先致辭
[39.00-41.00] 好 謝謝
[44.00-46.00] 感謝主持人
[46.00-50.00] 同時我在這邊也歡迎
[50.00-52.00] 各位嘉賓的蒞臨這次
[52.00-54.00] 政生公司的一個法說會
[54.00-57.00] 同時祝福各位身體健康
[57.00-58.00] 好
[58.00-59.00] 政生公司一直以來
[59.00-63.00] 都是以工業彩妝師的一個身份來自居
[63.00-65.00] 我們董事長更是說
[65.00-67.00] 社會越是進步
[67.00-70.00] 越需要振奢
[70.00-72.00] 以我們的觀察
[72.00-75.00] 國際目前的一個經濟情況
[75.00-77.00] 還是非常嚴峻
[77.00-81.00] 又是關稅又是匯率等等的一個問題
[81.00-83.00] 可是我們回首過往
[83.00-85.00] 哪一年不是問題一堆
[85.00-87.00] 從疫情之前疫情之後
[87.00-90.00] 幾乎每年都有不同的一個挑戰
[90.00-93.00] 那在去年政生的EPS
[93.00-96.00] 能達到3.01塊錢
[96.00-103.00] 同時分配了2.55元的那個股息
[103.00-106.00] 那配發力也達到了85%以上
[106.00-108.00] 那在上一週
[108.00-110.00] 也公告了第一季的EPS
[110.00-112.00] 達到0.97元
[112.00-115.00] 那這裡剛剛有跟那個國風談到
[115.00-116.00] 就是說
[116.00-119.00] 這是好像整個毛利也比較偏高
[119.00-121.00] 都超出他的預期這樣子
[121.00-122.00] 那我們會說
[122.00-124.00] 這是我們一個營運總部
[124.00-126.00] 四個生產據點
[126.00-128.00] 跟七個營業中心
[128.00-131.00] 所整個全球佈局
[131.00-134.00] 整個發揮的綜合成效
[134.00-136.00] 那你具體問我是哪一點出來的
[136.00-139.00] 其實坦白說也不容易
[139.00-141.00] 那另外在
[141.00-145.00] 那這個發揮的綜合成效
[145.00-147.00] 我們發現會慢慢還是持續
[147.00-150.00] 在往好的一面來發展
[150.00-153.00] 那同時另外在公司的一個治理方面
[153.00-156.00] 還有友善環境和社會公益EPS這邊
[156.00-159.00] 公司也是不斷的一個投入
[159.00-161.00] 同時我們董事長
[161.00-164.00] 也不斷的勉勵我們蛇與鵝的精神
[164.00-169.00] 以及取之社會用之於社會的想法與觀念
[169.00-173.00] 所以我們也今天特別邀請我們的永續長
[173.00-174.00] 那個李學禮
[174.00-175.00] 特別來這邊
[175.00-176.00] 來與會
[176.00-178.00] 來參與這一次的一個法人說明
[178.00-182.00] 未來政生公司團隊
[182.00-183.00] 也會持續的努力
[183.00-185.00] 並朝向更好的一個成果
[185.00-188.00] 以向所有愛護者
[188.00-189.00] 回報
[189.00-191.00] 謝謝各位的支持
[191.00-192.00] 謝謝
[194.00-198.00] 那我們接下來就請張耀明副總經理
[198.00-200.00] 為我們做今天的簡報
[201.00-203.00] 那個副總
[203.00-204.00] 在座各位的同事先進
[204.00-206.00] 各位長官大家午安
[206.00-207.00] 我是政生
[207.00-211.00] 政生協會會員公司的那個代理發案人
[211.00-213.00] 副總經理張耀明
[213.00-216.00] 那我今天就由小弟我這邊來跟各位投資先進
[216.00-219.00] 來做歷行的那個整個政生
[219.00-222.00] 我們現有的進行概況的部分的一個報告
[222.00-223.00] 為了發展一個報告
[223.00-226.00] 首先這個部分第一頁這個部分
[226.00-229.00] 照例一定要把秉責聲明要放在上面
[229.00-232.00] 依法的部分就是整個簡報的要求的部分
[232.00-234.00] 我們現在就不再一一去贅述
[234.00-239.00] 那麼各位先進待會再可以下載我們的後續會後一下的這個資料
[239.00-241.00] 所以可以來了解這一塊
[241.00-243.00] 再來最重要的政生
[243.00-247.00] 政生的部分整個的對公司簡介的部分開始
[247.00-250.00] 政生在1973年由我們董事長洪昭宇先生
[250.00-253.00] 在臺灣在台東市這邊創立
[253.00-254.00] 那在1976年開始
[254.00-256.00] 跟執行這行業展開合作
[256.00-257.00] 那我們第一個客戶
[257.00-259.00] 執行這行業的客戶的部分
[259.00-260.00] 剛剛也跟在座的那個副總還有國防局的副總
[260.00-261.00] 還有國防局的副總
[262.00-263.00] 也跟我們副總有聊到
[263.00-266.00] 第一個客戶最常談的就是我們吉安這集團
[266.00-267.00] 巨大公司的部分
[267.00-271.00] 第一個執行這行業的客戶是政生第一個執行這行業的客戶
[271.00-275.00] 那政生我們專注於特殊印刷超過了40年
