[0.00-7.66] 财务长谢淑娟
[7.66-14.62] 接下来麻烦董事长说明公司营运概况
[14.62-15.00] 谢谢
[15.00-19.26] 各位投资先进
[19.26-20.90] 还有各位媒体朋友
[20.90-23.46] 各位女士先生大家好
[23.46-28.44] 由我来介绍我们这次神机投空
[28.44-30.10] 在Q1的一个营运报告
[30.10-33.22] 还有整个今年到目前为止
[33.22-34.30] 一个营运的状况
[34.30-35.52] 还有展望第二季
[35.52-37.84] 还有下半年的一个营运的情形
[37.84-46.38] 我想这公司的基本资料
[46.38-47.48] 我就不做说明了
[47.48-50.30] 我们去年是做356亿
[50.30-52.14] 如同上次跟大家说明的
[52.14-54.92] 我们今年第一季比起去年的
[54.92-57.82] 第四季QOQ还有YOY
[57.82-58.42] 来来来来
[58.42-61.52] 看的话我们都有一定的一个成长
[61.52-64.34] 那上次法说会完以后
[64.34-67.36] 有一两位那个投资先进跟我问说
[67.36-70.82] 那个黄董娘对今年2025年的一个
[70.82-73.24] 一个营运的展望比较乐观
[73.24-76.36] 那事实上是蛮乐观的
[76.36-78.80] 一般T2我们看起来还是蛮乐观的
[78.80-81.76] 那整体来看
[81.76-85.12] 虽然那个台币有涨价涨得比较多
[85.12-86.38] PRE-SHARE的比较多
[86.38-88.40] 那我们也把整体的展望
[88.42-90.54] 我们也把台币的一个base
[90.54-93.52] 这个reference base我们把它做了一定的调整
[93.52-97.10] 那我们仍然是上次跟大家讲说
[97.10-98.60] 全年7到10%
[98.60-103.30] 我们仍然认为大概有一个7到12%的一个成长的一个机会
[103.30-108.98] 所以我们仍然保持看法仍然是一致的
[108.98-114.34] 那我们今天仍然cover的一个状况仍然是不变
[114.34-117.34] 包含神机科技做强固型电脑
[117.34-118.26] 那Atomic Tech和东东的电脑是不变的
[118.26-118.28] 那我们今天仍然cover的一个状况仍然是不变了
[118.28-121.14] 那我们今天仍然kovino卡广企业
[121.14-121.20] 那我们今天仍然cover的一个状况仍然是不变的
[121.20-123.66] 那东东科技做那个基电能源事业群
[123.66-125.86] 我们到时候会把总括为这一部分是所谓的电子键的产品
[125.86-128.66] 那汉达精密是塑胶事业群
[128.66-132.28] 基达克精密金属这边气质事业群
[132.28-134.82] 那这边总括是一个机构的一个产品
[134.82-139.28] 那Navco是另外一家独立的上市公司
[139.28-142.26] 它是consolidated revenue
[142.26-143.84] 那强固型电脑整体来看
[143.84-148.10] 我们在第一季的一个营收整体的一个状况是
[148.28-152.00] 電子鍵我們在上次法說會跟大家說明
[152.00-156.22] 我們是認為大概是6到10%的成長
[156.22-159.46] 目前為止我們仍然是抱持同樣的一個看法
[159.46-166.98] 最主要成長的地方在一些公共事業上面
[166.98-171.08] 還有公共安全的一個領域
[171.08-174.34] 這上面我們都看得到一些相當不錯的成長
[174.34-179.40] 之前上一次跟大家報告有關所謂的Precision Marketing
[179.40-180.68] 就是精準行銷
[180.68-184.20] 我們在這樣三四個月以來run完以後
[184.20-187.18] 我們可以看到我們浮現出更多長期
[187.18-191.52] 就是6到12個月的一些sales力的進來
[191.52-195.74] 所以我們過去經常會偶爾會發生一些情形
[195.74-197.36] 就是我們單子做完以後
[197.36-200.00] 然後再來未來3到6個月一些單子
[200.00-203.06] 有些時候難免會稍微存續上面比較差一點
[203.06-204.16] 我們現在看得到一個
[204.16-207.66] 就是我們在所謂Precision Marketing產生的
[207.66-209.92] Final一個行銷的一個通路上面
[209.92-213.92] 我們看到更充分的一個例子進來
[213.92-218.92] 所以對我們到3到6個月這邊的一個Sales for Opportunity
[218.92-220.26] 或是Order的一個產生
[220.26-222.06] 事實上我們都看到比較充分
[222.06-227.02] 然後在成長的一個Base上面都有相對稍略的一個局面
[227.02-229.06] 我想這是一個很棒的事情
[229.06-233.16] 另外同時在軍工產業上面
[233.16-234.12] 我們也看到
[234.12-236.12] 非常強勁的一個成長力
[236.12-237.62] 所以整體來看
[237.62-240.50] 我們看到第二季甚至到第三季第四季
[240.50-242.92] 我們認為在強固型電腦上面
[242.92-245.08] 我們都有一個不錯的展望
[245.08-248.62] 那另外在基電能源事業群這一塊
[248.62-254.12] 第一季它的表現稍微差一點
[254.12-256.68] 不過到第二季很快就Pick up上來
[256.68-258.76] 而且還蠻強勢的一個成長
[258.76-262.04] 那同時跟著帶動的是第三季第四季
[262.04-263.96] 都有一些不錯的一些展望喔
[264.12-267.12] 那最主要就是我們在設計服務這一邊
[267.12-271.12] 我們有一些新的一些更多一些Opportunity出來
[271.12-273.12] 造成Over来增長
[273.12-278.12] 那不過整個整括來看
[278.12-282.12] 我們在第一季在這邊整個看起來在3%的一個成長
[282.12-285.12] 那我們第二季或上半年加起來
[285.12-288.12] 我們就會有一個達到6-4%的一個成長
[288.12-293.12] 所以Over來說Q2是一個蠻不錯的一個反彈的一個狀況
[294.12-299.12] 那綜合機構跟汽車機構
[299.12-301.12] 我們這邊看到一個情形
[301.12-303.12] 就是我們上次跟大家說明過
[303.12-305.12] 就是在筆電這一塊
[305.12-309.12] 因為我們筆電所專精的是商用的一個筆電
[309.12-313.12] 消費性筆電我們事實上做得比較少
[313.12-316.12] 那蠻幸運的就是到目前為止
[316.12-323.12] 我們看到Even tariff開始完以後的一個Lafo的一個態勢喔
[323.12-329.12] 到目前聽說那個消費型的一個電子產品會比較弱一點
[329.12-332.12] 不過我們看到的商務的一個Lafo的一個狀況
[332.12-334.12] 是相當強勁
