[0.28-5.72] 长荣航太科技股份有限公司法人说明会会议开始
[5.72-10.12] 欢迎各位贵宾蒞临长荣航太法人说明会
[10.12-13.74] 为大家介绍今日参与的经营团队
[13.74-16.00] 谢新闻总经理
[16.66-24.00] 王振贤首席副总经理
[24.76-28.96] 陈启明协力
[30.00-35.00] 现在我们请谢新闻总经理致辞
[35.00-39.32] 及就长荣航太营运成果及未来展望做简报
[39.32-45.74] 各位投资先进大家好
[45.74-52.14] 今天是长荣航太2025年第一次的法人说明会
[52.62-56.00] 很高兴有这个机会跟大家见面
[56.00-59.20] 我是总经理谢新闻
[60.00-63.94] 谢谢各位投资先进拨控参加
[63.94-66.78] 并给予我们指导与支持
[66.78-72.06] 在此也特别感谢凯西证件的邀请
[72.06-75.36] 提供这样的一个场合
[75.36-77.58] 让我们大家能够聚在一起
[77.58-82.00] 今天会由我本人
[82.00-85.66] 跟各位就公司的现况做说明
[86.22-89.66] 接着公司的第一季财务状况
[90.00-96.24] 由财务部陈启明协理来跟大家做报告
[96.24-102.74] 最后由王振贤首席副总跟各位说明
[102.74-108.06] 产业趋势及公司的业务发展情况
[108.06-118.06] 好
[120.00-127.40] 那今天的简报部分
[127.40-131.76] 在公司的我们会分为四个议题
[131.76-134.60] 第一个是公司的现况
[134.60-137.32] 第二是财务资讯
[137.32-139.72] 第三是产业展望
[139.72-141.88] 第四是营运策略
[141.88-147.42] 那在公司的现况方面
[147.42-149.98] 跟去年平均的现况相比的话
[150.00-152.86] 在维修方面
[152.86-158.40] 我们公司还是持续保有16个国家的维修证照
[158.40-161.74] 在工种数方面
[161.74-163.62] 跟去年同比的话
[163.62-168.04] 我们今年大概正值员工增加了大概100多人
[168.04-171.52] 而且持续的在招募中
[171.52-175.08] 那飞机的维修价值的话
[175.08-177.80] 我们今年会超过300价次
[177.80-179.98] 那临时的维修价值的话
[180.00-181.02] 在发展方面
[181.02-182.94] 会有超过20亿的公司
[182.94-184.00] 在工程方面
[184.00-185.14] 会有超过20亿的公司
[185.14-186.60] 然后在中级的方面
[186.60-188.38] 会有超过20亿的公司
[188.38-189.34] 在工程方面
[189.34-190.80] 会有超过20亿的公司
[190.80-194.40] 那在建制造的生产工时方面
[194.40-198.42] 会有超过25万的生产工时
[198.42-202.32] 在航空业的特殊制程认证方面
[202.32-205.94] 目前有29项
[205.94-207.90] 全球的主要客户
[207.90-209.86] 有超过30个
[210.00-214.36] 在去年的統計部分 我們是佔全球的第8名
[216.14-218.96] 那零件生產的交貨件數
[219.48-222.28] 一年超過了4萬件以上
[225.10-231.00] 那在財務的資訊方面 就由我們陳祺銘協理跟大家做一個報告
