[0.00-5.70] 现在时间是5月20日下午三点整
[5.70-9.22] 欢迎各位投资人参加台向公司
[9.22-11.86] 2025年线上法说会
[11.86-13.80] 我是台向企业发展部
[13.80-15.24] 暨代理发言人林正南
[15.24-19.46] 首先要提醒各位投资人
[19.46-21.50] 在今日简报内容中
[21.50-24.10] 与未来相关的免责声明
[24.10-26.78] 针对未来可能的结果
[26.78-29.38] 是基于现有的资讯
[29.38-31.54] 及重要因素的假设
[31.54-34.04] 并有可能的变异和调整
[34.04-36.02] 各位先生们
[36.02-39.68] 欢迎来到TSRC 2025
[39.68-42.52] Virtual Investor Conference
[42.52-45.92] 我是TSRC Corporate Development Department的Thomas Lin
[45.92-48.02] 首先让我提醒大家
[48.02-50.32] 今天今天的评论中
[50.32-52.66] 有关关键资讯的评论
[52.66-55.70] 是自然的预测
[55.70-57.96] 今天展示的内容
[57.96-59.36] 是在
[59.36-60.38] 中国文字中
[60.38-61.92] 并且将在
[61.92-64.48] 中国和英文中进行
[64.48-68.32] 请请关注TSRC公司的网站
[68.32-72.16] 为英文版的评论
[74.20-77.80] 今天的线上会议预计为一个小时
[77.80-81.64] 首先将由台向公司财务长说明
[81.64-86.76] 2024年至2025年第一季的财务绩效
[86.76-87.52] 接着
[87.52-89.32] 由台向公司执行长
[89.36-92.68] 说明2025年市场展望
[92.68-95.76] 更新公司营运重点项目
[95.76-97.30] 并在总结后
[97.30-100.88] 进行15分钟的问题回答
[100.88-103.18] 请各位参与的投资人
[103.18-104.46] 于会议中
[104.46-107.80] 随时透过Zoom网上界面
[107.80-111.12] 以文字的形式提出问题
[111.12-113.68] 我们会由执行长或财务长
[113.68-116.76] 在问语答时一并说明
[116.76-119.06] In the one hour conference today, our staff and the board of directors will be asked questions.
[119.06-119.32] In the one hour conference today, our staff and the board of directors will be asked questions.
[119.32-127.26] Our CFO will cover TSRC financial performance for the period of 2024 through Q1 2025.
[127.26-133.40] Then, our CEO will cover TSRC 2025 four-year market outlook and updates on TSRC key projects.
[133.40-137.50] Then, our CEO will cover TSRC 2025 four-year market outlook and updates on TSRC key projects.
[137.50-139.54] In the last 15 minutes,
[139.54-144.16] we will have a Q&A session and please refer to the Zoom
[144.16-149.02] to type in your questions at any time during the conference.
[149.32-151.12] Thank you.
[151.12-153.68] 接下来就让我们欢迎
[153.68-157.26] 台象公司财务长王文彦先生
[157.26-159.30] 为我们开始今天的简报
[159.30-163.14] Let's welcome TSRC Chief Financial Officer
[163.14-167.76] Mr. Edward Wen to start the presentation, please.
[167.76-171.60] 各位投资先进媒体朋友,大家下午好
[171.60-173.64] 很高兴大家能来参加
[173.64-174.92] 今年台象
[174.92-177.22] 第一季的法授会,首先如
[177.22-179.28] 不同网中一样,我们先看一下台象的法授会,首先如不同网中一样,我们先看一下台象的法授会,首先如不同网中一样,我们先看一下
[179.28-183.12] 2024年台象公司财务绩效
[183.12-189.00] 我想大部分的朋友都知道,2024年对台湾的
[189.00-196.68] 石化公司来讲是充满挑战的一年,在如此艰困跟充满挑战的环境下
[196.68-201.56] 台象公司仍绞出了一个符合预期的成绩单
[201.56-205.64] 营收达到372.1亿元
[205.64-208.72] 这也是近10年来的一个历史新高
[208.72-211.52] 那比前一年度也增长了18%
[211.52-214.34] 毛利达到41.2亿元
[214.34-218.18] 比2023年高出了24%
[218.18-219.72] 营业利润呢
