[0.00-5.00] 各位投資先進級媒體大家午安
[5.00-9.00] 歡迎參加中華汽車線上訪談說明會
[9.00-13.00] 本次代表出席的為陳金武副總
[13.00-18.00] 那今日法說會流程將先針對經營成果報告簡報後
[18.00-21.00] 再行QA意見時間
[21.00-25.00] 首先有請前副總為我們進行簡報
[30.00-45.00] 現在進行2025年第一季的法人說明會
[45.00-50.00] 首先是今年我們會說明的是
[50.00-54.00] 2025年Q1的經營成果及Q2的營運展號
[54.00-59.00] 同時也會說明本季的ESG的推動成果
[59.00-60.00] 首先是
[60.00-65.00] 首先是Q1的銷售業績的說明
[65.00-68.00] 那台灣的整個市場2025年
[68.00-71.00] 小車市場總銷量9.8萬台
[71.00-75.00] 和去年同期比事實上是出現了比較明顯的衰退
[75.00-77.00] 衰退了11.2%
[77.00-81.00] 那其中國產車的總銷售台數有5萬台
[81.00-85.00] 和去年同期相比都是衰退了15.5%
[85.00-87.00] 會更為明顯一點
[87.00-89.00] 那本公司的部分
[89.00-92.00] 和去年的第一季比較起來
[92.00-95.00] 我們的多元品牌的銷售量因應政策
[95.00-99.00] 就是國家政策的調整出現了比較大的一個減少
[99.00-102.00] 所以本公司銷售台數和去年的同期相比
[102.00-105.00] 衰退了31.8%
[105.00-108.00] 但是這個影響慢慢的有一些改善
[108.00-111.00] 有同時受惠於新車上市的一個效果
[111.00-115.00] 我們第一季的內銷皮車實際是1.2萬台
[115.00-116.00] 台數的話呢
[116.00-118.00] 和上季的環比
[118.00-122.00] 也就是說和2024年12月比較起來
[122.00-124.00] 成長了大概有35%
[124.00-129.00] 所以可以看到在自主品牌的領牌市佔率
[129.00-133.00] 也比同期成長了1.6%
[133.00-138.00] 這些都展現了受到比較大的一個影響之後
[138.00-142.00] 公司逐漸恢復的一個韌性和競爭力
[142.00-144.00] 那特別要說明的是
[144.00-146.00] 在去年
[146.00-148.00] 在今年第一季裡面
[148.00-152.00] 我們新上市的新車J-Space
[152.00-154.00] 展現了優異的產品力
[154.00-156.00] 升貨顧客的好評
[156.00-158.00] 那這裡面包括了
[158.00-166.00] 我們都市和商務雙市費的一個特色
[166.00-169.00] 達到商用車成用化的這樣的一個方向
[169.00-172.00] 來擴增新商市場的反額
[172.00-176.00] 上市以後訂單量出現一個穩定的成長
[176.00-178.00] 那在2025年4月份
[178.00-180.00] 總市場的車款銷售排名
[180.00-183.00] 領牌達到1686台
[183.00-186.00] 是總市場所有車型裡面的第二位
[186.00-190.00] 那這台車最重要的一個特性是
[190.00-194.00] 這台車全車是由中華汽車自主技術研發的
[194.00-198.00] 那所以完全掌握在我們自己的手上
[198.00-202.00] 那同期也是台灣同期輕型商車裡面的
[202.00-206.00] 唯一搭載Level 2的先進駕駛輔助系統
[206.00-208.00] 那自制率也達到超過六成
[208.00-213.00] 但是是屬於按國內供應鏈品系高度合作的車型
[213.00-217.00] 那從剛剛提到的
[217.00-222.00] 儘管是去年銷售量受到在地化政策的一個調整而不如預期
[222.00-226.00] 但是得益於全新推出的J-Space獲得市場肯定
[226.00-230.00] 而且MG品牌的HS和ZS車系
[230.00-235.00] 在今年的第一季年陸續的恢復生產進行銷售
[235.00-236.00] 所以本來就是在這個時候
[236.00-241.00] 本公司銷售量在去年持續衰退的情況之後
[241.00-244.00] 從今年開始與去年第四季相較
[244.00-247.00] 就呈現了一個反轉成長的趨勢
[247.00-251.00] 我們也相信這個趨勢會持續的這樣子推動下去
[251.00-257.00] 那接下來是在財務績效的部分
[257.00-261.00] 因為在地化供應鏈合作價值比例的政策等影響
[261.00-265.00] 我們2050 Q1的獲利有出現比較明顯的一個減少
[265.00-270.00] 和去年同期來比的話是比較明顯的一個減少
[270.00-273.00] 其中營業淨利是1.53億
[273.00-278.00] 美股的盈餘EPS是1.15
[278.00-286.00] 業外的部分則受到大陸市場的市場競爭激烈熱烈的收益減少的影響
[286.00-287.00] 也出現了衰退
[287.00-289.00] 但衰退幅度是比較小的
[289.00-293.00] 業外收益的部分達到5.66億
[293.00-294.00] 接下來是CMC的收益減少
[294.00-298.00] 再來是CMC2025年的Q2的營運展望
