[0.00-3.00] 各位投資先進朋友們,大家午安
[3.00-7.00] 非常歡迎您歷臨華融電線電纜股份有限公司
[7.00-11.00] 114年5月22日的法人說明會
[11.00-14.00] 今天的法人說明會將由本公司
[14.00-17.00] 黃華志總經理為各位做說明
[17.00-20.00] 現在有請主講人,黃總經理
[25.00-29.00] 各位理事、各位先生、各位嘉賓
[29.00-36.00] 謝謝各位來參加華融電線電纜114年法人說明會
[36.00-39.00] 這是今年的第一次
[43.00-46.00] 免責聲明,本檢報資料陳述
[46.00-50.00] 是基於本公司當前市場情況一起
[50.00-53.00] 及對於未來營運轉化
[53.00-58.00] 屬於前瞻性之陳述,既有風險性和不確定性
[59.00-63.00] 故實際經營的結果可能以上述前瞻
[63.00-66.00] 陳述有實質性的差異
[66.00-69.00] 除法律規定外,無論是由於新信息
[69.00-72.00] 未來事件或其他原因
[72.00-78.00] 本公司均不承擔更新任何前瞻性陳述之義務
[80.00-85.00] 再來公司再簡單介紹一下
[85.00-88.00] 華融自民國45年12月8日
[89.00-93.00] 方向新建設北部一部領域
[93.00-95.00] delivery unit
[95.00-97.60] 現在發行員
[97.60-100.06] 原的安裝房樓
[100.06-104.00] 有 Strip-say中歷代表
[104.00-107.00] 許多電源與成分
[107.00-110.00] 和 guests pool
[110.00-113.00] metal消in
[113.00-115.00] 対象式其這般
[115.00-117.00] Colorado City Turn黄2016一下
[117.00-118.00] 步 done
[118.00-124.70] 除要归工业公司全体同仁的辛劳努力及付出
[124.70-131.28] 也要对于始终支持华融的股东及客户大众
[131.28-134.52] 表达诚挚的感谢之意
[134.52-141.16] 华融集团设有无氧棚 电信电缆 投包工程等
[141.16-143.34] 三大核心事业部门
[143.34-150.46] 无氧棚及各类电力电缆与通信光纤产品产线完整
[150.46-154.32] 秉持既有的电线电缆制造技术
[154.32-159.58] 不断透过创新研发以回应客户的需求
[159.58-164.06] 藉由设计生产 布放施工
[164.06-166.64] 一贯良好的品质管理机制
[166.64-173.32] 提供国内外客户迅速且高品质之产品及收入服务
[173.32-175.74] 尤其在投包工程领域
[175.74-178.40] 我们拥有坚强的技术团队
[178.40-186.44] 近年陆续接获台湾电力公司之大型161345电缆投包工程
[186.44-190.20] 亮丽时机备受肯定
[190.20-195.68] 展望未来华融将持续配合国家电力电网
[195.68-200.38] 韧性建设及利涉人员需求
[200.38-203.06] 掌握产业技术演进
[203.32-205.94] 调整经营规模及步伐
[205.94-213.32] 并纵观国内外人工智慧AI及电动车发展趋势
[213.32-216.38] 在巩固现有的事业基础上
[216.38-220.48] 加强研究及品质精进提升
[220.48-223.54] 以市场导向不断创新
