[0.00-2.78] 内部资料以及外部整体经济
[2.78-4.72] 所做出的一些看法
[4.72-5.98] 所得到的资讯
[5.98-8.46] 所以等等我们谈到任何营运成果
[8.46-10.52] 财务状况以及业务成果
[10.52-14.94] 如果跟我们讲到了任何的预测性的一个说法
[14.94-15.76] 有所出入
[15.76-17.42] 那可能是来自于各式因素
[17.42-20.40] 那我想这个部分还是要跟大家先做一个说明
[20.40-23.08] 那未来任何变化公司并不做
[23.08-27.00] 也不负有任何调整的一个责任
[27.00-30.04] 那影威主要的
[30.04-34.12] 我们成立于2001年的4月10号
[34.12-39.26] 那公司主要从事的业务是半导体测试界面的设计
[39.26-42.66] 制造 销售以及服务
[42.66-45.30] 这个是我们公司最主要的一个业态
[45.30-47.24] 那什么叫做测试界面
[47.24-48.68] 我在进入接下来之前
[48.68-50.16] 我大概先跟各位说明一下
[50.16-53.62] 那半导体是一个复杂的一个制造的一个流程
[53.62-55.36] 那每一颗晶片
[55.36-56.68] 各位如果有买过自己电脑
[57.00-60.36] 或者是看现在这些新闻所提论的这些AI
[60.36-61.90] 或者是high performance的晶片
[61.90-66.14] 它其实是一个非常昂贵的一个成果
[66.14-71.88] 那这些晶片在交到一般的民众手中
[71.88-74.72] 或者是这些Data Center的客群之前
[74.72-76.88] 去经过严谨的一个测试
[76.88-78.20] 可是这些晶片
[78.20-79.32] 或者是设计
[79.32-80.90] 因为它高度客制
[80.90-81.90] 每一个客人
[81.90-83.84] A B客人他们所做的东西
[83.84-85.30] 可能形式大小
[85.30-88.50] 他所接出来的这个引脚IO完全不一样
[88.50-90.84] 所以公司的业态
[90.84-94.30] 是必须针对这些客人不同的Device
[94.30-98.78] 去克制一个只能属于这一个Device
[98.78-100.24] 能够测的这样一个界面
[100.24-102.26] 所以他们才能够去顺利的执行测试
[102.26-104.82] 即便这些测试的平台
[104.82-107.40] 不管是美国厂商
[107.40-109.50] 或者是日本厂商提供的这样一个平台
[109.50-112.58] 你还是需要经过这样一个界面
[112.58-114.42] 才有客人才有办法
[114.42-115.28] 得以顺利的去测试
[115.30-117.70] 去确认这一些Device的电信
[117.70-119.86] 以及它的讯号的完整性
[119.86-123.28] 那公司主要的服务
[123.28-125.06] 虽然我们说是一个制造业
[125.06-126.40] 但是其实我们的核心
[126.40-128.16] 是以服务客人为导向
[128.16-130.84] 所以刚刚提到我们虽然说是
[130.84-134.36] 从事设计制造这一些测试的界面
[134.36-135.72] 但是技术
[135.72-137.04] 这是销售之后
[137.04-138.60] 后端这些技术服务
[138.60-139.74] 非常非常重要
[139.74-141.42] 这个也是我们公司
[141.42-143.02] 能够从创立以来
[143.02-144.98] 二十几年能够维系
[145.30-147.70] 以及不断扩展我们跟客人之间
[147.70-150.12] 这样业务的一个重要的一个关键
[150.12-152.10] 那也是透过这样的一个成长
[152.10-153.80] 能够去持续的精进
[153.80-156.22] 我们在产品技术上面
[156.22-158.90] 能够给予客人这样的一个解决方案
[158.90-159.82] 那我想这个部分
[159.82-162.80] 可能各位可以在许许多多半导体业界
[162.80-164.84] 找到可以类比的一个方向
[164.84-166.96] 比方我们从过往
[166.96-169.04] 从电脑时代进到手机时代
[169.04-169.98] 半导体的演进
[169.98-171.78] 一直到我们现在进到AI
[171.78-172.96] 以及Compute
[172.96-174.46] 这种High Performance Computer领域
[174.46-175.30] 我想这个部分
[175.30-178.88] 在在都我想隐微只是其中一个例子
[178.88-182.20] 那接下来我针对公司的一个
[182.20-184.24] 我们整体的一个布局
[184.24-185.72] 产业的一个状况
[185.72-187.96] 然后包含我们经营数字上面
[187.96-191.52] 以及我们针对研发创新上的一个进展
[191.52-192.92] 跟大家做一个报告
[192.92-196.84] 那刚刚提到我们的核心
[196.84-199.08] 其实不是单纯只有设计制造
[199.08-201.30] 这样的一个测试界面产品
[201.30-203.32] 那我们必须有
[203.32-205.24] 拥有强大的服务团队
[205.30-207.28] 遍布全球各地
[207.28-208.80] 那为什么需要这样做
[208.80-212.32] 是客人不仅是在亚洲或者是东南亚
[212.32-216.62] 有蛮多的据点去执行它device的测试
[216.62-220.42] 但是我们的客人在它的包含北美
[220.42-221.92] 包含台湾
[221.92-222.94] 中国
[222.94-223.72] 东南亚
[223.72-224.68] 以及欧洲
[224.68-227.02] 他们都有自己的研发的一个基地
[227.02-228.76] 那他们在一开始会有一些工程
[228.76-229.88] 验证的一个需求
[229.88-235.14] 所以我们的就是这些产品应用的工程师
[235.30-238.58] 其实遍布全球去必须很快速的去反映说
[238.58-242.16] 客人任何的一个问题去现场去解决他们的问题
[242.16-244.62] 所以不是只有单纯做销售的部分
[244.62-247.30] 那当然我们公司最主要的
[247.30-249.68] 就是生产据点还是落在台湾
[249.68-253.06] 我们在高雄有两座主要的厂
[253.06-255.58] 那我们的高雄总部主要是生产
[256.72-257.26] 这种
[257.26-261.28] 最先进的这样的一个测试做的部分
[261.28-265.28] 以及我们正在积极跟客人推的这些
[265.30-267.12] 相关的solution
[267.12-270.36] 那另外我们有一座高雄的探针新厂
[270.36-273.96] 是坐在男子科技产业园区的第一园区
[273.96-277.78] 所以这个部分是我们最主要针对sac的一个布局
[277.78-281.92] 那他占我们所有sac的产能超过九成
[281.92-284.02] 那另外在新竹的部分
[284.02-286.12] 我们有另外一个厂办
[286.12-289.26] 那主要负责的是针对探针卡
[289.26-294.66] 以及我们包含不管是cobra或者是meme相关solution的这样的一个制造
[294.66-295.30] 以及组装
[295.30-297.34] 的一个据点
[297.34-300.48] 那我们在中国有苏州有一个sac的厂
[300.48-304.60] 那主要负责的部分是针对一些老化测试
[304.60-309.88] 那根据当地客人的一个需求所做出来的一个因应的一个厂房
[311.98-318.64] 那也跟着就是这个产业整个进到AI以及high performance这个领域
