[0.00-14.00] 正在錄製此會議
[14.00-17.00] 各位投資先進久等了
[17.00-23.00] 歡迎各位投資先進歷臨今天環球水泥股份有限公司的法人說明會
[23.00-26.00] 首先我們先來介紹今天的公司團隊
[26.00-30.00] 今天有侯志源侯營運長以及楊宗仁楊副總兩位
[34.00-37.00] 我們接下來就把時間交換給公司團隊
[37.00-39.00] 讓他們介紹公司的情況
[39.00-41.00] 我們有請侯營長 謝謝
[41.00-46.00] 謝謝各位來參加我們的法說會
[46.00-48.00] 我是侯志源
[48.00-50.00] 我想我們就依照慣例
[50.00-53.00] 每一頁跟大家解釋一下
[53.00-56.00] 我們政辦以來的一個營運概念
[56.00-84.00] 理政有限公司ogen
[84.00-85.00] 這樣子來 Serviciks
[85.00-86.00] сразу介紹
[86.00-88.60] 我們的子公司在台中跟新竹
[88.60-91.46] 那我們接下來會在
[91.46-93.80] 麻豆應該在接下來一兩個月
[93.80-96.20] 會有一座新的問題圖場投產
[96.20-99.00] 那可能在明年我們也會在嘉義
[99.00-102.50] 有一座問題圖場也會投產
[112.50-114.50] 那這個就是我們
[116.00-120.50] 最近的這個財務表現
[120.50-122.50] 這邊有
[122.50-126.50] 這個部分由我來說明好了
[126.50-130.00] Q1 2025跟2020比較
[130.00-132.00] 其實差異不是很大
[132.00-135.00] 但是到最後的美股的盈利
[135.00-137.00] 稍微有一點差異
[137.00-138.00] 我們現在一年差不多
[138.00-140.00] 到第一季的時候到19億
[140.00-142.00] 我們去年整年差不多
[142.00-144.00] 合併的報表將近八十一
[144.00-146.00] 到七九點多塊將近八十一
[146.00-148.00] 所以這個差不多
[148.00-150.00] 一季差不多在二十億左右
[150.00-152.00] 這個差不多它的level
[152.00-154.00] 然後毛利的部分三點九二
[154.00-157.00] 那現在毛利率差不多在二十趴左右
[157.00-159.00] 合併的部分在二十趴
[159.00-162.00] 那盈利率二點六七
[162.00-164.00] 其實都還不錯
[164.00-166.00] 另外的收支這個部分
[166.00-169.00] 零點八一下降了二十三趴
[169.00-171.00] 也就是說我節省了二十三趴
[171.00-173.00] 那這個最主要的部分是因為
[173.00-175.00] 我們有一些費用的
[176.00-177.00] 減少
[177.00-178.00] 一些佣金之類的
[178.00-179.00] 佣金的減少
[179.00-182.00] 所以這個部分有減少了很多
[182.00-183.00] 那稅前利益三點四八
[183.00-185.00] 當然稍微削退了一點點
[185.00-187.00] 可是稅後的經理
[187.00-189.00] 二點九五竟然增長了十六趴
[189.00-191.00] 這最主要是有一個稅的問題
[191.00-193.00] 在二零二四年的Q1的時候
[193.00-196.00] 因為我們有儲分了一塊土地
[196.00-198.00] 然後有一個未婚配營一稅的
[198.00-201.00] 在去年扣了四千多萬
[201.00-203.00] 那今年少了這四千多萬
[203.00-204.00] 所以你看兩個相比
[204.00-205.00] 差不多在四千萬左右
[205.00-207.00] 大概是這個樣子
[207.00-210.00] 所以今年的第一季的時候
[210.00-213.00] 每股盈利在零點十二元
[213.00-218.00] 那這個部分也讓各位參考一下
[218.00-219.00] 盈利率的班
[219.00-221.00] 毛利率在二十趴左右
[221.00-222.00] 盈利率是四趴
[222.00-223.00] 稅後盈利是五趴
[223.00-224.00] 其實講起來
[224.00-225.00] 不能說很優秀
[225.00-229.00] 但不差
[229.00-234.00] 然後個私業級的部分
[234.00-235.00] 我們現在就主要是
[235.00-237.00] 有婚禮土水泥石膏板還有其他
[237.00-240.00] 那每一個部分的營收佔比
[240.00-242.00] 讓各位參考一下
[242.00-243.00] 二零二五年的Q1
[243.00-245.00] 婚禮土佔了百分之六十八
[245.00-246.00] 水泥十九趴
[246.00-248.00] 石膏板十三趴
[248.00-251.00] 大概是這個樣的一個結構體
[251.00-254.00] 那合併銷售的婚禮土部份有
[254.00-258.00] 四十四萬
[258.00-262.00] 然後水泥到一百一十五萬
[262.00-263.00] 不
[263.00-264.00] 十五萬
[264.00-266.00] 十一萬五千
[266.00-267.00] 石膏板的部分
[267.00-268.00] 三千五百
[268.00-271.00] 三百五十三萬一千
[271.00-272.00] 大概
[272.00-274.00] 其實稍微都衰退一點點
[274.00-276.00] 因為第一季有碰到了
[276.00-277.00] 一個所謂的過年
[277.00-279.00] 所以這個部分稍微衰退一點
[279.00-282.00] 那這一個
[282.00-286.00] 其實我們水泥事業前期
[286.00-287.00] 過去幾年
[287.00-290.00] 我們開始重新檢視一下
[290.00-291.00] 我們的產能
[291.00-293.00] 以及我們的一些設備的更新
[293.00-297.00] 所以我們接下來這幾年的重心
[297.00-299.00] 其實會放在我們水泥廠的
[299.00-301.00] 一個設備的增建跟更新
[301.00-303.00] 尤其因為我們設備都是
[303.00-307.00] 四五十年的一些規劃
[307.00-309.00] 所以接下來我們會在
[309.00-311.00] 為了擴大產能
[311.00-314.00] 其實主要我們水泥事業群最大的客戶
[314.00-316.00] 就是我們自己的預辦婚禮土償
[316.00-320.00] 那因為我們預辦廠其實在
[320.00-323.00] 接下來會擴點等等
[323.00-326.00] 所以接下來我們會在水泥廠裡面
[326.00-328.00] 除了更新我們現有的設備
[328.00-330.00] 也會持續的在增設設備
[330.00-333.00] 擴大產能來滿足我們的
[333.00-338.00] 自己公司下游的一個需求
[338.00-340.00] 那我們接下來也會在我們的廠區
