[0.00-2.06] 各位投资前景
[2.06-3.30] 各位朋友大家好
[3.30-6.24] 欢迎大家来参加新兴行业
[6.24-8.18] 2025年第二季发售会
[8.18-10.50] 我是副总经理发言人
[10.50-11.18] 许志宏
[11.18-13.66] 很高兴今天有机会在这里
[13.66-15.04] 和大家见面交流
[15.04-17.84] 今天的简报会先跟大家说明
[17.84-19.16] 公司在第二年
[19.16-21.50] 第一季的经营成果
[21.50-23.84] 接着也会分享我们对
[23.84-25.18] 未来市场的看法
[25.18-27.52] 和公司的策略
[30.00-40.12] 接下来我们跟大家说明
[40.12-42.78] 2025年第一季的财务重点
[42.78-47.34] 首先第一季收入
[47.34-50.70] 是新台币9.46亿元
[50.70-52.04] 较上一季减少
[52.04-54.96] 主要是因为第一季散装市场
[54.96-55.94] 租金偏低
[55.94-59.18] 尤其是海峡型和超大型铁矿沙船
[59.18-59.98] 影响比较大
[60.00-64.12] 美股盈余部分第一季是0.02元
[64.12-66.76] 也比去年第四季减少
[66.76-69.98] 主要还是租金水准下降的影响
[69.98-73.64] 现金部分因为本季营运活动
[73.64-75.84] 产生的正现金流
[75.84-78.32] 加上融资流出比较少
[78.32-82.94] 所以现金余额将上一季提升
[82.94-84.76] 手头更为充裕
[84.76-87.28] 至于资产负债比
[87.28-89.82] 这一季小股上升到22%
[89.82-89.98] 至于资产负债比
[90.00-92.94] 主要是因为PAC许宣告后
[92.94-94.76] 导致流动负债增加
[94.76-96.86] 不过如果喝掉美元
[96.86-98.82] 对新台币的短期借款等
[98.82-99.56] 抵消效果
[99.56-103.04] 其实负债比只有7.9%
[103.04-104.66] 整体来说
[104.66-107.68] 公司虽然面临市场租金低档的压力
[107.68-109.82] 但现金流稳健
[109.82-112.40] 财务结构还是维持健康水准
[112.40-117.92] 接下来我们来看
[117.92-119.16] 2025年第一季
[119.16-119.82] 个性传播的新台币
[119.82-121.92] 传播的营运天数
[121.92-124.62] 左边这张是卡萨姆型
[124.62-127.68] 在2025年跟2024年第一季
[127.68-130.30] 共有四艘船
[130.30-133.42] 由于2025年第一季度的天数
[133.42-134.80] 只有90个日历天
[134.80-139.46] 较去年通期少了一天
[139.46-143.74] Oceania在第一季有四天的停租
[143.74-146.86] 所以总营运天数是355天
[146.86-149.34] 所以总营运天数是355天
[149.34-153.20] 右边这一张是CAPSIZE的传行
[153.20-155.64] 今年第一季跟去年第一季
[155.64-157.90] 总共有七艘船
[157.90-159.62] 同样的日历天数
[159.62-162.38] 今年是少了一天
[162.38-165.06] Mirror Oak在今年第一季度
[165.06-169.82] 进行了42天的单船减休
[169.82-173.60] 主要原因是因为中国农历新年
[173.60-174.98] 跟降雨的关系
[174.98-178.50] 造成Dry docking的天数比较差
[178.50-179.18] 另外玉山的天数比较差
[179.18-181.52] 玉山轮在2025年第一季
[181.52-185.38] 有9天的Off-Hire
[185.38-187.90] 接下来我们来看VLOC
[187.90-189.74] 就一艘船
[189.74-191.94] 今年的日历天数是90天
[191.94-195.30] 较去年少了一天
[195.30-198.08] 右边这边是VLCC
[198.08-200.02] 有三艘船
[200.02-202.90] 今年的天数一样是94天
[202.90-204.36] 较去年少了一天
[204.36-207.62] 所以总天数是270天
[209.18-213.86] 这一页是说明了
[213.86-215.74] 2025年第一季
[215.74-221.86] 相比于2024年第四季的税前盈余的变动
[221.86-226.58] 本季新兴航运的税前盈余是78万美元
[226.58-230.24] 较去年第四季650万美元
[230.24-232.06] 少了570万美元
[232.06-235.40] 主要原因是因为海峡型的部分
[235.40-239.16] 税前盈余比上一季减少420万美元
[239.18-242.82] 是因为第一季租金水准比较低的缘故
[242.82-245.58] 再来就是VLOC天旷沙船
[245.58-248.40] 也因为类似的原因
[248.40-254.02] 今年第一季较去年第四季少了190万美元
[254.02-257.74] 卡萨姆型跟其他部分是持平
[257.74-261.96] VLCC因为今年没有Dry docking
[261.96-267.30] 所以整个税前获利是多了50万美元
[269.18-273.02] 接下来我们来看卡萨姆型的日租金的市况
[273.02-277.38] 卡萨姆型第一季的租金持续疲软
[277.38-281.46] 日租金大概维持在8000到13000美元左右
[281.46-286.84] 跟去年2022年跟2023年相比
[286.84-291.20] 当前的水准已经是比较低的
[291.20-295.04] 市场主要疲弱的原因有四个
[295.04-298.62] 第一个是中国煤炭的水准是比较低的
[299.18-301.48] 第二个是中国的政策跟国内生产
[301.48-304.30] 中国持续提高国内煤炭的产量
[304.30-307.38] 降低了海运煤炭的进口量
[307.38-310.96] 限制了卡萨姆型运物的需求
[310.96-313.26] 再来是南美国务出口疲弱
[313.26-318.64] 因为巴西跟阿根廷因为气候不利收成
[318.64-321.20] 出口量减少推迟出货
[321.20-324.02] 进一步影响了市场的需求
[324.02-326.06] 再来全球船队过剩
[326.06-329.14] 2025年预计年增3%
[329.14-334.26] 造成市场供给过剩并抑制市场租金需求
[334.26-339.64] 再来就是中国宏观经济成长的不确定性及工业需求低迷
[339.64-342.20] 使租赁市场不月度下降
[342.20-346.30] 这些原因是造成卡萨姆型的日租金
[346.30-352.70] 比较疲软的原因
[352.70-354.74] 海峡型
[354.74-358.06] 低季的表现是持平
[359.14-362.72] 日租金大概介于1万到3万之间
[362.72-364.78] 与2024年相比
[364.78-368.36] 是比较平稳的
[368.36-369.90] 主要有下面几个原因
[369.90-370.66] 第一个
[370.66-373.74] 中国进口铁矿石
[373.74-377.82] 需求是稳定的,维持在高档
[377.82-382.94] 有助于支撑海峡型的船运的运价
[382.94-388.84] 然后巴西与澳洲因为巴西因为季节性降雨及港口拥堵
[389.14-390.68] 影响部分出口量
[390.68-394.52] 澳洲至中国航线成为稳定需求的来源
[394.52-399.12] 再来是全球船队成长的比较缓和
[399.12-406.54] 然后市场情绪比较谨慎乐观
[406.54-408.08] 接下来我们来看
[408.08-412.18] 第一季的邮轮的租金表现
[412.18-413.98] 邮轮一年期的租金
[413.98-417.82] 表现大概维持稳定介于在5万到5万之间
[417.82-419.10] 然后与2024年
[419.14-420.94] 相近
[420.94-425.54] 但是低于2023年的高峰7万块美元
[425.54-429.12] 2025年第一季市场主要
[429.12-432.96] 走势的主要原因是受几个因素影响
[432.96-436.04] 第一个是地缘政治跟贸易重组
[436.04-438.86] 俄罗斯原有捞到出口亚洲
[438.86-442.44] 中东局势紧张跟安全的问题推升了
[442.44-445.76] 远程V2CG的需求
[445.76-448.58] 新船的交付只有1.1%
[448.58-449.10] 同时
[449.10-453.96] CII法规推动老旧V2CG加速折旧
[453.96-455.50] 供给受控
[455.50-458.82] 有助于稳定运价
[458.82-462.66] 再来是中国与印度链有需求的支撑
[462.66-466.00] 虽然中国的经济复苏的脚步不一定
[466.00-468.56] 但是炼油的产能的扩张
[468.56-472.66] 及库存的重建带动了原油进口的熏熟
[472.66-476.50] 形成稳定的支撑
[476.50-483.16] 最后一点欧盟跟G7对俄国石油的限制的生效
[483.16-487.50] 使得俄国石油烙原航驱力间接提升了
[487.50-490.32] V2CG的沿顿海力的需求
[490.32-496.46] 这一页是跟大家解释
[496.46-500.30] 新兴航运现在的现经济负债状况
[500.30-504.40] 总现金及定成有2.07亿元元
[504.40-506.46] 总现金及定成有2.07亿元元
[506.50-509.82] 其中1.73亿美元是为定存
[509.82-513.42] 年利率是4.26%
[513.42-519.30] 贷款的部分总共有1.1亿美元
[519.30-524.16] 分为新台P的贷款1.024亿美元
[524.16-526.72] 年利率1.93%
[526.72-529.02] 抵押贷款840万美元
[529.02-531.08] 年利率6.14%
[531.08-536.46] 定存的部分有1.01亿是提供
[536.46-540.30] 作为台币的担保贷款
[540.30-544.40] 作为台币的担保贷款
[544.40-550.02] 接下来我们来看2025年的展望
[550.02-553.10] 这一页是卡萨姆型的展望
[553.10-555.92] 卡萨姆型主要的运输股物还是
[555.92-560.52] 玉米小麦大豆煤炭驴驴兔矿
[560.52-565.38] 因此是全球股物跟煤炭供应链的重要运力载体
[565.38-565.90] 航线的货币是全球股物和煤炭供应链的重要运力载体
[566.46-571.06] 主要是集中在巴西美国到中国东南亚
[571.06-572.86] 这个是股物的部分
[572.86-578.24] 就煤炭来讲就是澳洲印尼俄罗斯到中国印度
[578.24-582.08] 根据USDA的报告全球股物预估
[582.08-585.14] 年减2.3%
[585.14-589.24] 主要是因为美国跟乌克兰的产量会下降
[589.24-592.06] 根据IGC的预测
[592.06-594.10] 全球小麦出口
[594.10-596.42] 小麦跟玉米的出口将降至
[596.42-598.72] 4.36亿吨
[598.72-601.28] 为三年来的新低
[601.28-603.34] 俄罗斯会小幅回升
