[0.00-7.28] 跟各位先进报一下
[7.28-11.72] 我们现在时间是下午2点31分
[11.72-15.68] 那已经到我们的这个好收费的开会时间
[15.68-18.66] 那我们现在就正式开始
[18.66-22.96] 那首先代表鸿泰电工
[22.96-28.34] 很高兴欢迎各位来参加我们鸿泰电工股份有限公司
[28.34-30.94] 2025年的第一次法人说明会
[30.94-33.62] 那我是营运长潘少平
[33.62-40.04] 那今天与会里面还有我们电力事业的张执行副总
[40.04-42.32] 以及开发事业的张副总
[42.32-47.74] 那今天的这个会议流程会由我这边先来说明
[47.74-51.04] 跟各位报告一下我们的简报内容
[51.04-53.56] 那最后有什么问题的话
[53.56-56.74] 那欢迎大家再提出来一起讨论
[56.74-57.04] 谢谢
[57.04-57.94] 谢谢
[58.34-71.98] 那首先我们还是先说明一下这个免责声明的部分
[71.98-74.28] 那请各位自己参阅
[74.28-80.98] 那接下来是这个我们今天的法税会大纲
[80.98-82.60] 主要分为四个部分
[82.60-87.24] 第一个是我们今年上半年的一些重要事项
[87.24-88.32] 那第二个是我们的这个法税会大纲
[88.32-92.54] 那第二个点是我们今年Q1的财报的财务表现
[92.54-95.80] 那第三点是针对我们人业
[95.80-98.74] 就是电力事业做一个说明
[98.74-102.88] 那最后是我们对于未来的讲话
[102.88-111.92] 首先是这个2025年上半年的重要事项
[111.92-116.30] 在我们2025年
[116.30-118.30] 首先是我们有安排了一份财务表现
[118.32-121.20] 那第二点是我们的这个免责声明的部分
[121.20-123.50] 就是我们已经安装了有购买
[123.50-126.92] 并且安装了一台新的这个同线的出生机
[126.92-131.46] 那它不但是可以提升我们的这个
[131.46-134.78] 跟旧机台相比是有提升效率
[134.78-140.22] 那它另外也带有这个节能以及降噪的效果
[140.22-143.30] 可以让我们的这个现场同仁
[143.30-146.20] 有一个更友善的生产环境
[146.20-148.16] 那第二点这个
[148.32-152.36] 2023年这个电台事业结束营运之后
[152.36-156.92] 就一直积极的在要把这个厂房
[156.92-159.82] 把它改为我们电力事业这边来使用
[159.82-162.12] 那我们目前已经取得建造
[162.12-164.80] 那我们的发包已经完成了
[164.80-169.12] 那目前也是即将开始进入时空阶段
[169.12-173.22] 那接下来我们有参与了这个第九届的
[173.22-175.72] 经济部国家的产业创新奖
[175.72-178.30] 那另外在
[178.32-180.88] 这个温室气体盘查的部分
[180.88-184.02] 那依照主管机关的规定
[184.02-187.92] 我们公司属于要在2026年底
[187.92-190.02] 前完成温室气体盘查
[190.02-193.22] 然后在2028年底之前
[193.22-195.02] 要完成外部的查验
[195.02-197.22] 那集团的部分是各
[197.22-200.62] 我刚刚的说的这个时间在各晚一年
[200.62-203.22] 那这个部分我们是有提前进行
[203.22-207.92] 我们在今年的3月24号
[208.32-211.32] 我们有正式取得我们113年的
[211.32-214.72] 这个温室气体盘查的查验的结果
[214.72-217.72] 所以这个部分我们是有提前完成
[217.72-222.22] 那接下来我们也会启动这个ISO501
[222.22-224.72] 这个能源管理系统
[224.72-228.72] 来持续推动的我们这个
[228.72-231.92] 节能减碳还有能源管理的部分
[231.92-235.72] 以达成公司的社会责任
[235.72-238.18] 那此外呢我们的
[238.32-243.12] 我们也积极在推动在我们公司的各个
[243.12-248.32] 厂房上面去架设我们的太阳能板
[248.32-251.72] 那到截至去年底为止
[251.72-256.92] 我们总共的容量设置是有1363kW
[256.92-260.32] 那去年一整年这个部分的售电的电费
[260.32-263.72] 是有达到973万元
[263.72-265.32] 那以上是我们今年上半年的一些重点
[268.32-270.32] 那我们的这个财务表现的部分
[270.32-273.32] 那我们的这个财务表现的部分
[273.32-276.32] 首先是看到我们近三年还有
[276.32-279.32] 我们今年第一季的这个减米损益表
[279.32-285.32] 那首先在这个营收的部分
[285.32-288.32] 我们Q1的营收是大概17.9亿
[288.32-294.32] 那我们近年的平均是每一季的营收
[294.32-297.32] 每一季的营收大概是来到16亿上下
[297.32-298.32] 那我们近年的平均是每一季的营收大概是来到16亿上下
[298.32-300.32] 那在毛利率的部分
[300.32-302.32] 第一季是15.6%
[302.32-307.32] 大概跟去年是落在一个差不多持平的水准
[307.32-309.32] 那业外的部分
[309.32-313.32] 我们可以看到前两年表现比较好一些
[313.32-316.32] 那今年Q1的业外表现没有那么亮眼
[316.32-320.32] 那这个地方主要是我们投资事业
[320.32-322.32] 财务投资的评价的关系
[322.32-327.82] 那主要是受到这个股票市场的这个
[328.32-333.32] 一些涨跌的影响
[333.32-339.32] 那我们第一季的这个整体的EPS是0.6元每股
[339.32-342.32] 与跟去年是相当
[342.32-345.32] 但是如果是看到比较细项金额的部分
[345.32-347.32] 如果以第一季来讲的话
[347.32-350.32] 我们今年第一季的这个营业利益表现
[350.32-353.32] 本业的表现是比去年来的好一些
[353.32-357.32] 那业外的部分刚刚也有提到是比去年表现
[357.32-359.32] 差一些
[359.32-361.32] 但是两者相加起来
[361.32-362.32] 我们每股营业利益
[362.32-364.32] 以及税后选业的部分
[364.32-367.32] 每股营业利益的部分是跟去年比例差不多
[371.32-374.32] 我们接下来看一下我们这个
[374.32-379.32] 2022年Q1到2025年Q1的一些营业指标
[379.32-381.32] 包括净收、毛利、营业经历
[381.32-383.32] 还有税前经历等等
[383.32-386.32] 那净收的部分光有报告到
[386.32-389.32] 我们近年的这个季的营收
[389.32-392.32] 平均落在大概16亿上下
[392.32-395.32] 那有些高有些低
[395.32-402.32] 这个主要就是受到我们客户的出货的落点的影响
[402.32-407.32] 那在季毛利的部分
[407.32-409.32] 还有营业经历的部分
[409.32-413.32] 其实大部分也都还稳定
[413.32-416.32] 这都还是有
[416.32-417.32] 获利的
[417.32-419.32] 都还是有维持获利的情况
[422.32-425.32] 那接下来这一页是我们的这个
[425.32-430.32] 近年的合并的减密资产负债表
[430.32-434.32] 那这边看到我们在2025年Q1的部分
[434.32-439.32] 的资产还是有微幅提升
[439.32-441.32] 跟去年底相比的话
[441.32-445.32] 是从86.6亿稍微提升到91.65亿
[446.32-449.32] 那另外这边大家比较会注意到的
[449.32-454.32] 可能是在我们现金以及约当现金的减少
[454.32-457.32] 这个部分最主要的原因
[457.32-459.32] 是因为我们的这个
[459.32-462.32] 受到我们客户的工程进度影响
[462.32-464.32] 我们在
[464.32-466.32] 营收以及存货
[466.32-468.32] 都有
[468.32-471.32] 比较显著的增加
[471.32-474.32] 所以那这个部分我们也会持续的加快脚步
[474.32-475.32] 往来
[476.32-478.32] 尽快的跟我们客户协调
[478.32-480.32] 把我们的营收收回来
[480.32-482.32] 同时也降低我们的存货
[482.32-485.32] 那另外就是在负债比的部分
[485.32-488.32] 我们前几年的负债比的平均选
[488.32-491.32] 大概都在11 12%左右
[491.32-494.32] 那今年第一季是来到了22%
[494.32-496.32] 那虽然是有增加
[496.32-500.32] 但是我们相信这个也是在正常的水准之中
[506.32-508.32] 接下来我们再来看一些
[508.32-511.32] 主要财务比喻的部分
[511.32-513.32] 那整体来看我们的
[513.32-515.32] 以财务比喻来看
[515.32-518.32] 应该我们的财务情况是还算健全
[518.32-523.32] 但是也的确我们的这个流动比
[523.32-524.32] 速动比
[524.32-528.32] 跟前几年比较起来也是都有下降的情况
[528.32-533.32] 但是这个我们认为都还在合理的范围之内
[533.32-535.32] 那另外就是
