[0.00-4.00] 各位好 謝謝麻煩你們今天跑一趟了
[4.00-8.00] 然後今天的簡報內容
[8.00-13.00] 因為以前可能沒有把我們的各項生產的產品
[13.00-15.00] 做一個很完整的介紹
[15.00-18.00] 那這一次呢我想說因為剛剛好賓購完BH
[18.00-23.00] 賓購完之後大家一定會很好奇我們到底是買了一個什麼東西
[23.00-27.00] 因為大家看到HDD都會覺得說我們為什麼要買它
[27.00-31.00] 我們看中它仍然還是在金屬加工的部分
[31.00-36.00] 那只是說它表面上看起來或許偏電子產品
[36.00-39.00] 但是它實質上在營運上面它的控管還是在
[39.00-41.00] 主要是在金屬加工的部分
[41.00-45.00] 那這個等一下我們可能在做我們整個營運的
[45.00-48.00] 所有的產品的介紹的時候會去帶到它
[48.00-50.00] 那我們就開始囉
[51.00-54.00] 我想我們總部在新加坡
[54.00-57.00] 那長期以來我們都是在
[57.00-60.00] 精密金屬的成型的技術
[60.00-62.00] 那工業化跟這些設備
[62.00-66.00] 其實主要是在金屬加工設備還有機器人這個部分
[66.00-70.00] 那我們現在併購了BIGL之後
[70.00-73.00] 大概在東南亞
[73.00-74.00] 主要是在東南亞
[74.00-78.00] 然後跟中國還有遠在那個匈牙利有一個廠之外
[78.00-81.00] 現在加起來我們大概有12個廠區
[81.00-83.00] 所有的員工大概有2000個人
[85.00-87.00] 這個是我們公司的整個工程
[87.00-90.00] 1992年的時候就設在新加坡
[90.00-95.00] 那陸陸續續在印尼、無錫、匈牙利設廠
[95.00-101.00] 設廠之後2021年的時候發展到機器人的技術
[101.00-104.00] 那機器人發展起來之後
[104.00-107.00] 其實我們2022年的時候把主要的
[107.00-111.00] 組裝加工的生產中心放在中國無錫廠這邊
[111.00-115.00] 那其實大家應該是會比較好奇說
[115.00-117.00] 卡佩恩這個機器人如果說你是中國製造的話
[117.00-119.00] 我憑什麼賣到歐美去
[119.00-121.00] 那其實主要是這樣
[121.00-123.00] 我們是把組裝放在這邊
[123.00-125.00] 因為它的人工還是比較便宜
