[0.00-5.80] 欢迎各位投资先进
[5.80-9.50] 历龄今天嘉一健康事业股本有限公司的线上法说会
[9.50-14.98] 首先为大家介绍今天经营团队是张明正总经理及周成孝财务长
[14.98-18.00] 那我们现在正式开始今天的法说会
[18.00-20.96] 欢迎今天的主讲人周成孝财务长
[20.96-21.32] 谢谢
[21.32-24.34] 各位投资先进大家好
[24.34-27.18] 那今天由我来跟大家说明一下
[27.18-32.30] 嘉一在今年Q1的一个财务状况跟业务概况的一个部分
[32.30-34.36] 那我们现在开始
[34.36-36.36] 那等一下会后如果有什么问题
[36.36-38.42] 再欢迎各位投资先进提出来
[38.42-40.96] 那一开始是一个免责声明
[40.96-43.70] 就是说实际上的资料还是以那个
[43.70-48.64] 以那个财务报表的那个公开资讯关注站的财务报表为准
[48.64-51.78] 那嘉一集团主要分成一个事业体的部分
[51.78-53.06] 主要分成三大部分
[53.06-56.54] 主要有贸易代理医疗通路跟医药物流的部分
[56.54-57.16] 那我们现在开始
[57.16-58.24] 那贸易代理的部分
[58.24-61.40] 我们包含有透析的产品跟医学美容的部分
[61.40-64.72] 那还有外科的一些设备跟耗材的部分
[64.72-66.12] 还有健康家电
[66.12-69.92] 那医疗通路的部分主要有透析的通路
[69.92-70.88] 还有医美的通路
[70.88-72.16] 长照医院的通路
[72.16-74.28] 还有肩膀中心的通路
[74.28-75.82] 那医药物流的部分的话
[75.82-78.58] 主要是在像酒育跟吉康的部分
[78.58-81.96] 那有药品的医药那个业务推广
[81.96-86.64] 那还有那个那个经销物流的配送的部分
[86.64-87.16] 那再来
[87.16-89.20] 还有医材的配销的部分
[89.20-91.66] 那GMP GTP ISO的一个部分
[91.66-94.24] 那搭配整个在销售端的部分
[94.24-96.70] 那我们也有专业的设备的一些维修
[98.54-100.18] 那今年度的概况的话
[100.18-101.88] 我们可以跟大家说明
[101.88-103.08] 那去年底的话
[103.08-105.30] 我们营收大概是85亿
[105.30-106.52] 那相较于去年的话
[106.52-108.04] 大概是增加3亿
[108.04-109.30] 那今年的Q1的话
[109.30-110.34] 我们的营收的话
[110.34-113.38] 大概是21亿5千万左右
[113.38-114.28] 较去年的话
[114.28-115.88] 20亿4千万的话
[115.88-117.14] 大概是多了1亿的部分
[117.16-119.82] 那可以看到嘉义是先浮的成长
[119.82-120.60] 那药养的话
[120.60-124.74] 因为那个医疗设备跟那个医美的设备呢
[124.74-125.92] 去年销售比较好
[125.92-126.98] 那今年没有那么好
[126.98-129.04] 那大家还有一些缺货的状况
[129.04-130.98] 所以他营收稍微是减少
