[0.00-8.34] 各位凱基的客户大家好
[8.34-11.94] 非常欢迎大家近日来参加
[11.94-14.04] 加龙科技的法人说明会
[14.04-18.04] 首先介绍公司与会的经营团队
[18.04-20.70] 发言人陆怡豪顾问
[20.70-23.56] 以及陈哲辉财务长
[23.56-27.00] 财务长好 顾问好
[27.00-28.14] 大家好
[28.14-32.60] 近日的法说将分成两部分进行
[32.60-35.66] 前半段会由公司经营团队
[35.66-37.64] 进行公司的简报说明
[37.64-40.16] 后半段再开放给大家提问
[40.16-43.16] 接下来就有请陈哲辉财务长
[43.16-44.66] 为我们做公司的简报
[44.66-46.00] 麻烦财务长
[46.00-49.06] 谢谢 谢谢凯基政军这边
[49.06-52.06] 今天安排了法人的一个交流会议
[52.06-54.54] 我先分享一下我的简报
[58.14-74.36] 简报的画面
[74.36-76.12] 现在看得到简报画面吗
[76.12-77.82] 可以 没问题
[77.82-79.06] 我就开始
[79.06-82.66] 感谢法人朋友今天的一个时间
[82.66-85.30] 这边我会接下来针对
[85.30-86.82] 加龙科技的一些
[86.82-88.12] 近期的一些经济的一些计划
[88.14-89.50] 一个营运的一些说明
[89.50-91.82] 来做一些报告
[91.82-94.30] 这是今天的一个主要的agenda
[94.30-95.50] 大概分成五个部分
[95.50-98.70] 来跟大家做一个报告说明
[98.70-101.60] 首先是公司的一个基本的资料
[101.60-105.24] 当然这边或许有一些资料是公开资讯
[105.24-107.46] 我们现在成立的时间已经
[107.46-109.34] 到今年9月就是29年
[109.34-111.48] 资本额是10.45亿
[111.48-114.00] 目前我们在台湾跟中国大陆
[114.00-116.72] 都有分别有营运据点
[116.72-118.10] 在桃园 观音这边
[118.10-120.40] 我们有观音一厂 二厂还有黄科厂
[120.40-123.34] 黄科厂也是我们的一个企业转部的部分
[123.34-125.14] 另外在大陆的苏州厂
[125.14-127.20] 这边有一个营运据点
[127.20-130.30] 全部的一个土地的总面积
[130.30-132.20] 大概是2万2千多平
[132.20-134.04] 那都是自有的部分
[134.04-137.38] 营业额的部分去年是将近快12亿
[137.38-140.06] 主要我们的一些营业项目
[140.06-144.54] 包括半导体的一些工件的一些零件清洗
[144.54-148.10] 还有电子废气物的一些非纸讯品的回收跟
[148.10-149.10] 处理
[149.10-151.82] 那这两个营业的项目
[151.82-155.78] 其实也会产出或回收到一些贵金属的部分
[155.78-158.78] 所以这边的话也会有贵金属的一些回收经验
[158.78-161.10] 跟回收出来的贵金属
[161.10-162.64] 我们进行一些销售
[162.64-166.70] 或者是用于后段的半导体的一些应用材料
[166.70-170.06] 就是叫算是绿色的一个材料的
[170.06-172.48] 应用材料的一个制造跟销售
[172.48-175.78] 同时我们也会去生产工业用的一些经验
[175.78-176.60] 好
[176.60-177.94] 这个也是在
[178.10-181.50] 电镀的制程中客户所需的
[181.50-186.22] 那另外就是在上面所讲的一些相关的制程
[186.22-188.50] 那都会有一些废气物或废液
[188.50-189.70] 所以这个废液的处理
[189.70-191.82] 不管是我们厂内自己产生的
[191.82-194.78] 或者是我们现在有在对外处理客户
[194.78-197.46] 所产生的一些废液的一些问题
[197.46-198.42] 那同时
[198.42-202.94] 当然现在这个静林碳排也是这个世界的一个趋势
[202.94-205.82] 所以我们也建置了一些太阳能的一些发电的
