[0.00-5.14] 各位长官各位与会先进
[5.14-6.60] 大家好大家午安
[6.60-11.68] 很高兴今天大家来参加世新科技股份有限公司法人说明会
[11.68-15.66] 今天为我们主讲的长官为廖文嘉董事长
[15.66-17.66] 严聪前总经理
[17.66-19.40] 吴秀碧副总经理
[19.40-21.36] 以及李神龙经理
[21.36-23.12] 会议会分为两个部分
[23.12-27.10] 第一部分会先由世新科的长官向投资先进点报
[27.10-30.30] 及分享公司近期优势状况及经营成果
[30.30-33.16] 第二部分则进行QA问答讨论
[33.16-36.42] 那我们现在就把时间交给世新科的长官
[36.42-38.18] 经理我们可以开始了
[38.18-38.50] 谢谢
[38.50-41.08] 好谢谢你
[41.08-48.26] 欢迎各位投资先进来参加今天世新科技的线上版说明会
[48.26-54.54] 今日的简报由我来为各位做说明
[57.10-63.24] 我想我今日的简报大致上分为五大部分
[63.24-72.20] 第一个部分是我们最近两年度跟今年第一季的一个水疫情形
[72.20-76.04] 那2024年营收大概35.7亿
[76.04-83.46] 较2023年34.14亿成长5.66个4.66个百分比
[83.46-87.06] 那毛利的部分是
[87.10-89.46] 2024是5.05亿
[89.46-96.40] 较2023年4.78亿增长的大概5.59个百分比
[96.40-105.24] 那我想2024跟2023年的毛利率大概在14.15以及14.02
[105.24-108.12] 大概是在14%的一个水平
[108.12-111.50] 那今年第一季的部分
[111.50-116.56] 营收8.56亿相较去年9.96亿
[116.56-117.08] 大概3.6亿
[117.10-119.66] 较于退11.6%的升
[119.66-126.58] 但是毛利的部分1.8亿相较去年同期大概1.48亿
[126.58-129.64] 增长的大概24.66
[129.64-138.10] 那表现的毛利率大概是去年同期15.25今年21.52
[138.10-142.44] 那也带来今年度的一个税后净利
[142.44-146.80] 归属母公司的净利大概是620110万
[146.80-147.06] 1.2亿
[147.06-147.08] 大概是620110万1.2亿
[147.10-157.00] 那今年度的一个第一季的毛利率以及营业的净利率
[157.00-165.22] 以及税后的净利率大致上呈现一个加薪与同期增长的一个情况
