[0.00-2.00] 各位前進
[2.00-4.00] 森微能源股份有限公司
[4.00-6.00] 法案說明會為我們正式開始
[6.00-8.00] 接下來我把時間交給李欣美財務長
[10.00-12.00] 各位同事先進
[12.00-14.00] 各位朋友下午好
[14.00-16.00] 我們很久沒有開法說會了
[16.00-18.00] 所以我們今天看到很多
[18.00-20.00] 熟悉的面孔非常開心
[20.00-22.00] 那現在呢就由我來
[22.00-24.00] 跟大家說明一下
[24.00-26.00] 我們森微能源的一個法說會
[26.00-30.00] 這個免責聲明
[30.00-32.00] 請大家各位參考一下
[32.00-34.00] 今天呢
[34.00-36.00] 我一樣會從四個方向
[36.00-38.00] 一個是公司簡介
[38.00-40.00] 財務概況以及營業概況
[40.00-42.00] 最後是ESG活動
[42.00-44.00] 的這四大方向
[44.00-46.00] 來跟大家說明跟報告
[46.00-48.00] 首先呢
[48.00-50.00] 我們來看一下公司簡介
[50.00-52.00] 因為有新朋友
[52.00-54.00] 所以我還是要把他
[54.00-56.00] 把我們的公司給仔細的介紹一下
[56.00-58.00] 我們的公司是
[58.00-60.00] 森微能源股份有限公司
[60.00-62.00] 成立的時間呢是在2007年10月27號
[62.00-64.00] 資本額呢
[64.00-66.00] 經過了那個增資之後
[66.00-68.00] 我們來到了新台幣
[68.00-70.00] 27億4642萬9千元
[70.00-72.00] 公司地址
[72.00-74.00] 主要是在土城中央路
[74.00-76.00] 比普
[76.00-78.00] 然後有兩個據點
[78.00-80.00] 一個是台南市一個是彰化
[80.00-82.00] 那我們的董事長呢還是一樣是郭台強先生
[82.00-84.00] 總經理呢是胡惠生先生
[84.00-86.00] 我們的服務項目呢
[86.00-88.00] 是全方位的專業能源服務
[88.00-90.00] 那我們的領域呢包括了
[90.00-92.00] 太陽光電 陸域 離岸風電
[92.00-94.00] 小水利發電 燃氣電廠
[94.00-96.00] 以及照明業等等的
[96.00-98.00] 那麼森微能源呢主要
[98.00-100.00] 公司的發展里程碑呢
[100.00-102.00] 在2019年8月18號
[102.00-104.00] 是我們的新興天然氣
[104.00-106.00] 他取得了
[106.00-108.00] 液化天然氣進口執照
[108.00-110.00] 那在2020年的
[110.00-112.00] 6月15號呢
[112.00-114.00] 我們取得了台電離岸風電
[114.00-116.00] 二期628.88億元的
[116.00-118.00] 同胞工程
