[0.00-9.00] 新高石油區土墳有限公司114年發文說明會
[9.00-10.00] 會議開始
[10.00-13.00] 首先恭喜主席支持
[13.00-16.00] 各位女士先生大家好
[16.00-20.00] 首先感謝這一年來對新高公司的支持
[20.00-24.00] 現在有可能來實施業務報告
[24.00-26.00] 本公司營業區域
[26.00-31.00] 包括蘭子 左營 虎山 山明 鹽城
[31.00-37.00] 乾金 新興 林亞及前鎮的9個行政區
[37.00-42.00] 目前供應器源既有蘭子及頂經鎮壓站
[42.00-45.00] 及小港貝佑鎮壓站
[45.00-49.00] 供需系統除虎山區域之民宿法
[49.00-54.00] 及龍石嶺存發區域採用中壓供需系統
[54.00-55.00] 其他區域
[55.00-56.00] 應採用中壓供需系統
[56.00-58.00] 以下的公司的公司
[58.00-61.00] 至113年12月31日
[61.00-64.00] 營業區範圍設計總戶數
[64.00-67.00] 計有581,905戶
[67.00-72.00] 供應戶數229,417戶
[72.00-76.00] 供應投機率39.42%
[76.00-80.00] 供應戶數以左營區61%最高
[80.00-83.00] 虎山區3%實質
[83.00-85.00] 鹽城區21%最低
[85.00-89.00] 新興區23%實質
[89.00-93.00] 用戶告表數以一般家族用戶為主
[93.00-96.00] 佔總用戶數99%
[96.00-99.00] 營業用戶佔1%
[99.00-104.00] 113年總報表數230,529戶
[104.00-108.00] 較112年增加5695戶
[108.00-111.00] 年度增幅率20.47%
[111.00-114.00] 報表數
[114.00-120.00] 113年一般戶228,476戶
[120.00-123.00] 營業戶2,053戶
[123.00-128.00] 總報表戶230,529戶
[128.00-130.00] 在營運成果方面
[130.00-134.00] 113年度計劃推廣目標為4,000戶
[134.00-137.00] 實際推廣4,617戶
[137.00-141.00] 年度目標達成率為115%
[141.00-143.00] 114年全年計劃推廣目標為
[144.00-145.00] 4,000戶
[145.00-148.00] 1至3月實際推廣1,042戶
[148.00-152.00] 年度達成率為26.1%
[152.00-154.00] 營業報表
[154.00-159.00] 113年報表為4,607戶
[159.00-164.00] 114年1至3月報表為1,042戶
[164.00-169.00] 辦理轉帳代繳契費計有105,588戶
[169.00-172.00] 佔全戶用戶比例45.8%
[172.00-173.00] 佔全戶用戶比例45.8%
[173.00-174.00] 佔全戶用戶比例45.8%
[174.00-176.00] 公路方面
[176.00-178.00] 設計借言
[178.00-180.00] 114年1月1至3月
[180.00-183.00] 集體部3552戶
[183.00-185.00] 營業部136戶
[185.00-187.00] 零星部40戶
[187.00-191.00] 外管長度3691公尺
[191.00-193.00] 施工概況
[193.00-195.00] 114年1至3月
[195.00-198.00] 中壓盆管1,121公尺
[198.00-200.00] 低壓盆管
[200.00-203.00] 支管共用管692公尺
[203.00-204.40] 整压器17座
[204.40-208.02] 维修及挂脚作业
[208.02-210.62] 自114年3月31日
[210.62-213.14] 即量在3座
[213.14-215.58] 高压本管0.86公里
[215.58-218.66] 中压本管150.5公里
[218.66-220.00] 低压本管
[220.00-223.76] 直管共用管1416.9公里
[223.76-226.46] 中压本口166的
[226.46-229.52] 区域型整压设备49座
[229.52-232.98] 用户型整压器444座
[233.00-235.90] 阀箱7993个
[235.90-239.54] 蓄水气箱9170个
[239.54-242.86] 挂表空气230529户
[242.86-244.68] 在管理方面
[244.68-247.36] 113年
[247.36-251.16] 购料既有24622万
[251.16-254.86] 发料22840万
[254.86-256.80] 113年
[256.80-260.42] 发包户数9687户
[260.42-262.34] 114年
[262.34-262.98] 一直3月
[262.98-265.54] 购料5568万
[265.54-268.22] 发料5927万
[268.22-271.42] 114年一直3月
[271.42-274.38] 发包户数3742户
[274.38-276.80] 114年3月
[276.80-279.06] 本公司材料库存
[279.06-281.66] 8552万
[281.66-283.78] 在产物方面
[283.78-285.50] 113年
[285.50-286.98] 资产总额
[286.98-289.88] 619345万
[289.88-292.84] 负债314325万
[292.84-294.64] 负债3199万
[294.64-298.48] 股东权益30亿4946万
[298.48-301.04] 114年一直3月
[301.04-304.88] 资产总额64亿6702万
[304.88-308.20] 负债33亿4098万
[308.20-313.32] 股东权益31亿2604万
[313.32-314.60] 固定资产
[314.60-316.40] 113年
[316.40-321.00] 输气设备1亿6984万
[321.00-322.40] 113年
[322.40-327.00] 一页收入12亿4551万
[327.00-330.60] 一页成本10亿2950万
[330.60-333.92] 一页毛利2亿1651万
[333.92-337.24] 一页费用6990万
[337.24-341.34] 一页外收入2亿3444万
[341.34-345.96] 税前存益3亿8055万
[345.96-348.00] 114年一直3月
[348.00-352.10] 一页收入3亿8281万
[352.40-354.20] 一页费用1755万
[354.20-356.24] 一页经历5479万
[356.24-358.80] 一页外收入5320万
[358.80-362.64] 税前存益1亿0799万
[362.64-365.20] 一页收入113年
[365.20-368.52] 受气收入9亿6085万
[368.52-371.60] 中市收入2亿6648万
[371.60-374.92] 一页收入3亿1048万
[374.92-377.48] 一页收入3亿1049万
[377.48-379.80] 一页收入3亿1049万
[379.80-381.32] 一页收入3亿1049万
[381.32-382.36] 一页收入3亿1049万
[382.40-386.24] 其他一页收入1818万
