[0.00-6.06] 谢谢各位来参与
[6.06-12.72] 其实今年就是每年的初会一年要做两次
[12.72-17.44] 所以通常都是在第一季的季报结束之后
[17.44-19.12] 这个强势度出来了
[19.12-20.42] 就会让我觉得
[20.42-24.88] 接下来我们在第三季或第四季都会再办第二次
[24.88-28.40] 其实今年
[28.40-30.38] 你们看这个简报
[30.38-31.60] 以前的简报都看过
[31.60-37.32] 就这么简单
[37.32-40.98] 公司在新浮浮学院区
[40.98-42.98] 然后我们朝鲜有一个厂
[42.98-46.80] 然后在苏州跟美国都是贸易公司
[48.80-52.18] 公司成立在97年的12月20号
[52.18-54.86] 然后在2000年的6月
[54.86-58.88] 13号上市上购
[58.88-62.36] 然后之后有一年就再上市
[62.36-65.54] 那目前的持收值总额是10亿
[65.54-69.08] 那总市长兼总经理是省县市博士
[69.08-72.04] 那截至今年的4月底
[72.04-74.54] 公司的员工是661人
[77.76-79.40] 接下来是公司的严格
[81.14-83.42] 这中间就不用多说了
[83.42-84.38] 那我想
[84.38-87.10] 就是讲2022到2024
[87.10-90.70] 2022就是我们有成立一个免疫风险科
[90.70-93.44] 主要就是在做快筛试剂
[93.44-98.14] 这个科目是设在这个讨论场
[98.14-100.76] 然后开始我们在12月
[100.76-102.62] 在2020的12月底
[102.62-108.20] 我们已经取得这个讨论服务的QMS认证公布
[108.20-111.70] 可是我的产品这里找到
[111.70-114.20] 听说是这个月底才会拿到
[114.20-115.82] 所以上个星期
[115.82-117.50] 所以有人三天就可以取得
[117.50-120.50] 我们听了实在是觉得很忌妒
[123.74-126.26] 接下来就是20232024
[126.26-129.14] 我们就积极在申请这个MD7
[129.14-131.54] 就叫五国的认证
[131.54-134.00] 就是美国加拿大巴西
[134.00-136.28] 还有日本跟澳洲
[136.28-141.08] 那我们分两年两次把这个MD7
[141.08-143.78] 五国法会认证取得了
[144.20-146.20] 那接下来是这个
[146.20-154.82] 有一个我们跟意大利的客人合作这个ICU用的CGM
[154.82-158.58] 我们现在台湾的GMBA也取证了
[158.58-161.20] 然后欧盟QMS也都过了
[161.20-165.20] 他现在也是只差一个产品证还没拿到
[165.20-166.20] 快拿到了
[166.20-170.20] 他取的是MDR
[170.20-173.54] 就是医疗院所用的
[173.54-173.78] 那这个MD7是我们的MD7货品证据是202420246
[173.78-174.18] 那这个MD7是我们的MD7货品证据是202420246
[174.18-176.42] 他现在就是在等产品证
[176.42-177.60] 在这个过程当中
[177.60-179.56] 他也在找他的客户
[179.56-183.06] 带领客户找
[183.06-187.48] 那再来是我刚刚讲的流感快筛试剂
