[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-36.58] 我是先进武安 很高兴大家来参加中华航空股份有限公司第二季的法人说明会
[36.58-41.28] 那现在我先介绍一下公司的经营团队
[41.28-43.14] 严阳严处长
[43.14-47.00] 陈欣怡陈协理
[47.72-50.70] 徐欣怡对不起
[50.70-53.40] 翁义轩翁经理
[53.40-55.86] 蔡俊伟蔡经理
[56.36-59.46] 那华航这几年除了获利不断成长以外
[59.46-61.70] 在ESG方面也不遗余力
[61.70-67.92] 那今天更公布了跟台积电吸手合作7月3号旅行SAF的减碳计划
[67.92-74.66] 那响应世界环境日一起迈向2050的净碳排的计划
[74.66-77.84] 那接下来我们就把时间先交给华航
[77.84-80.20] 让他们来做详细的简报
[80.20-80.60] 谢谢
[89.46-102.22] 好
[102.22-104.58] 各位同事先生大家好
[104.58-107.18] 接下来由我来为大家进行今天的简报
[107.18-111.26] 首先是免责声明的部分
[111.26-112.46] 请大家参阅
[112.46-116.66] 今天的简报共分成5个部分
[116.66-119.30] 首先是2025年第一季的营运计划
[119.30-119.32] 首先是2025年第一季的营运计划
[119.32-119.42] 首先是2025年第一季的营运计划
[119.42-124.14] 接下来依序是产业环境及市场展望
[124.14-125.68] 然后再来是机对规划
[125.68-129.06] 还有客户运的营运概况及策略
[129.06-133.02] 最后则是永续作为及经计效
[133.02-144.12] 首先看到华航第一季的营运时期
[144.12-149.28] 今年第一季华航合并营业收入台币527.7%
[149.28-150.16] 今年第一季的营运收入台币5.7%
[150.16-150.20] 今年第一季的营运收入台币5.7%
[150.20-153.42] 较去年同期增加41.2亿元
[153.42-155.12] 增幅8.5%
[155.12-158.16] 其中客运收入326.9亿元
[158.16-161.26] 与去年同期相当减幅大约1%
[161.26-164.72] 而货运收入是156.9亿元
[164.72-167.92] 则较去年同期增加了27.5%
[167.92-169.94] 扣除营业成本后
[169.94-173.54] 营业净利为56.5亿元
[173.54-176.56] 较去年同期增加46.8%
[176.56-178.98] 最终本期净利为
[178.98-179.26] 最终本期净利为56.5亿元
[179.28-180.60] 是6.6亿元
[180.60-183.56] 较去年同期增加36.7%
