[0.00-3.40] 各位投資先進,大家下午好
[3.40-8.50] 感謝原付證券的會議邀請與安排,也謝謝各位不容參與
[8.50-12.70] 很榮幸有這個機會向大家介紹保存工業
[12.70-17.00] 並說明2025年第一季我們的營運表現
[21.00-25.10] 在會議正式開始之前,請先提醒各位與會者
[25.10-31.20] 保存工業以本於合理及審慎態度準備本次簡報內容及問答部分
[31.20-35.40] 相關資訊僅供參考,並不構成任何投資建議
[35.40-39.60] 而於今日會議中,保存工業可能基於現有資料
[39.60-44.60] 當前預期與特定假設,做出若干前瞻性陳述
[44.60-49.30] 此類陳述應涉及諸多風險及不確定性
[49.30-52.60] 可能導致實際結果出現重大差異
[52.60-53.60] 保存工業對於前瞻性陳述,並不構成任何投資建議
[53.60-54.60] 保存工業對於前瞻性陳述,並不構成任何投資建議
[54.60-57.60] 保存工業對於前瞻性陳述,並不構成任何投資建議
[57.60-60.60] 而於前瞻性陳述,並不構成任何投資建議
[60.60-63.60] 保存工業對於前瞻性陳述,並不構成任何投資建議
[63.60-67.60] 或承蒙完整性或罪名等等破名 quo
[67.60-72.26] 若因此導致任何種類或性質的損失或損害
[72.26-74.60] 保存工業不承擔相關責任
[74.60-79.30] 他與偏者聲明之完整內容請參變。
[79.30-80.10] 在今天早上內,請你留意 211 00 De  currently using the report information
[80.10-83.90] 已經上傳到公開資訊觀測站以及 Our leggings review company building
[83.90-83.98] merir 넣 wel
[83.98-84.30] 著 歡迎 all resources andравляon
[84.30-84.60] básicamente break up your English
[84.60-86.20] 自行下载参考
[86.20-88.66] 接下来我将就这份简报内容
[88.66-90.32] 依序说明公司概况
[90.32-93.18] 致写于零售两大核心业务
[93.18-94.18] 营运成果
[94.18-97.38] 第一期的营运成果
[97.38-98.30] 福利政策
[98.30-100.76] 以及我们的一个永续表现
[100.76-102.26] 简报结束后
[102.26-104.66] 会开放问答交流的一个环节
[104.66-112.76] 保证工业成立于1969年
[112.76-114.18] 并于1990年
[114.18-116.64] 在台湾证券交易所挂牌上市
[116.64-118.98] 我们专注于致写与零售
[118.98-121.16] 两大核心业务的稳健发展
[121.16-122.90] 致写业务方面
[122.90-125.90] 公司长期致力于多元产能布局
[125.90-129.06] 且很早即采取多品牌代工策略
[129.06-131.32] 迅速建立了规模优势
[131.32-134.04] 如今保证工业是全球领先的
[134.04-136.00] 品牌运动鞋和修鞋鞋
[136.00-138.82] 代工制造代工设计制造商
[138.82-140.54] 为Nike Adidas
[140.54-141.28] ASIS
[141.28-142.24] New Balance
[142.24-143.26] 及Solomon
[143.26-144.16] 等国际制造商
[144.18-148.14] 与知名品牌的长期合作伙伴
[148.14-149.62] 在零售业务方面
[149.62-151.34] 公司对于大中华区
[151.34-153.50] 运动用品市场的长远发展
[153.50-154.98] 抱持信心
[154.98-157.38] 并将其作为主要目标市场
[157.38-159.94] 借由布局实体门店与发展线上
[159.94-161.74] 通路并进的方式
[161.74-165.40] 建构以消费者为核心的新零售生态圈
[165.40-168.30] 这里提供消费者多元化的商品选择
[168.30-173.34] 以及个性化的消费体验
[173.34-174.14] 那第四页
[174.14-177.14] 可以看到我们目前的一个组织架构
[177.14-184.04] 发展迄今保证工业已转型为产业控股公司的营运模式运作
[184.04-185.86] 主导策略拟定
[185.86-188.14] 财快行政等后勤统筹
[188.14-191.58] 同时也涵盖部分知识业务相关研发
[191.58-193.78] 用物料采购管理等
[193.78-196.30] 知识与零售两大核心业务
[196.30-199.28] 则分别由旗下子公司专注经营
[199.28-201.44] 从业务分工而言
[201.44-204.10] 知识业务目前主要由保证工业
[204.14-208.18] 持股51.36%的重要子公司
[208.18-211.54] 育远工业作为主要营运主体
[211.54-213.74] 为国际品牌代工制造
[213.74-216.90] 代工设计制造各式鞋类产品
[216.90-219.10] 且为掌握关键材料之供应
[219.10-221.54] 确保品质与管控交齐
[221.54-224.24] 跨足了上游鞋材的生产制造
[225.80-231.08] 零售业务则由育远工业持股62.55%的子公司
[231.08-233.28] 保胜国际负责营运
[233.28-236.08] 也就是保证工业通过育远工业
[236.08-241.48] 间接持有保胜国际32.13%的股权
[241.48-245.34] 保胜国际透过多元的业务形态和通股形式
[245.34-250.52] 在他中华区经销及带领众多知名运动休闲品牌的鞋类
[250.52-253.28] 服装配件等产品
[253.28-256.24] 而为了提升整体的一个企业价值
[256.24-261.74] 保证工业亦从事房产开发以及观光旅馆经营的业务
[261.74-264.04] 以进一步拓展营运面向
[264.04-269.82] 主要业务部分
[269.82-276.76] 我们在今年的第一季合并营收是新台币670.30亿元
[276.76-280.34] 较去年同期增加了5.9%
[280.34-286.08] 这个成长的动能主要来自于这些业务的订单维持稳健
[286.08-290.36] 有效抵消零售业务销售相对疲弱的不利影响
[291.74-296.60] 这些业务继续作为2025年第一季合并营收的主要来源
[296.60-300.18] 得益于主要品牌客户订单动能
[300.18-304.88] 出货双数及平均售价均较去年同期有所增长
[304.88-310.96] 也带动了2025年第一季知晰业务营收年增10.8%
[310.96-315.86] 合并营收比重增加到了65.2%
[315.86-319.96] 零售业务的部分虽然线上销售相对持稳
[319.96-321.70] 但是整体的一个销售项目是在2025年第一季合并营收的主要来源
[321.74-324.22] 消费环境仍然复杂多变
[324.22-327.04] 消费者的购物行为更趋保守
[327.04-330.74] 加上实体门店的一个客人量持续的一个低迷
[330.74-336.74] 今年2025年第一季的一个零售业务营收年减2.2%
[336.74-340.86] 合并营收比重降到了34.4%
[340.86-342.76] 而其他业务来说
[342.76-348.86] 则主要来自于保证工业100%持股的台中玉园花园酒店的旅馆经营业务
[348.96-351.72] 合并营收比重仅0.4%
[351.72-353.48] 相对不具重大性
[353.48-360.22] 那从第六页的一个图表我们可以看到
[360.22-364.50] 在2022到2024年这些业务的一个部分
[364.50-367.60] 因为疫情影响逐步的一个淡化
[367.60-371.20] 带动了这些业务的一个营运回升
[371.20-374.80] 2022年实现了双维数的一个营收增长
[374.80-379.16] 2023年这由于总体经济下行风险的一个加剧
[379.26-381.70] 产业库存水平处于相对的
[381.70-382.66] 一个高位
[382.66-384.64] 导致营运面临挑战
[384.64-388.14] 那进入2024年我们就看到了
[388.14-390.84] 随着产业库存调整周期结束
[390.84-393.26] 全球鞋类市场稳健复苏
[393.26-394.86] 订单基金满载
[394.86-398.06] 那营运也得以显著的一个回温
[398.06-405.06] 在今年的一个第一季看到鞋类产品需求延续了2024年的一个良好趋势
[405.06-406.78] 出货量稳步提升
[406.78-409.42] 平均售价也实现了年增
[409.42-411.68] 支持了这些业务的一个稳健增长
[411.70-415.94] 在零售业务的一个部分
[415.94-418.32] 在2022年到2024年
[418.32-422.38] 我们看到了零售环境陆续受到了疫情反复
[422.38-426.20] 市场波动以及宏观经济等多重的一个干扰
[426.20-429.88] 整体的一个销售表现受到了一个影响
[429.88-433.58] 那主要营运地区在2022年底全面解封
[433.58-436.12] 也带动了2023年的一个营收
[436.12-439.74] 叫2022年实现了一个高位数的一个增长
[439.74-441.66] 然后2024年受到宏观性增长的一个增长
[441.70-443.74] 消费持续方圜的一个影响
[443.74-446.32] 销售表现也再度的沉压
[446.32-447.86] 今年第一季
[447.86-449.48] 如刚刚所述
[449.48-451.66] 零售环境依然复杂多变
[451.66-453.78] 客流量持续的一个波动
[453.78-456.60] 主要营运地区的一个消费需求
[456.60-458.32] 依然相对疲弱
[458.32-466.12] 那接下来我们先看到了一个
[466.12-468.46] 这些业务的一个部分
[468.46-471.14] 这些业务其实于台湾
[471.70-474.00] 是在运营规模的一个持续扩大
[474.00-477.34] 配合品牌客户灵活的一个采购策略
[477.34-480.22] 且积极善用海外制造优势
[480.22-483.28] 逐步将生产中心从台湾外移
[483.28-488.38] 1988年我们在中国大陆设立第一条海外的一个生产线
[488.38-491.22] 随后于1992年前往了印尼
[491.22-493.68] 1994年在越南设厂
[493.68-495.20] 并陆续在柬埔寨
[495.20-499.18] 孟加拉及缅甸等地设置生产据点
[499.18-500.52] 目前中国大陆
[500.52-501.68] 印尼及越南
[501.70-504.32] 是三大主要生产基地
[504.32-508.28] 有效的支持品牌客户多有化的一个需求
[508.28-510.64] 在双数方面的话
[510.64-516.16] 今年2025年第一季总生产出货量是61.9百万双
[516.16-519.50] 较去年同期成长了5.3%
[519.50-522.62] 其中印尼越南及中国大陆
[522.62-526.20] 分别占总生产出货量的55%
[526.20-529.40] 31%及10%
[529.40-530.52] 包括柬埔寨
