[0.00-3.78] 各位有听到我的声音吗
[3.78-6.86] 有很清楚
[6.86-7.70] 好OK
[7.70-9.92] 黄处长各位与会法人大家好
[9.92-11.72] 那今天非常谢谢西创电子
[11.72-13.26] 能接受第一金证券的邀约
[13.26-15.00] 来安排这次的线上座谈会
[15.00-17.58] 那我们现在就请黄处长来谈谈
[17.58-19.44] 公司的营运现况跟发展前景
[19.44-20.36] 那处长请
[20.36-24.74] 好特别特别谢谢第一金的邀请
[24.74-27.58] 也特别感谢各位投资先进
[27.58-29.32] 波控来参加这个会议
[29.32-32.48] 那今天这个会议是由我黄英记
[32.48-35.32] 投资人关系来跟各位做简报
[35.32-38.60] 那简报更新过后
[38.60-41.18] 会留一点时间给大家提问
[41.18-41.72] 谢谢
[41.72-50.00] 好那我们这个meeting是有关于
[50.00-52.52] 西创在第一季的表现
[52.52-55.70] 那西创主要是成熟领域的
[55.70-59.20] 中小尺寸显示器驱动晶片
[59.20-59.30] 的一个会议
[59.32-61.32] 那我们现在就来说一下
[61.32-62.32] 我们的领导者
[62.32-63.32] 我们的全球领导者
[63.32-64.32] 尤其是在AIoT
[64.32-67.32] 就是物联网或者是公控这两个市场
[67.32-69.32] 我们具有决定性的市占
[69.32-71.32] 那再来就是比较重要的点是
[71.32-73.32] 我们在零电容技术这边
[73.32-74.32] 属于先驱
[74.32-77.32] 我们从2009年开始投入研发
[77.32-79.32] 2015年开始
[79.32-82.32] 就是提出第一个产品
[82.32-85.32] 由零电容技术
[85.32-87.32] 那之后就不断的扩散到现在
[87.32-89.32] 我们今年度会以TDDI来做展示
[89.32-91.32] 我们的新的产品
[91.32-93.32] 也是配上零电容的技术
[93.32-96.32] 开始进入我们一个全新的市场
[96.32-97.32] 那等一下我们会
[97.32-102.32] 可能会有一些时间来提到这一部分
[102.32-105.32] 再来就是我们持续的孵化子公司
[105.32-108.32] 为了就是要引入一些新应用
[108.32-110.32] 让我们长期的动能
[110.32-113.32] 还是维持一个成长的状态
[113.32-115.32] 那大家比较熟知的就是
[115.32-118.32] 在2020年上柜的增加电池
[118.32-121.32] 它是属于做感测器晶片的
[121.32-125.32] 那再来就是在去年2024年的12月
[125.32-128.32] 力灵科技就是车用Auto这个sector
[128.32-132.32] 就是由力灵科技它主要聚焦的
[132.32-135.32] 就是车用中小尺寸的显示器驱动晶片
[135.32-137.32] 那我们来看一下
[137.32-141.32] 细创电子它有的这四个sector
[141.32-144.32] 就是物联网或者说我们叫它AIoT
[144.32-147.32] 或者公控或者是感测器
