[0.00-5.64] 中國人造纖維股份有限公司創立於1955年5月11日
[5.88-9.48] 資本額為新台幣168.59億元
[9.72-13.56] 主要經營的業務為人造纖維聚酯纖維
[13.82-17.40] 及化學石油產品製造買賣
[18.68-21.50] 員工人數目前為488人
[26.62-28.92] 主要產品第一個EG
[28.92-33.02] 二醇主要作為聚酯纖維之主要原料
[33.28-38.40] 上可製造為抗凍劑高溫冷卻劑等
[38.90-40.44] 二醇
[40.70-43.00] 主要作為塑膠基本原料
[43.52-47.86] 上可製造為煞車油溶劑油等產品
[48.64-52.22] EG主要72%供應給國內市場
[52.48-54.52] 28%外銷
[54.78-57.60] 外銷市場主要以中國為主
[58.62-58.88] EG主要
[59.18-63.28] EG主要作為介面活性劑
[63.52-67.36] EG主要作為介面活性劑
[67.88-70.18] 以二醇米等原料
[70.70-71.20] 且
[71.46-73.52] 100%供應給國內的市場
[73.76-77.10] 因供氣100%以上
[77.36-79.92] 以上均以管線供應至廠家
[80.16-82.22] 具有不可取代性
[82.48-84.52] 及運輸成本的優勢
[89.18-95.32] 在是我們的NP主要作為非離子介面活性劑
[95.58-99.68] NP主要作為非離子介面活性劑
[99.92-100.96] 抗氧化劑
[101.20-102.74] 抗氧化劑等原料
[103.26-105.82] 主要20%供應給國內市場
[106.08-108.38] 其餘均銷往印度
[108.64-109.40] 韓國
[109.66-110.68] 馬來西亞
[110.94-111.70] 日本
[111.96-114.00] 等亞洲區域為主
[118.92-122.50] 具質
[122.76-126.08] 具質主要用途供應給專業甲鎳廠
[126.60-131.20] 生產加工師及支付廠生產平之及增資用部
[131.98-134.80] 具質86%供應給國內市場
[135.30-138.12] 且垂直整合自有原料
[138.38-141.44] 所以品質穩定生產效率高
[147.34-148.88] 接著我們看到石化廠
[149.18-150.72] 在2024年各
[150.96-152.50] 產品的一個產量
[153.02-155.06] 單乙二醇在2024年
[155.32-156.08] 約產
[156.34-158.40] 71234噸
[158.90-162.24] 二乙二醇為7248噸
[163.00-165.56] 單乙二醇為203噸
[166.32-170.16] 還陽以往為15156噸
[170.68-174.26] 認分則為16667噸
[178.92-185.06] 具質廠在2024年的產量統計我們在半光具質力的部分
[185.32-187.62] 我們在半光具質力的部分為
[188.14-189.92] 41840噸
[190.96-195.30] 全光具質力為10724噸
[196.08-200.42] 預延伸師為37656噸
[201.70-205.28] 全延伸師為7947噸
[206.06-207.60] 加工師為14840噸
[207.84-208.88] 加工師為14840噸
[209.18-209.94] 加工師為14840噸
[216.34-220.70] 在氣電廠2024年的一個產量統計部分在建立
[220.96-225.04] 去年的年發電量約為2.26億度
[228.12-232.48] 2024年外售台電的部分為0.37億度
[239.18-246.60] 在氣電廠2024年產量蒸氣的部分在32K
[247.36-250.70] 生產量約為72000噸
[251.46-255.04] 21K的部分約為164000噸
[256.08-258.12] 8K的部分則為
[258.38-260.16] 106000噸
[269.44-275.58] ,在2024年營運暨財務概況營收比重的部分在化工占53%
[275.84-278.14] 化鉛占42%
[278.40-280.44] 其他則占5%
[288.38-294.52] 接著我們看到2024年的簡明綜合損益表個體的部分在2024年的
[294.78-295.54] 營業收入
[296.06-298.10] 約為56億8000萬
[298.92-302.76] 營業費用約為2億7000萬
[304.30-307.62] 營業損失約為13億7000萬
[308.90-311.72] 營業外收入約為14億
[314.28-319.92] 在2024年的本期淨利的部分約為2800萬
[320.94-324.00] 每股營餘為0.02元
[328.92-335.06] 在2024年的資產總計部分
[335.32-338.90] 約為388億
[347.86-351.96] 在簡明資產負債表個體的部分
[352.22-356.82] 2024年我們看到負債總計約為175億
[357.84-358.88] 股東權益
[359.18-361.22] 總計約為213億
[362.50-365.84] 每股淨值為15.87元
[376.08-380.68] 在合併的簡明綜合損益表裡面我們在2024年
[381.20-384.26] 本期淨利的部分約為63億
[384.78-386.56] 在2025年的第一季
[386.82-388.36] 約為16億
[389.18-394.30] 淨利歸屬於母公司業主在2024年約為2700萬
[395.06-398.14] 在2025年的第一季約為2100萬
[399.92-405.30] 淨利歸屬於非控制權益在2024年約為63億
[406.08-409.40] 在2025年的第一季約為16億
[411.20-414.26] 在每股營養部分為0.02元
[419.18-425.32] 在2025年的資產總計部分
[425.58-429.68] 約為9966億
[430.96-434.28] 在2025年第一季的部分
[435.04-439.14] 資產總計約為10369億
[443.76-447.08] 在2025年第一季的部分
[447.08-449.64] 約為9122億
[449.90-451.68] 在2025年第一季的部分
[451.94-453.74] 約為9512億
[455.02-459.12] 股東權益總計在2024年約為841億
[459.88-463.46] 在今年的第一季約為857億
[464.74-466.54] 在2024年的第一季的部分
[466.80-468.32] 約為912億
[469.60-471.66] 在2025年的第一季的部分
[471.92-473.70] 約為912億
[474.22-475.50] 在2024年的第一季的部分
[475.50-476.78] 約為912億
[477.08-479.12] 在2025年第二季的部分
[479.38-480.92] 約為912億
[480.92-481.94] 在2025年的第一季的部分
[481.94-482.72] 約為912億
[482.72-484.00] 在2025年的第二季的部分
[484.00-484.76] 約為912億
[485.28-489.88] 在未來展望及規劃部分以二存廠聚酯廠
[490.14-491.16] 及甲黏廠
[491.68-492.96] 上下游整合
[493.46-494.48] 降低成本
[494.74-498.08] 並持續提升品質及銷售價格
[498.58-499.86] 且聚酯廠
[500.12-501.92] 投入生產環保砂
[502.42-506.52] 配合循環經濟來滿足整體市場的需求
[507.08-513.22] 接下來是線上提問的部分
[525.76-527.82] 這個
[528.32-530.64] 以二存未來一年
[531.14-534.22] 這個
[534.98-536.78] 以二存未來一年
[537.08-539.64] 理論上還是供過於求
[539.90-542.20] 因為大陸的這個產能還是太大
[543.74-545.52] 所以未來一年
[545.78-548.34] 這個以二存的市場還是屬於供過於求
[549.12-549.88] 那
[550.14-551.16] 關於
[551.68-554.48] 這個可不可以跟中油談更便宜的乙烯
[555.26-557.30] 那中油這邊是屬於國營單位
[557.56-559.60] 他一樣要自負盈虧
[560.38-564.22] 所以他能夠支持產業這邊的乙烯
[564.98-566.26] 他有一定的限度
[567.08-570.92] 那根據去年和今年的乙烯的這個公式來看
[571.44-574.76] 今年的乙烯的價格是比去年稍微便宜一點
[576.56-580.14] 那關於加工率我們現在的加工率大概是5到6成
[580.64-582.70] 加工率事實上是不高
[583.72-585.76] 那你關於你說這個加工率
[586.02-589.86] 是不是可以這個到多少可以貪停固定成本
[591.14-595.24] 這個你去看我們的財報就知道現在如果說以二存來講
[595.50-596.26] 他是
[596.52-597.04] 低於
[597.34-598.10] 製造成本
[598.88-600.40] 甚至貼近變動成本
[601.18-604.24] 所以他等於開越多虧越多他不會
[605.02-608.08] 你開越多並不會貪提到你的固定成本的部分
[608.60-609.12] 以上
[618.08-621.66] 那有關於這個155的部分
[622.16-623.44] 155的部分他
[624.22-626.52] 對於這個石化產業
[626.52-628.82] 的琢磨是比較少
[629.60-633.44] 他可能會比較處於如果在石化業他可能就是
[634.46-638.30] 跟他們以前鋼鐵業發展是一樣的他會去做一個整併
[638.80-640.86] 還有一個高質化的一個動作
[641.62-644.70] 那這方面對於我們的話當然是
[645.20-648.54] 有好有壞好處當然就是如果大陸那邊
[649.04-650.84] 做一個這個
[651.60-653.40] 產能的一個整併的話
