[0.00-22.56] 各位先進
[22.56-24.72] 重複科技股份有限公司
[24.72-26.92] 線上法人說明會我們正式開始
[26.92-28.46] 那首先我為各位介紹
[28.46-29.84] 今日公司初期長官
[29.84-32.12] 第一位為余思平總經理
[32.12-34.92] 各位投資先進好
[34.92-35.84] 我是余思平
[35.84-38.82] 第二位為黃昭為副總
[38.82-42.32] 第三位為
[42.32-44.04] 是
[44.04-45.42] 我們副總出差
[45.42-48.06] 然後他沒有辦法參加
[48.06-48.34] 謝謝
[48.34-49.24] 好
[49.24-52.26] 那接下來為各位介紹
[52.26-52.84] 下一位
[52.84-54.32] 練相如業務處長
[54.32-56.72] 各位投資先進
[56.72-57.34] 午安
[57.34-58.40] 我是練相如
[58.40-63.40] 第四位為葉映湖研發資深處長
[63.40-65.40] 各位投資先進
[65.40-65.90] 午安
[65.90-69.86] 我是資深處長葉映湖
[69.86-73.30] 第五位為嚴正琴財務處長
[73.30-75.06] 各位投資先進大家好
[75.06-76.26] 那我是嚴正琴
[76.26-78.08] Danny
[78.08-78.32] 好
[78.32-85.58] 那接下來把時間交給余總經理
[85.58-88.40] 那個接下來我們開始做我們的
[88.40-90.40] 一個簡報資料
[90.40-93.40] 好
[93.40-95.40] 那首先做公司簡介
[95.40-101.40] 那我們請我們的
[101.40-108.40] 各位投資先進大家好
[108.40-110.40] 那接下來有
[110.40-113.40] 財務這邊做公司簡介
[113.40-116.40] 那公司主要還是的產品主要是
[116.40-118.40] 戶外耐候強固化
[118.40-120.40] 那就是我們在這個
[120.40-121.40] 我們在這個公司的
[121.40-122.40] 公司的一個展示器
[122.40-123.40] 那公司成立於1997年
[123.40-126.40] 那我們在去年的3月已經IPO上市了
[126.40-129.40] 那目前的資本額是7.8億
[129.40-132.40] 那在全球佈局部分在製造的基地
[132.40-135.40] 主要在台灣還有中國大陸
[135.40-138.40] 那銷售服務據點就是有十幾個
[138.40-141.40] 包含那個我們的一些代理商
[141.40-145.40] 那研發據點主要也是在台灣跟中國大陸
[145.40-147.40] 那在2025 Q1的一個營收是8億元
[147.40-150.40] 那在2025 Q1的一個營收是8.2億
[150.40-154.40] 那在地區的別的營收分佈主要是
[154.40-156.40] 亞洲36%
[156.40-158.40] 那美洲44%
[158.40-161.40] 那其中直接銷往美國的是佔大概30%
[161.40-166.40] 那歐洲是20%
[166.40-172.40] 那接下來報告第一季的財務結果
[172.40-175.40] 那作服在第一季的銷貨進額是8.16億
[175.40-176.40] 那年結束的財務結果是
