[0.00-6.66] 大家早安
[6.66-9.04] 欢迎各界投资先进上线参与
[9.04-11.18] 丰泰企业不分有限公司
[11.18-12.78] 线上法人说明会
[12.78-14.60] 在本次会中
[14.60-17.16] 康和证券邀请徐方为主任
[17.16-19.70] 与各界先进分享公司营运展望
[19.70-22.40] 今天的议程将分为两个阶段
[22.40-24.64] 第一阶段公司简报说明
[24.64-26.46] 第二阶段Q&A交流
[26.46-28.28] 现在将时间交给徐主任
[28.28-29.14] 徐主任请
[29.14-32.30] OK
[32.30-33.66] 我再确认一次
[33.66-35.04] 有听到声音吗
[35.04-35.78] 没错
[35.78-37.58] 有很清楚
[37.58-37.96] 谢谢
[37.96-41.00] 谢谢各位的参加
[41.00-44.50] 我就直接开始了
[44.50-49.98] 我们这一次会update的营运资讯
[49.98-51.58] 先用一个几个page
[51.58-53.24] 跟他update营运资讯
[53.24-57.88] 其实之前有参加过法说会的
[57.88-58.88] 这一页
[58.88-60.32] 其实没有什么改变
[60.32-63.68] 因为这个讲的都是用2024年的资料
[63.68-66.68] 在做公司基本资料的update
[66.68-71.32] 大家主要都会去询问我们各区产能
[71.32-79.32] 这里的资讯就是你在2024年的各个国家的产能的配置
[79.32-80.72] 中国是10%
[80.72-82.44] 印尼是14%
[82.44-87.48] 越南46%跟印度30%
[87.48-88.64] 下一页呢
[88.88-94.24] 是我们的2025年第一季的中央财务资讯
[94.24-99.28] 那2025年第一季的我们合并营收20亿
[99.28-102.64] 207亿
[102.64-106.64] 那这个YYC增加1%
[106.64-111.68] 那我们的合并营业净利率是7%
[111.68-114.28] YYC增加一个百分比
[114.28-117.28] 那我们的合并税后净利是6%
[117.28-118.72] 然后第一季的每个月的经济费用是7%
[118.72-123.12] 然后第二季的每股盈余是1.16块
[123.12-126.08] 那如果用每股盈余来看的话呢
[126.08-134.08] 其实是比去年同期少了10%
[134.08-138.08] 然后再来是合并的综合损益表
[138.08-144.64] 这个表主要是在看这个刚刚上一页是
[144.64-145.72] 这个是保利率
[145.72-147.72] 这个表是有金额的部分
[147.72-148.56] 所以其他资讯跟资讯是有的
[148.56-151.56] 跟上一页是其实是重复的
[151.56-154.60] 所以这里我们看的是说
[154.60-159.28] 为什么在第一季跟去年同期的
[159.28-160.56] 净利率是比较低呢
[160.56-164.04] 主要其实在保利的这边没有很大的变化
[164.04-165.68] 有增加一些啦
[165.68-171.68] 但另外一个主要是在营业费用的
[171.68-172.92] 其实也没有很大的变化
[172.92-175.56] 那主要是在营业净利的小小的增加啦
[178.56-181.56] 增加了比去年同期多了4%
[181.56-184.56] 可是在营业外的费用跟支出呢
[184.56-187.56] 在收入的部分比去年少了45%
[187.56-191.56] 那这个部分当然可能大家都知道
[191.56-194.56] 其实是由台币的兑换的
[194.56-197.56] 2024年台币兑换利益是比较大的
[197.56-199.56] 2025年其实第一季是没有的
[199.56-201.56] 这是很小的台币的兑换利益
[201.56-205.56] 所以这个造成第一季的本期净利是比
[205.56-206.56] 去年的同期是比去年的同期是比较大的
[206.56-211.56] 去年的同期是略减一些
[211.56-216.56] 然后这个是我们资产负债表的状况
[216.56-218.56] 我就不特别讲了
[218.56-220.56] 那不过只看几个财务指标
[220.56-222.56] 下面这几个财务指标
[222.56-225.56] 在营收账款周转率
[225.56-227.56] 算还是健康的状况了
[227.56-230.56] 存货周转天数有稍微再高一些
[230.56-236.56] 但其实主要的原因是我们有些新厂了
[236.56-239.56] 新厂它在存货的周转区画稍微慢一点
[239.56-242.56] 那材料因为新厂的run up需要一点时间
