[0.00-1.00] 先生今天早安
[1.00-4.00] 歡迎大家今天的富邦投資論壇
[4.00-9.00] 我們今天很榮幸邀請到萊益集團的管理層來到這邊與各位投資
[9.00-11.00] 先進非常公式的進化
[11.00-13.00] 那接下來我們就將時間交給Jerry
[13.00-15.00] 大家好
[15.00-19.00] 那我們先來說明一下基本的狀況
[19.00-23.00] 這個安委院之前的都是相繼的
[23.00-27.00] 在萊益的人數的部分
[27.00-32.00] 在2025年的3月是6萬8千人左右
[32.00-33.00] 持續在擴敞
[33.00-38.00] 那人數我們會短暫的增加
[38.00-41.00] 那公司這邊目前擴敞的
[41.00-46.00] 今年度的重點就是越南和印尼的部分
[46.00-49.00] 印尼廠就是有義全廠的擴敞
[49.00-51.00] 義全廠是去年已經開始量產
[51.00-54.00] 今年會持續的擴增
[54.00-56.00] 那另外有義右廠的部分
[56.00-57.00] 義右廠就是
[57.00-58.00] 最右邊那個
[58.00-62.00] 阿里達的1000萬年產的一個工廠
[62.00-67.00] 那這個部分今年在整地跟建廠
[67.00-71.00] 然後希望在明年上半年能夠建築完成
[71.00-75.00] 然後可以開始做消服的量產
[75.00-78.00] 那義服廠的部分
[78.00-81.00] 目前有看到幾塊土地
[81.00-84.00] 可能要做最後的排辦
[84.00-86.00] 才會往下去運送
[86.00-87.00] 目前我們有幾塊土地
[87.00-88.00] 也會在整地的進度
[88.00-90.00] 大概是這個樣子
[90.00-93.00] 那目前需求最多的還是
[93.00-96.00] 集中在Hoka跟埃迪達斯
[96.00-98.00] 這兩個品牌的需求
[98.00-100.00] 所以未來的擴敞也是朝著
[100.00-102.00] 這兩個品牌的需求
[102.00-106.00] 持續的去做擴增的一個動作
[110.00-114.00] 那我們產品的一個類型
[114.00-116.00] 一樣是
[116.00-117.00] 落在這個
[117.00-118.00] 籃球鞋
[118.00-119.00] 網球鞋
[119.00-120.00] 防水鞋
[120.00-121.00] 潮流鞋
[121.00-122.00] 跟慢跑鞋
[122.00-123.00] 還有加油鞋的部分
[123.00-125.00] 那當然絕大多數的比重是落在
[125.00-128.00] 潮流鞋及慢跑鞋的部分
[128.00-132.00] 那潮流鞋可以把埃迪達的比重大部分是
[132.00-136.00] 埃迪達的部分就是籃球加網球加潮流鞋的一個結合
[136.00-138.00] 大概是這樣子
[138.00-140.00] 那慢跑鞋呢就是用Hoka的比重來看
[140.00-142.00] 基本上都是Hoka
[142.00-145.00] 那加油鞋基本上就是Commerce的部分
[145.00-147.00] 簡單的算法
[147.00-149.00] 這樣子推算
[149.00-152.00] 這邊可以看到說在埃迪達的部分
[152.00-153.00] 在各個系列
[153.00-155.00] 做的一些比較
[155.00-157.00] 比較具名的
[157.00-160.00] 知名的一個款式是哪些
[160.00-162.00] 從這邊就可以看得到
[162.00-164.00] 就可以大家可以看得到
[164.00-166.00] 那Arginus系列就是
[166.00-170.00] 第一、森巴、Casell、Cubus、StanceMix等等
[170.00-172.00] 這些
[172.00-175.00] 那Sportswear
[175.00-176.00] 那Cubus的部分呢
[176.00-178.00] 就有Hooks、H等等
[178.00-181.00] 那Base Gidbel有AE1、V1的部分
[181.00-184.00] 那下半輪有可能就會推出AE2
[184.00-186.00] 第二代
[186.00-188.00] OK
[188.00-189.00] 那Commerce的部分
[189.00-191.00] 就看到這個很多的經典款
[191.00-193.00] 大家應該會很喜歡
[193.00-196.00] 比如說Jack Tyler、Jack 17
[196.00-199.00] 這些比較old school的鞋款
[199.00-200.00] 那懶人鞋我們有做
[200.00-203.00] 那流行鞋的部分它就做這個比較高底的部分
[203.00-204.00] 比較高底的部分
[204.00-205.00] 這個就是結合
[205.00-210.00] 加鈕加冷貼兩種會組合在一起的鞋子
[210.00-213.00] 那當然它原本還有滑板、防水等等
[213.00-215.00] 這個都有
[215.00-216.00] 那在Hooks的部分
[216.00-218.00] 可以看到入跑鞋的部分
[218.00-220.00] 包括Clipton的10代
[220.00-225.00] Solim、Asahi、Horahia、Skyflow等等
[225.00-228.00] 然後Z-Wave的跑鞋Charioteer
[228.00-230.00] MetaFit
[230.00-231.00] 還有燈泽鞋的部分
[231.00-232.00] Kaha等等
[232.00-234.00] 然後方帶就是
[234.00-236.00] 入跑的環陣鞋
[236.00-237.00] 這些鞋款
[237.00-241.00] 都是大部分我們所生產的鞋款
[241.00-243.00] 那製程的部分
