[0.00-5.28] 各位投資先進
[5.28-6.60] 大家午安
[6.60-12.36] 非常歡迎大家今日來參加台灣高鐵的線上法人說明會
[12.36-16.32] 首先介紹公司今天的與會經營團隊
[16.32-18.86] 財快處王維仁副總
[18.86-21.04] 以及財務部委員經理
[21.04-25.88] 接下來的時間有請公司先進行簡報說明
[25.88-27.02] 有請公司
[30.00-33.06] 各位投資先進大家午安
[33.06-36.08] 歡迎大家來參加台灣高鐵公司
[36.08-37.24] 那個
[37.24-41.40] 114年第二季的線上法人說明會
[41.40-43.24] 謝謝大家參加
[43.24-45.68] 這個會議我們尋往歷
[45.68-48.68] 先做一個簡報說明一下公司
[48.68-54.32] 在2025年114年第一季的一些營運狀況
[54.32-56.72] 那我想這邊我會先請
[56.72-58.72] 詹芳澤先生
[58.72-59.64] 就
[59.64-62.00] 聚能的部分
[62.00-63.20] 先做一些說明
[63.20-64.20] 那接下來
[64.20-65.68] 再由我這邊來去做
[65.68-66.76] 有關於
[66.76-68.14] 財務
[68.14-69.88] 還有與運長王爺說明
[69.88-70.50] 謝謝
[70.50-73.60] 那現在我請詹先生先做業務概況的一些說明
[73.60-78.68] 好各位投資先進午安
[78.68-81.64] 那接下來說明一下台灣高鐵公司
[81.64-85.82] 2025年第一季的營運業務狀況
[85.82-88.94] 那請各位翻頁簡報的第5頁
[89.64-98.08] 那目前高鐵的營運規模呢還是為止在12座車站跟34組營運列車的一個規模
[98.08-103.46] 那至於在表定的每週定期頒表的班次方面
[103.46-111.66] 那高鐵公司呢在2024年的7月1號增班到了每週1103班次之後
[111.66-116.00] 那在今年的4到6月份的期間呢有做了一次的
[116.00-117.28] 每週
[117.28-119.60] 增開17個班次的短期訓練的時間
[119.60-121.64] 那這就是我們在平均的一個增班作業
[121.64-125.24] 那我們在評估了旅客的一個搭乘狀況
[125.24-128.82] 以及運量的一些變化之後呢
[128.82-131.88] 那高鐵公司決定在7月1號開始
[131.88-135.72] 那將這17個短期增班的一個班次呢
[135.72-138.28] 全數納入定期班表內
[138.28-141.10] 那並且再增開了8個班次
[141.10-143.92] 那合計呢7月1號之後會
[143.92-146.74] 增加25個班次
[146.74-149.56] 那7月1號之後呢定期班表的
[149.56-152.38] 每週表定班次數呢
[152.38-156.22] 將會來到1128班次
[156.22-159.80] 那週間的星期一到星期四的期間
[159.80-163.90] 每日的雙向班次將會從145班
[163.90-167.22] 那提高到148個班次
