[0.00-4.80] 各位线上的投资人下午好
[4.80-9.44] 现在我们进行群一期货股份有限公司的法人说明会
[9.44-11.92] 在说明会开始之前
[11.92-14.78] 有一段声明请各位投资人详加注意
[14.78-19.18] 本简报内容及相关资讯可能含有预测性陈述
[19.18-22.58] 包括但不限于本公司及其关系企业
[22.58-25.94] 未来可能发生的业务活动目标或计划
[25.94-29.04] 预测性陈述应受不确定因素影响
[29.04-32.06] 其中包含但不限于国内外之市场
[32.06-35.28] 经济、政治、法律等环境变动所造成
[35.28-38.58] 无法完全预期控制之变数与风险
[38.58-41.92] 故可能与未来实际状况有相当程度之差异
[41.92-45.80] 本简报内容之预测性陈述是以现况为基础
[45.80-47.66] 进行评估和推测
[47.66-51.86] 本公司不负担往后更新及任何其他责任
[51.86-54.24] 本简报内容不得被视为
[54.24-57.74] 任何金融交易或投资之邀约或邀约之引诱
[57.74-62.72] 各位投资人大家好
[62.72-65.94] 我是群益期货总经理毛振华
[65.94-69.42] 很高兴今天大家来参与
[69.42-73.18] 群益期货2025年第一次线上法说会
[73.18-77.02] 接下来我跟各位报告一下今天的报告纲要
[77.02-82.00] 首先由我跟各位报告本公司的营运概况
[82.00-85.10] 包含基本资料以及营运成果
[85.10-87.72] 接下来由本公司的财务局
[87.74-90.82] 领事部长林立娟副总
[90.82-94.66] 帮各位报告本公司的财务资讯
[94.66-100.28] 接下来再由我来跟各位报告本公司的前景与展望
[100.28-105.40] 最后由本公司的公司治理主管陈启尧副总
[105.40-112.06] 跟各位报告本公司的公司治理与永续发展
[112.06-116.16] 接下来看一下群益期货的基本资料
[116.16-117.70] 群益期货股票代号为
[117.74-118.42] 6024
[118.42-123.44] 资本额在今年3月办理现金增之后
[123.44-126.20] 达到了24.99亿台币
[126.20-129.16] 台湾的营业据点有两家
[129.16-132.44] 分别在台中以及台北
[132.44-135.86] 转投资事业有三个子公司
[135.86-138.36] 分别为群益期货香港
[138.36-142.10] 群益制投成都以及上海群旗
[142.10-145.82] 含转投资的员工总人数
[145.82-147.72] 达到387人
[147.74-153.02] 本公司在1999年创立
[153.02-156.00] 设立的资本额是2亿
[156.00-160.06] 2008年上柜交易
[160.06-163.26] 2017年则由上柜转上市
[163.26-169.02] 2025年资本额达到了24.99亿
[169.02-174.54] 接下来我们来看一下
[174.54-177.34] 群益期货各项业务的市场排名状况
[177.74-179.74] 2025年1到4月
[179.74-184.06] 群益期货国内期权市占率9.48%
[184.06-185.78] 市场排名第三
[185.78-189.76] 海外期货市占率20.4%
[189.76-190.92] 市场排名第二
[190.92-196.44] 看港交易明目本金台币6027亿
[196.44-198.02] 市场排名第一
[198.02-201.64] 期金资产管理规模7.58亿
[201.64-203.00] 市场排名第一
[203.00-207.72] 客户保证金台币556.4亿
[207.74-208.74] 市场排名第二
[208.74-209.74] 合并税前损益5.08亿
[209.74-210.74] 市场排名第二
[210.74-211.74] 接下来由本公司财务长林立娟副总
[211.74-212.74] 来跟大家报告本公司2025年1至4月财务状况
[212.74-213.74] 各位投资人好
[213.74-214.74] 我是财务部林立娟
[214.74-215.74] 接下来由我来进行本公司财务资讯报告
[215.74-216.74] 本公司近三年财务资讯包含了2025年1至4月财务状况
[216.74-217.74] 本公司近三年财务资讯包含了2025年1至4月财务状况
[217.74-218.74] 本公司近三年财务资讯包含了2025年1至4月财务状况
[218.74-219.74] 本公司近三年财务资讯包括了2022年2023年2024年及2025年1至4月
[219.74-220.74] 本公司近三年财务资讯包括了2022年2023年2024年及2025年1至4月
[220.74-245.70] 本公司近三年财务资讯包括了808,438,ferredIES Hyun
[245.70-246.74] 之寄
[246.74-247.74] Donka特首
[247.74-248.54] Ft Jeg
[248.54-253.06] 合并本期净利414989千元
[253.06-255.40] 每股盈余1.82元
[255.40-260.84] 简明合并资产负债表
[260.84-266.26] 包含2024年4月30日及2025年4月30日的数据
[266.26-272.74] 2025年4月30日资产为70605006千元
[272.74-276.52] 负债60356248千元
[276.52-279.48] 权益10248758千元
[279.48-284.14] 简明合并综合损益表
[284.14-289.86] 包含2024年1月至4月及2025年1月至4月的数据
[289.86-295.42] 那么2025年1月至4月税前损益508438千元
[295.42-298.52] 本期损益414989千元
[298.52-302.36] 本期综合损益总额413447千元
[302.36-305.62] 本期损益归属于母公司业主权益
[305.62-306.50] 414989千元
[306.52-308.88] 本期损益总额是1083000元
[308.88-310.48] 每股盈余1.82元
[310.48-315.48] 合并公司主要业务收入结构
[315.48-319.02] 本公司主要的业务收入为经济业务
[319.02-319.90] 自营业务
[319.90-322.04] 杠杆交易三大业务种类
[322.04-326.16] 本月结构图包含了2024年1月至4月
[326.16-329.08] 及2025年1月至4月的资料
[329.08-335.96] 本公司今年4月经济业务占主要业务收入79.29%
[336.52-340.18] 自营业务占了14.35%
[340.18-344.46] 杠杆交易占6.36%
[344.46-347.16] 以上为财务数据的报告
[347.16-351.00] 大家好
[351.00-355.32] 接下来又由我来跟各位报告本公司的前景与展望
[355.32-361.52] 首先我们来看一下动用户的状况
[361.52-364.84] 我们都知道2025年4月初
[364.84-368.38] 由美国发起的对等关税等议题
[368.38-371.68] 因避险的需求急速升高
[371.68-375.36] 整体市场以及本公司的国内动用户
[375.36-378.06] 都创下了历史次高
[378.06-381.42] 而本公司的海外期货的动用户
[381.42-384.00] 则创下了历史新高
[384.00-388.42] 这说明了目前的状况之下
[388.42-391.40] 整个国内外期货的成长动能
[391.40-394.12] 仍维持着升高的状态
[394.84-400.42] 接下来我们再看一下个股期货的部分
[400.42-402.64] 我们看得出来
[402.64-404.44] 红色的线
[404.44-407.00] 红色的线是群益期货
[407.00-409.20] 个股期的成交占比
[409.20-412.66] 绿色的线是群益期货
[412.66-414.08] 个股期的市占率
[414.08-417.68] 而灰色的线是全市场
[417.68-419.36] 是个股期的占比
[419.36-421.02] 我们看得出来
[421.02-423.40] 全市场的个股期的占比
[423.40-424.82] 仍持续的上升
[424.84-427.92] 而群益期货个股期的占比
[427.92-431.54] 也随着市场持续的上升
[431.54-433.24] 所以也看得出来
[433.24-435.30] 群益期货的个股期的市占率
[435.30-437.02] 仍稳定的成长
[437.02-442.08] 接下来我们来看一下
[442.08-444.14] 海外期货的部分
[444.14-446.16] 我们都看得到
[446.16-448.68] 2025年波动放大
[448.68-451.12] 带来了许多的机会
[451.12-454.60] 我们有海湖山庄协议弱势美元
[454.60-454.82] 我们有海湖山庄协议弱势美元
[454.84-455.34] 我们有海湖山庄协议弱势美元
[455.34-457.74] 台币升值的这些威胁
[457.74-460.22] 还有川普透过关税战
[460.22-461.50] 以及货币战
[461.50-463.48] 达成改善财政
[463.48-467.36] 限制对手国制造业回流的这些目的
[467.36-470.32] 对全球化带来了冲击
[470.32-473.04] 以及AI竞争的白热化
[473.04-474.22] 军备竞赛
[474.22-477.60] 以及美中科技战升级
[477.60-479.64] 所以在股市
[479.64-481.32] 汇市
[481.32-482.94] 甚至债市
[482.94-484.60] 都充满了交易机会
[484.60-486.10] 所以我们看到
[486.10-489.30] 群益期货在今年的4月份
[489.30-492.66] 月交易量达到了历史之高
[492.66-499.00] 接下来我们来看一下
[499.00-502.70] 本公司的证券跟期货制营的状况
[502.70-504.28] 我们都看到
[504.28-508.60] 今年因为川普效应的波动放大
[508.60-510.30] 我们期制营
[510.30-513.88] 到1到4月交易获利1.12亿
[514.60-519.50] 而正制营交易亏损仅689万
[519.50-524.50] 说明了本公司制营交易在面对市场大幅风险之下
[524.50-528.70] 仍能稳健的获利表现杰出
[528.70-537.50] 接下来我们来看一下群益期货经理事业部的表现
[537.50-541.10] 我们经理事业部以追求绝对报酬
