[0.00-6.50] 各位同事 先跟大家介绍
[6.50-10.20] 郑鑫向江峰院院医生协同师
[10.20-13.40] 2014年第四季与法的说明会
[13.40-17.20] 由我同学代表大家做你的说明
[17.20-25.60] 今天的一程大概分为
[25.60-29.08] 最最早的一个 А有ym
[29.10-53.56] 网时 gets
[53.64-54.80] 这类的
[55.10-55.32] 손
[55.32-55.52] lavoro
[55.52-55.60] 还有
[55.60-58.92] 卡车胎、机车胎
[58.92-63.28] 机车胎包括外观的机车还有这个重型机身
[63.28-68.14] 那这些车轮胎、轻型卡车轮胎
[68.14-71.72] 还有我们沙滩车的一个轮胎还有内胎
[71.72-78.64] 这是我们整个公司生产的一个机理的这个产品
[78.64-83.76] 那我们在全球的这个据点
[83.76-87.86] 当然目前总共有11个工厂
[87.86-93.48] 那我们整个员工人数有4339
[93.48-98.36] 那整个集团目前有25973人
[98.36-102.20] 那跟我们公司过去最高峰
[102.20-103.72] 大概有35000人
[103.72-108.84] 那我们大概减少了13000人左右
[108.84-112.94] 那就是因应这几年来踏入
[112.94-113.72] 文化企业的决定
[113.72-115.26] 那我们在这个决定决定之后
[115.26-119.86] 那整个生产规模有做一些修正
[119.86-122.16] 那我们整个
[122.16-124.72] 我们这个工厂主要在大陆
[124.72-128.32] 然后还有印度、泰国、越南
[128.32-133.44] 还有印度、尼西亚、印度、台湾等等
[133.44-136.50] 那整个保生团的K45是
[136.50-139.06] 它这个造模有全通能的生产
[139.06-140.34] 我们看到一个生产
[140.34-142.90] 大概只有这个飞机
[142.90-145.20] 它还有生产其他的
[145.20-149.56] 都有像跑乘路的、飞过的
[149.56-153.90] 这个产,这个生产
[153.90-157.74] 那这张的话各位可以看到整个
[157.74-159.80] 每天的一个产
[159.80-163.12] 大概有146万6000
[163.12-166.20] 那生产最多的
[166.20-168.24] 各位可以看到就是
[168.24-172.08] 内台有56万6000的
[172.90-176.74] 那这个一天可以生产37万6000条
[176.74-180.06] 那摩托车的话是16万6000
[180.06-184.16] 那PCR呼叫是11万18万秒
[184.16-187.74] 那卡车的全座卡车的部分是
[187.74-189.02] 23000条
[189.02-190.82] 那其他的
[190.82-192.62] 其他的这个轮胎
[192.62-194.92] 是10万6000
[194.92-196.96] 这基本上是我们整个
