[0.00-3.90] 好谢谢大家今天的参与
[3.90-6.14] 那下一页
[6.14-11.98] 我这边先简短介绍一下公司
[11.98-15.02] 那三洋工业是台湾第一家
[15.02-18.28] 同时生产这个摩托车跟汽车的
[18.28-19.64] 这个上市公司
[19.64-22.20] 那公司成立在1961年
[22.20-24.64] 那股票代码是206
[24.64-27.40] 目前我们有2300个员工
[27.40-30.66] 那分别专注在这个研发制造
[30.66-33.68] 还有销售这个摩托车
[33.68-36.50] 还有沙滩车以及汽车上面
[36.50-41.14] 那我们去年的总营收是656亿台币
[41.14-44.94] 那目前整个的一个市值的部分
[44.94-47.06] 是16.58亿美金
[47.06-50.24] 那公司主要有三个厂区
[50.24-52.92] 分别在这个台湾的新竹
[52.92-55.20] 以及大陆厦门还有越南
[55.20-57.38] 那3D的这个
[57.38-59.48] 产能分别是新竹和越南
[59.48-61.32] 大概是30万辆机车
[61.32-63.26] 那新竹厂这一边
[63.26-65.80] 同时也是组装跟生产
[65.80-68.06] 现代汽车的基地
[68.06-71.24] 大概就是2万台汽车的产能
[71.24-74.38] 那越南大概是12万辆机车的产能
[74.38-77.32] 去年我们整个机车
[77.32-80.14] 台湾的机车内销的市占率
[80.14-81.32] 大概是41%
[81.32-85.62] 那已经远远的超过了第二名的光阳
[85.62-87.30] 那目前我们
[87.38-90.26] 在整个集团的产品组合里面
[90.26-93.76] 大概接近六成的营收是来自机车
[93.76-96.34] 那三成九是来自汽车
[96.34-98.00] 那还有其他的大概
[98.00-101.06] 两到三百分之一是零组件跟其他
[101.06-102.96] 好
[102.96-105.26] 那下一页
[105.26-112.20] 公司从2014年
[112.20-114.32] 吴清源董事长接任
[114.32-117.10] 进到公司并接任副董以后
[117.10-117.36] 就开始了
[117.38-120.46] 一系列的改革
[120.46-124.66] 那目前在整个机车的部分
[124.66-128.02] 我们已经重返台湾机车品牌的第一
[128.02-130.22] OK
[130.22-134.10] 那在这个汽车的部分呢
[134.10-138.62] 我们除了自己自有品牌SYM的机车以外
[138.62-143.90] 我们也有帮其他品牌从事代工
[143.90-146.86] 那目前在汽车的部分呢
[146.86-155.70] 我们则是完全的从韩国现代进口这个KD件来台湾组装跟这个销售
