[0.24-5.12] 长荣钢铁股费有限公司法人说明会会议开始
[5.12-10.10] 欢迎各位贵宾例领长荣钢铁公司法人说明会
[10.10-13.90] 为大家介绍今日参与的经营团队
[13.90-17.00] 林耿丽董事长
[17.00-23.80] 刘邦恩总经理
[27.38-29.90] 财务部庄婷婷协力
[29.90-36.12] 首先我们也请林耿丽董事长致辞
[36.12-42.18] 谢谢各位投资先进
[42.18-45.80] 及法人及各位媒体记者
[45.80-51.50] 播放来参加长荣钢铁今天的法人说明会
[51.50-53.84] 同时也要感谢
[54.28-56.20] 改机证券的邀请
[56.20-59.32] 接下来我们就
[59.32-59.82] 请
[59.90-67.30] 请我们总经理就本公司114年的第一季及未来的展望
[67.30-69.50] 跟各位做一个简报
[72.18-72.78] 谢谢
[74.42-79.58] 各位投资先进法人代表以及媒体好朋友大家好
[79.58-84.28] 再次欢迎并感谢各位来参加我们今天的法说会
[84.28-86.66] 那现在就由我来为大家做个报告
[86.66-87.16] 哈
[87.16-89.78] 首先
[89.78-92.86] 这是我们的免责声明哈请大家参阅
[92.86-99.58] 那我我想我今天的报告内容包括下列几项哈
[99.58-107.58] 首先我会报告我们啊主要的本业也就是啊刚购事业本身营运概况跟产业的一个发展
[107.58-115.02] 然后再来会对我们啊转投资的事业啊就是环保事业的营运概况跟产业发展做个说明
[115.02-119.62] 那接下来会报告今年第一季的合并财务概况
[119.78-123.62] 那最后会说明永续发展跟绿能政策的哈
[123.62-127.46] 那简报完成后当然会利用一点时间进行Q&A
[127.46-135.14] 那首先报告我们刚购事业的营运概况跟产业的发展哈
[135.14-137.18] 那还是要先说明一下哈
[137.18-138.98] 我们刚购有两个厂
[138.98-140.26] 那有新银厂
[140.26-141.66] 好跟新竹厂
[141.66-144.86] 那新厂占地大概有58000平
[144.86-147.80] 然后新竹厂占地大概有15000平
[147.80-149.76] 那两厂的年产呢
[149.78-156.70] 差不多一般都应该是有差不多产能大概有16到17万吨左右哈
[156.70-159.14] 那当然这个产能的多寡
[159.14-162.66] 其实是还是要看工程特性跟他的难易度
[162.66-163.60] 会有所不同
[167.44-174.62] 那这张是我我们今年第一季跟前三年的制造量跟吊装量的一个数据哈
[174.62-175.82] 那我想啊
[175.82-178.96] 今年在第一季的我们的制造量
[178.96-179.74] 31200平
[179.74-184.86] 那这个可以说是达到前三年的水准哈
[184.86-188.44] 比跟2022年跟2024年相当
[188.44-190.40] 那比2023年好
[190.40-194.02] 然后吊装量的话是35893吨
[194.02-197.08] 那这个高于前三年的平均水准
[197.08-201.24] 那如果说单纯拿第一季来讲
[201.24-206.24] 我们今年的第一季的营收量是35893吨
[206.24-209.70] 比去年第一季24967吨
[209.74-211.78] 那多了差不多1万多吨哈
[211.78-213.06] 这个跟大家报告一下
[216.14-219.72] 那接下来是我们的那个订单分析哈
[219.72-224.08] 那我想左边的数据是我们截至今年三月底
[224.08-225.62] 就是截至第一季为止
[225.62-230.48] 我们在手订单总共有221614吨
[230.48-233.30] 这个还是符合历来的一个水准啦
[233.30-235.34] 那事实上跟各位报告哈
[235.34-239.70] 我们4月又新增了差不多都有24000吨的一个订单啦
[239.74-244.10] 然后吊装4月份吊装完成了差不多1万出头吨
[244.10-247.16] 所以我们截至4月底我们在手订单是
[247.16-249.72] 235682吨
[249.72-252.80] 当然这个礼拜又有好消息哈
[252.80-255.10] 这个礼拜又进账了一个工程
[255.10-256.38] 大概有11000多吨
[256.38-258.68] 在这边跟大家报告一下
[258.68-260.48] 那我想右边那一张是
[260.48-262.78] 最近一年的一个接单量哈
[262.78-265.34] 总共有133658吨
[265.34-266.88] 大家可以看得到哈
[266.88-267.90] 近一年来哈
[267.90-269.70] 我们没有接到没有接
[269.74-271.02] 桥梁的工作
[271.02-274.86] 事实上我想以前我们法税会跟大家说明过
[274.86-279.46] 我们如果有大楼跟厂房基本上是我们比较想要选择的案子
[279.46-282.02] 那桥梁基本上因为它比较算场地
[282.02-283.06] 所以它
[283.06-284.84] 时间也会拉得比较长
[284.84-286.64] 所以一般来讲我们如果有
[286.64-289.20] 比较多的大楼跟厂房我们可以
[289.20-294.32] 桥梁就会尽量不接
[294.32-299.18] 那这张是刚才的订单跟接单的一个图表啦哈
[299.18-302.76] 那在大楼跟厂房桥梁所占的比例哈
[302.76-304.56] 给大家过目一下
[304.56-311.46] 那接下来说明我们刚够的产业发展啦
[311.46-315.82] 我想虽然在政府第七波打炒房
[315.82-318.90] 之后这个房屋销售我想大家都知道
[318.90-321.96] 现在的状况事实上是有下滑的状况
[321.96-324.52] 但是短期内尤其是模
[324.52-327.34] 科技厂房需求还是非常稳定
[327.34-329.14] 然后都跟商办住宅大楼的
[329.14-331.44] 这些案子还是有持续在推动
[331.44-334.78] 至少我们这边的订单事实上还是一直在进来哈
[334.78-339.90] 所以我们推算在刚过市场短期的景气还是维持一个稳定发展的一个状况
[339.90-341.68] 那当然有人问说
[341.68-343.98] 这个房屋销售既然不好那怎么
[343.98-346.04] 刚过还是一直在推
[346.04-348.60] 当然我想这个
[348.60-350.64] 不能说所有的
[350.64-354.22] 那个建商他都没有影响我想或多或少
[354.22-357.04] 有一些业主他会把他案子稍微的后延
[357.04-359.10] 不过最起码减的量是足够我们
[359.10-361.92] 刚过市场的一个需求
[361.92-363.96] 我想一般来讲
[363.96-368.82] 会推刚过案子的建商一般可能都是比较大型建商
[368.82-371.90] 那基本上他们的资金都比较雄厚
[371.90-374.72] 那可能前几年大家赚的也算蛮薄的
[374.72-377.28] 所以这方面他们应该目前看起来是
[377.28-380.86] 绝大部分还是按照原来的规划在推案
[380.86-382.40] 那当然在
[382.40-385.22] 这是短期的一个景气的分析了
[385.22-387.26] 那中长期的部分
[387.26-389.06] 市场市委会是到受到说
[389.10-391.92] 美国现在大家最热门的
[391.92-394.74] 一个不确定性就是
[394.74-396.78] 对等关税的一个影响
[396.78-399.34] 还有包括说刚才提到的整个
[399.34-401.14] 政府的方式
[401.14-403.94] 政策会不会影响到未来的状况
[403.94-407.02] 我想这一部分我们还是要持续的来做关注
[407.02-408.82] 那我们也会随时来做
[408.82-410.10] 因应
[410.10-413.42] 那倒是我想在材料的部分材料的采购
[413.42-415.72] 我们要注意到的是说
[415.72-418.02] 会不会受到美国的关税
[418.02-418.80] 当然
[419.10-421.14] 针铁的部分它并不是对等关税
[421.14-422.68] 而是美国它有
[422.68-424.48] 另外的一个关税条款
[424.48-426.52] 这一部分来讲会不会影响到
[426.52-430.36] 那我们还要加强供应商跟协力商的一个整个
[430.36-431.38] 联系管理
[431.38-433.70] 确保材料供应无虞跟
[433.70-434.98] 施工能力
[434.98-435.74] 不缺
[435.74-440.10] 这个来符合客户的一个供期的一个要求
[440.10-444.44] 那接下来秀书几张我们近期就是说我们
[444.44-448.80] 早就调装完成然后客户他外观也起来的一些
[449.10-455.24] 那这张是我们台中知名的一个
