[0.00-10.50] 各位投資先進,歡迎大家參加有空的群組舉辦的建立的線上發表說明會
[10.50-21.20] 我們今天的榮幸邀請到陳立榮來問答,來跟各位投資先進分享第四季的營運狀況
[21.20-24.80] 那我們現在把時間交給貝子,謝謝
[24.80-31.60] 大家好,先謝謝莫金正編的邀請,謝謝大家的時間
[31.60-39.40] 我們今天會簡單的討論電力公司在2024年的狀況
[39.40-46.40] 還有一些在2024年之前的災況
[46.40-54.40] 大概花了20分鐘時間打這個內容來做一個簡單的說明
[54.40-57.20] 所以今天就直接跟大家分享一下,謝謝
[57.20-58.20] 謝謝董貝子
[64.20-69.20] 首先就有關我們2024年的狀況
[69.20-74.20] 2024年我們整年度的合併收入是50億元
[74.20-77.20] 也是我們賺錢的合併收入
[77.20-84.20] 相較於2024年,我們有2024年的合併收入是50億元
[84.40-90.20] 實際上我們收的主要是,我們沒有分內部的薪資
[90.20-92.20] 而是產資價的分佈
[92.20-96.20] 在2024年跟前年趨勢是類似的
[96.20-104.20] 是汽車這邊的營業負債,產資價這邊是兩個比較小的價格
[104.20-106.20] 這幾年大概都是這樣的
[106.20-112.20] 所以在汽車這邊增加的薪資分佈是這個產價裡面的分佈
[112.20-114.20] 所以這幾年大概就是這樣
[114.20-117.20] 看來都是都有在增加的
[117.20-124.20] 在馬力的部分基本上跟2024年差不多大概就在40%
[124.20-129.20] 整體的這個最後TB是7.3億
[129.20-132.20] 然後1.5還在9.5億
[132.20-137.20] 那這個部分基於Curriculum State看,Curriculum State的1.5
[137.20-138.20] 1.5是高嘛
[138.20-142.20] 那主要是在Curriculum State其實有兩種根本
[142.20-144.20] 也叫不相關的
[144.20-149.20] 就是我們在2024年的時候
[149.20-151.20] 在大陸這邊的
[151.20-156.20] 這個銀轉會回頭到
[156.20-159.20] 它是物業流動的
[159.20-163.20] 那第二部分是我們在
[163.20-165.20] 第四季的時候
[165.20-167.20] 有一個大陸的
[167.20-172.20] 就是我們在大陸這邊
[172.20-174.20] 原先就有兩個
[174.20-175.20] 產區
[175.20-178.20] 那就是一個汽車的主會就是展示價額
[178.20-179.20] 因為它們很輕
[179.20-184.20] 那展示價額往往原先是在2025年的時候
[184.20-187.20] 展示價額運的業務在大陸就能夠結束
[187.20-190.20] 那後續那邊的成績是還蠻大的
[190.20-193.20] 既然它們是先到這個
[193.20-198.20] 新事業觸發的一些散熱相關的生產
[198.20-201.20] 就是在原先展示價額做成績
[201.20-203.20] 做成績的成績
[203.20-205.20] 那另外就是
[205.20-208.20] 就是用小部分來
[208.20-211.20] 那剩下的部分
[211.20-214.20] 它剛好這個當地的這個
[214.20-216.20] 一些新的一些
[216.20-218.20] 開業區的一些文化
[218.20-220.20] 所以我們在2024年的時候
[220.20-223.20] 就有一個這個
[223.20-224.20] 這個節目
[224.20-226.20] 那這個建議本身是
