[0.00-5.74] 大家好,我是英力發言人白秉諺
[5.74-12.68] 那今天就由我和我們財務經理黃勝文來跟各位說明一下我們目前的公司境況
[12.68-15.00] 那我就直接開始了
[16.06-23.94] 這邊免責聲明,那請各位參閱
[23.94-30.00] 那我簡報分三個部分,就是第一個部分公司簡介
[30.00-33.98] 那第二個部分營運概況,那以及第三個部分就是我們未來展望
[33.98-38.56] 那第一部分公司簡介的部分呢
[38.56-46.10] 我們開曼印第工業股份有限公司,那這邊創立時間是2015年
[46.10-53.48] 但其實我們是1990年初的時候就在中國大陸吉林省東北這邊
[53.48-53.92] 就是在中國大陸的吉林省東北這邊
[53.92-59.80] 設立,那我們就是從事這個車身零部件的防撞系統
[59.80-63.00] 那以及整個設計研發製造及銷售
[63.00-67.74] 那截至今年的第一季,我們的員工總數是3500人左右
[67.74-73.38] 那營業規模大概是以去年來看是215億左右
[73.38-81.82] 那公司的發展呢,其實主要就是跟著中國大陸的汽車市場
[81.82-83.46] 我們也是在很前期就投入了一大部分的工資
[83.46-90.56] 那整個跟著中國大陸的這個汽車市場成長上來
[90.56-96.94] 那我們的主營業務其實就是有百分之,超過99%都是在中國大陸地區
[96.94-103.56] 那近期其實有投資人問到就是說中美那個,不是中美貿易戰
[103.56-107.06] 就是美國的關稅戰對我們有沒有直接的影響
[107.06-109.16] 那其實直接影響是沒有啦,因為我們有統計過就是消貨到我們那邊的貨品在那邊的產品上是很少的
[109.16-115.30] 是沒有啦 因為我們有統計過就是消貨到美國的產品
[115.30-119.14] 大概佔我們的營收那是還不到一個百分點
[119.14-124.00] 所以營收這個關稅佔對我們的影響是很少的
[124.00-126.82] 好那我回到就是說我們公司的發展
[126.82-130.92] 那因為我們是和中國大陸的儀器集團
[130.92-133.22] 就是很早就開始配合
[133.22-137.58] 所以成長的過程大概就是跟著整個儀器大眾
[137.58-145.26] 那他們從長春蘇州然後成都佛山
[145.26-150.12] 蘇州講過那個天津這邊
[150.12-151.92] 那跟著他們的幾個大廠區
[151.92-155.06] 那我們就是他們的主要配合供應商
[155.06-160.04] 那過程中我們也去接觸了除了這個大眾體系外的
[160.04-163.44] 像是賓士或者是寶馬
[163.44-166.34] 那以及就是到近期
[166.34-167.54] 那我們也是很積極
[167.54-169.84] 在拓展中國大陸自主品牌
[169.84-172.92] 那造車新勢力這邊的業務
[172.92-177.02] 那這邊投資架構呢
[177.02-180.86] 我們開辦英利這邊是持有我們長春英利汽車工業股
[180.86-181.88] 不永先公司
[181.88-187.00] 那整個生產的主體大概就是這個黃色
[187.00-190.06] 這個長春英利汽車工業向下的這些
[190.06-195.44] 是我們在中國大陸就是營運的主體
[195.44-197.50] 那這邊
[197.50-202.88] 就請各位就是可以參考一下
[202.88-205.70] 那生產基地的邊部
[205.70-211.58] 其實就是我們在整個中國大陸就是由北到南
[211.58-217.46] 那東到西這邊其實我們都有設立了生產基地
[217.46-223.36] 那所以是可以符合大部分的汽車主機廠的供貨需求
[227.50-233.38] 那我們公司呢其實在發展的過程呢
[233.38-236.20] 其實一直都是著重在整個
[236.20-237.74] 汽車的
[237.74-241.32] 材料的應用那以及工藝的輕量化
[241.32-244.14] 那材料應用例如說像是
[244.14-245.94] 那個
[245.94-250.28] 鋁鎂合金高強度鋼複合材料工程塑料這些
[250.28-253.86] 那工藝的輕量化像是熱成型激光拼焊板
[253.86-255.14] 液壓成型
[255.14-255.92] 等等
[257.50-261.08] 那以及就是我們公司是
[261.08-262.62] 有
[262.62-265.70] 中國CNAS認證級別的實驗室
[265.70-268.76] 那我們這個實驗室呢也通過了
[268.76-271.58] 中國大陸很多汽車廠的
[271.58-274.90] 認證等同是我們是
[274.90-281.56] 自己測試的報告那車廠這邊是承認的
[281.56-286.18] 那這也讓我們在和車廠對接在開發產品上
[286.18-287.42] 那以及在實驗上
[287.42-287.46] 那在開發產品上
[287.46-287.48] 那以及在實驗上
[287.48-291.82] 上面就是能有辦法更彈性的去配合我們的客戶
[291.82-297.08] 那這也是我們的那個領先的優勢之一
[297.08-301.94] 那我們產品主要分成兩大部分
[301.94-304.62] 分成金屬產品以及非金屬產品
[304.62-306.82] 那金屬產品大家可以參考這一頁
[306.82-311.30] 那我們從以往比較做比較簡單的金屬成型
[311.30-315.84] 它可能是比較簡單的經過沖壓成型出來的零件
[315.84-323.00] 那做到後面其實都是做了比較複雜的總成零件
[323.00-325.08] 那它就是通過成型之後
[325.08-328.88] 那還要再經過焊接總成
[328.88-332.54] 焊接那做成總成零件去供貨給我們的客戶
[332.54-335.92] 那這邊例如說像是儀表板支架
[335.92-339.02] 然後車身底板上面的這個前重量
[339.02-342.44] 然後側邊的這個門檻
[342.44-345.82] 那或者是車身側圍總成
[345.82-349.16] 然後後靠板雲罩總成
[349.16-350.42] 備胎艙
[350.42-354.02] 然後電動車在用的這個電磁殼
[354.02-354.78] 門檻
[354.78-356.06] 那前後保險槓
[356.06-359.38] 那還有就是那個車子底盤
[359.38-362.20] 那再接這個懸架系統的副車架
[362.20-365.54] 那或者是一些比較大的總成
[365.54-367.32] 像前圍總成這些等等
[367.32-372.18] 那非金屬件的產品呢
[372.18-373.98] 這邊也可以參考
[373.98-375.52] 這邊主要就是一些
[375.82-377.36] 複合材料
[377.36-379.40] 那它主要是一些複合塑料
[379.40-382.22] 它會有例如說像是
[382.22-386.32] PPPT碳玻璃纖維的
[386.32-388.62] 結合的材料
[388.62-390.92] 那或者是一些LFT
[390.92-394.00] 或是一些GMT這些
[394.00-399.38] 在一些特性上面不同的複合塑料去做的產品
[399.38-401.42] 那像是前端框架
[401.42-404.50] 儲物盒、門檻板、輪罩、備胎艙
[404.50-405.68] 然後防撞樑
[405.68-408.24] 電池殼、蓄電池托盤、底護板
[408.24-415.16] 這些
[415.16-418.74] 那我們知道就是說在
[418.74-420.02] 以金屬的特性來講
[420.02-422.84] 那鋁的密度是比鋼還要來得輕的
[422.84-425.90] 那我們這些年其實
[425.90-427.70] 和我們對接的客戶上面
[427.70-432.82] 鋁合金的用量是越來越多
[432.82-435.12] 那所以我們公司也
[435.68-441.32] 自行投資了這個鋁極型的產線
[441.32-443.62] 那鋁極型的工藝它這個
[443.62-447.46] 它是去把鋁棒給成型
[447.46-451.30] 一些在車子裡面能夠用的零件
[451.30-456.16] 那例如說像是前後防撞樑、行人防護樑、電池殼
[456.16-458.98] 底盤重樑、儀錶板支架、副車架
[458.98-460.00] 都用得到
[460.00-464.36] 那我們成立這個我們在長春鴻漢伊利成立這個鋁合金的產線主要就是要跟鋁合金的產線有關的產線
[465.68-468.24] 供應給我們公司自己的
[468.24-471.06] 集團內來使用
[471.06-473.88] 那我們現在有兩條產線已經建置完畢
[473.88-479.24] 那就是一條是3150噸的鋁極線以及4500噸的鋁極線
[479.24-480.78] 都已經建置完成
[480.78-481.80] 然後也
[481.80-486.92] 開始有在供應給我們其他的場區
[486.92-487.96] 那這邊
[487.96-489.24] 其實
[489.24-492.04] 之前有投資人問到就是說我們這個
[492.04-493.58] 好像
[493.58-495.12] 產能沒有辦法
[495.12-495.64] 提升很快
[495.68-498.24] 那因為這邊我要說明一下就是
[498.24-499.00] 因為
[499.00-501.56] 現在已經在供應的
[501.56-505.66] 汽車零件其實是不容易去直接換材料的
[505.66-507.96] 那這等於是我們要
[507.96-511.56] 看有沒有機會去做材料驗證的替換
[511.56-512.58] 那再來
