[0.00-16.12] 欢迎各位投资先进参加范德永业线上法人说明会
[16.12-22.26] 今天很荣幸邀请到纪千田财务长参加本次线上法说会
[22.26-25.60] 现在正式开始今天的议程
[25.60-29.98] 我们就请纪千田财务长来介绍一下
[30.00-33.92] 就公司营运及财务状况等内容为各位做报告
[33.92-34.94] 欢迎财务长
[34.94-37.20] 好谢谢
[37.20-40.28] 那我们首先谢谢群一景点证券
[40.28-43.12] 邀请范德永业汽车来参加法人说明会
[43.12-47.96] 那我们也谢谢各位投资先进播控来聆听
[47.96-51.20] 那以下就是我的简报开始
[51.20-53.48] 那我们一样
[53.48-57.00] 我们这一次我们会从直接公司简介部分
[57.00-58.54] 我们就不再说明
[58.54-59.84] 那直接从营运
[59.84-62.72] 绩效这一块开始说明
[62.72-66.12] 营运绩效来讲
[66.12-68.76] 那我们先简单的报告一下
[68.76-74.64] 我们去刚发布的2024年度的财报的BS
[74.64-77.06] 那在BS的部分
[77.06-81.02] 那我们的资产总额是231亿
[81.02-83.96] 那负债总额是98亿
[83.96-87.60] 那权益总额就是133亿
[87.60-89.60] 那每股净值就是
[89.84-92.60] 大概是一百六十四点七二元
[92.60-94.44] 以简单的财务比例来讲
[94.44-96.36] 不再比大概就是还是蛮稳定
[96.36-99.48] 在42.4%左右
[99.48-102.80] 流动比大概是190.8个percent
[102.80-108.80] 所以在整个财务结构上面算是蛮稳健的
[108.80-113.16] 那在损益表的部分
[113.16-118.12] 那2024年大概简单的结果就是EPS23.93
[118.12-119.82] 23.93
[119.84-124.80] 跟就是是范德约汽车
[124.80-127.08] 成立以来的一个历史新高
[127.08-130.96] 那跟去年2023年的22.17
[130.96-133.40] 来讲大概成长8个percent
[133.40-137.72] 那2023的22.17也是创了当时的新高
[137.72-141.08] 所以范德约汽车是连续两年的一个获利
[141.08-143.32] 是创了一个历史的新高
[143.32-145.60] 那我们从营业收入来讲
[145.60-149.68] 营业收入从跟2023年比从508亿到2012亿
[149.84-152.92] 成长到576亿
[152.92-154.20] 成长68亿
[154.20-157.20] 成长了13.35个percent
[157.20-162.20] 那成长主要原因主要来自于新车销售
[162.20-166.60] 我们新车销售大概成长了13.6个percent
[166.60-171.00] 那新车销售里面我们主要销售品牌VMW
[171.00-172.48] 它的销售量
