[0.92-3.58] 各位投资以及媒体先进大家好
[3.58-4.72] 我是Kristin
[4.72-7.86] 欢迎参加鸿海公司法人说明会
[7.86-12.06] 今天我们再次邀请到董事长刘洋伟先生
[12.06-14.18] 财务长黄德才先生
[14.18-17.00] 以及发言人James为各位说明
[17.62-20.18] 法说会的时间预计是一个小时
[20.18-21.78] 第一阶段是简报
[21.78-23.98] 第二阶段是问答时间
[23.98-26.76] 在会议正式进行前
[26.76-30.20] 请大家先详细阅读简报中的免责声明
[30.20-33.60] 接下来就进入法说会的第一个阶段
[33.60-34.18] 简报
[34.18-36.24] 这次有四个议题
[36.24-39.98] 分别是2024年第四季季全年的回顾
[39.98-43.28] 2025年全年级第一季的展望
[43.28-46.88] 重要些进展以及近期重大事件
[46.88-49.60] 现在先邀请财务长David
[49.60-52.66] 向大家说明2024年的财务表现
[52.66-56.24] 谢谢Kristin
[56.76-58.94] 各位在线上的投资先进
[58.94-60.72] 还有媒体朋友们大家好
[60.72-62.20] 我是黄德才
[62.20-64.58] 接下来由我向大家报告
[64.58-67.78] 鸿海2024年第四季营运状况
[67.78-71.16] 首先请大家看到第五页
[71.16-73.40] 2024年全年损益表
[73.40-77.28] 全年营收新台币6.86兆元
[77.28-80.20] 营业利益2006亿元
[80.20-83.22] 税后净利1527亿元
[83.22-84.98] 皆创下历史新高
[84.98-86.20] 全年营收新台币6.86兆元
[86.20-86.28] 全年营收新台币6.86兆元
[86.28-86.74] 全年营收新台币6.86兆元
[86.76-89.28] GPS为新台币11.01元
[89.28-92.36] 创2008年以来新高
[92.36-94.02] 且连续四年
[94.02-96.00] 每年都获利超过一个股本
[96.00-98.20] 三率部分
[98.20-102.82] 毛利率方面全年为6.25%
[102.82-104.84] 年减0.04%
[104.84-107.72] 主要受到伺服器产品销售增加
[107.72-109.48] 影响了毛利率的表现
[109.48-113.86] 另外营业利率2.92%
[113.86-116.28] 较前一年增加0.22%
[116.28-119.30] 主要原因为费用率下降所致
[119.30-121.74] 因为营收成长11%
[121.74-123.84] 而费用仅增加3%
[123.84-128.30] 全年净利率2.23%
[128.30-131.06] 较前一年度减少了0.08%
[131.06-133.22] 主要是业外获利减少
[133.22-136.98] 接下来我们请大家看到第六页
[136.98-139.88] 2024年第四季水域表
[139.88-144.50] 第四季营收为新台币2.13兆元
[144.50-145.80] 较前一年增加0.03%
[145.80-148.80] 较前一年同期增加15%
[148.80-151.80] 为历年同期新高
[151.80-153.48] 三绿部分
[153.48-156.80] 毛利率6.15%
[156.80-159.50] 年增0.03%
[159.50-163.24] 主要受惠于营收成长及有利的产品组合
[163.24-166.20] 使得毛利率表现优于前一年
[166.20-169.26] 营业利率3.03%
[169.26-171.86] 年增0.38%
[171.86-173.24] 主要是毛利率提升
[173.24-175.56] 同时费用率也下降所致
[175.56-177.42] 因为营收成长15%
[177.42-181.00] 而费用仅增加3%
[181.00-183.80] 第四季净利率2.17%
[183.80-185.92] 年减0.7%
[185.92-187.80] 主要是业外获利减少
[187.80-192.68] 其中今年没有前一年同期活化资产的一次性利益
[192.68-195.52] 以及受到权益法投资阵列损失
[195.52-199.02] 和汇率评价等因素的影响
[199.02-200.46] EPS部分
[200.46-204.56] 第四季的EPS3.34元较前一年同期减少0.49元
[205.56-207.92] 接下来简报第七页
[207.92-209.48] 资产不再表
[209.48-212.52] 节制2024年12月底
[212.52-215.96] 上上前经为9371亿元
[215.96-218.72] 进现金3808亿元
[218.72-221.94] 较去年12月底减少440亿元
[221.94-225.94] 主要为营收成长带动移运资金的需求
[225.94-228.30] 以资本支出增加所致
[228.30-231.16] 现金作免签署38天
[231.16-233.06] 与去年持平
[233.06-235.32] 负债比率则为58%
[235.32-235.54] 而负债比率则为58%
[235.56-237.22] 也与去年同期相当
[237.22-240.08] 最后简报第八页
[240.08-241.44] 现金流量表
[241.44-245.78] 2024年营业活动现金流入为1660亿元
[245.78-249.92] 较去年同期流入减少2795亿元
[249.92-252.14] 主要为存货变动所致
[252.14-254.54] 存货变动主要原因为
[254.54-258.44] 2022年为了有效管理供应链短缺的风险
[258.44-260.12] 那时候疫情的原因
[260.12-262.56] 所以策略性增加了存货水准
[262.84-265.32] 并于2023年逐步调整回
[265.56-266.96] 正常存货水准
[266.96-270.70] 产生现金流入有利向2017亿元
[270.70-273.72] 2024年应运营收成长
[273.72-276.42] 存货相较2023年为幅增加
[276.42-278.88] 现金流出760亿元
[278.88-283.16] 自由现金流为净流入297亿元
[283.16-285.94] 较去年同期减少3041亿元
[285.94-287.70] 主要是因为营业活动
[287.70-291.14] 现金流入减少2795亿元
[291.14-294.26] 及资本支出增加246亿元所致
[295.56-299.20] 以上为2024年第四季财务报表的简要报告
[299.20-301.98] 接下来我们把时间交给刘董事长
[301.98-304.50] 好 谢谢David
[304.50-305.08] 大家好
[305.08-308.20] 这是今年度第一次的法说会
[308.20-310.40] 我想这是一个很好的时机
[310.40-311.80] 跟大家分享一下
[311.80-313.96] 鸿海今年度的一个展望
[313.96-316.48] 前面大家已经看到
[316.48-319.22] 我们去年第四季的经营成果
[319.22-321.42] 我大致上来做个总结
[321.42-323.36] 整体的营收表现
[323.36-324.68] 在季对季
[324.68-325.54] 年对年的经营成果
[325.56-328.06] 在季对年都达到了强劲的成长
[328.06-329.74] 优于我们的预期
[329.74-333.48] 其中电脑终端以及元件
[333.48-336.84] 及其他产品表现的都比预期的好
[336.84-339.98] 但是在云端网路产品方面
[339.98-342.16] 由于第三季提前拉货
[342.16-343.86] 使基期较高
[343.86-347.22] 加上第四季为新旧产品交替
[347.22-348.94] 所以第四季表现
[348.94-351.36] 则有略微衰退的情形
[351.36-353.68] 每年三月
[353.68-355.44] 是我们第一次提供
[355.44-355.54] 新的产品交替
[355.56-357.52] 当年度展望的时间点
[357.52-359.20] 之后我们则会
[359.20-362.04] 持续依照鸿海所处的
[362.04-363.38] 关键产业地位
[363.38-364.58] 结合市场
[364.58-366.84] 客户以及供应商
[366.84-369.84] 等资讯做动态的调整
[369.84-371.58] 尽可能对展望
[371.58-373.56] 做出最合适的判断
[374.30-377.34] 我们从去年三月的法说会
[377.34-379.58] 就对2024年全年提出
[379.58-382.02] 显著成长的一个看法
[382.02-384.90] 虽然到11月法说会时
[384.90-385.54] 箭头方式的改变
[385.56-387.00] 方向都没有改变
[387.00-390.50] 但是在内部所看到的预估数字
[390.50-393.46] 则是由年初的低个位数成长
[393.46-396.36] 增加到了高个位数的成长
[396.36-400.36] 最终我们全年达成的情况
[400.36-403.14] 又比11月预期的更好一些
[403.14-406.78] 集团营收达到了6.86兆元
