[0.00-3.84] 各位投資以及媒體先進大家好
[3.84-5.10] 我是Kristin
[5.10-8.20] 歡迎參加鴻海公司法人說明會
[8.20-12.20] 今天我們再次邀請到董事長劉揚偉先生
[12.20-14.14] 財務長黃德財先生
[14.14-16.90] 以及發言人James為各位說明
[16.90-19.90] 法說會的時間預計是一個小時
[19.90-21.44] 第一階段是簡報
[21.44-24.10] 第二階段是問答時間
[24.10-26.64] 在會議正式進行前
[26.64-30.48] 請大家先詳細閱讀簡報中的免責聲明
[30.48-34.08] 接下來就進入法說會的第一個階段簡報
[34.08-36.08] 這一次有四個議題
[36.08-39.08] 分別是2025年第一季回顧
[39.08-41.58] 第二季暨全年的展望
[41.58-45.38] 重要事業進展以及近期重大事件
[45.38-47.48] 現在先邀請財務長David
[47.48-52.38] 向大家說明2025年第一季的財務表現
[52.38-53.98] 好 謝謝Kristin
[53.98-56.52] 各位在線上的投資陷阱
[56.52-58.52] 還有媒體朋友們大家好
[58.52-60.02] 我是黃德財
[60.02-62.02] 接下來由我向大家報告
[62.02-66.52] 鴻海2025年第一季營運狀況
[66.52-68.02] 請大家看到第五頁
[68.02-71.02] 2025年第一季選議表
[71.02-74.82] 第一季營收為新台幣1.64兆元
[74.82-78.32] 較前一年同期增加24%
[78.32-81.52] 為歷年同期新高
[81.56-82.56] 三綠部分
[82.56-87.56] 毛利率6.11% 年減0.20%
[87.56-90.06] 主因產品組合之影響
[90.06-95.06] 營業利益率2.83% 年增0.05%
[95.06-97.56] 主要是費用率下降所致
[97.56-103.56] 因為營收成長24%而費用僅增加15%
[103.56-108.56] 第一季淨利率2.56% 年增0.9%
[108.60-111.60] 主要因業外獲利大幅提升
[111.60-114.60] 其中 任列SHOP獲利32億元
[114.60-118.60] 去年同期則任列損失105億元
[118.60-122.60] 以及轉投資平價受3月底股市上漲
[122.60-125.60] 任列平價利益等因素所致
[125.60-128.60] EPS部分
[128.60-131.60] 第一季的EPS3.03元
[131.60-135.60] 較前一年同期增加1.44元
[135.64-138.64] 接下來簡報第六頁資產負債表
[138.64-141.64] 截至2025年3月底
[141.64-144.64] 帳上現金為9293億元
[144.64-147.64] 進現金2812億元
[147.64-151.64] 較去年3月底減少1584億元
[151.64-155.64] 主要是借款增加以因應營運資金需求
[155.64-157.64] 以及資本支出
[157.64-160.64] 也較去年同期增加107億元所致
[162.64-164.64] 現金多轉天數51天
[164.68-166.68] 與去年持平
[166.68-168.68] 負債比例則為60%
[168.68-170.68] 較去年同期增加
[170.68-172.68] 主要原因為營收成長
[172.68-175.68] 為了因應營運資金的周轉需求
[175.68-177.68] 故增加借款所致
[178.68-181.68] 最後簡報第七頁現金流量表
[181.68-183.68] 2025年截至3月底
[183.68-187.68] 營業活動現金流出為511億元
[187.68-191.68] 較去年同期流入182億元相比
[191.72-193.72] 主要為存貨增加所致
[194.72-195.72] 存貨變動主因為
[195.72-198.72] 客戶對新品拉貨動能提升
[198.72-200.72] 故配合客戶備料所致
[200.72-204.72] 但我們仍會秉持存貨穩健管理的原則
[204.72-206.72] 進行管控
[206.72-210.72] 自由現金流為近流出949億元
[210.72-212.72] 與去年同期相比
[212.72-214.72] 現金流出增加800億元
[214.72-217.72] 主要是因營業活動現金流出增加
[217.72-220.72] 及資本支出增加所致
[220.76-223.72] 以上為2025年第一季財務報表的
[223.72-224.72] 診藥報告
[224.72-227.72] 接下來我們把時間交給劉董事長
[227.72-228.72] 好 謝謝David
[228.72-229.72] 大家好
[229.72-231.72] 總結第一季的表現
[231.72-234.72] 營收創下歷年同期新高
[234.72-238.72] 季節性表現優於過去五年平均水準
[238.72-240.72] 相較於去年同期
[240.72-242.72] 則達到了強勁成長
[242.72-246.72] 表現與上次法說會的預期大致相當
[247.72-249.72] 從產品組合的角度
[249.72-250.72] 來看
[250.72-253.72] 在AI伺服器的強勁成長帶動下
[253.72-257.72] 雲端網路產品的佔比顯著提升
[257.72-260.72] 相較去年第一季增加了6%
[260.72-262.72] 達到了34%的水準
[262.72-264.72] 同樣期間
[264.72-266.72] 消費智能產品的營收
[266.72-268.72] 相較於去年也有一些成長
[268.72-271.72] 但是佔比降低到40%
[271.72-273.72] 顯示我們的產品組合
[273.72-276.72] 持續朝向更均衡的方向發展
[277.72-280.72] 如同我在上次法說會提到的
[280.72-283.72] 今年全年雲端網路產品的佔比
[283.72-286.72] 將會接近消費智能產品
[286.72-288.72] 以四大產品來看
[288.72-292.72] 電腦終端的表現比預期還要好
[292.72-295.72] 但是消費智能和雲端網路
[295.72-298.72] 都稍微的落後預期
[298.72-302.72] 不過整體上都還是維持平穩的表現
[303.72-305.72] 從整體獲利性來看
[305.72-309.72] 我們在毛利、營業利益及稅後淨利
[309.72-313.72] 都創下了歷史同期新高的表現
[315.72-316.72] 接下來我來說明一下
[316.72-318.72] 今年第二季的展望
[318.72-320.72] 過去一個多月來
[320.72-323.72] 美國關稅政策變化快速
[323.72-327.72] 對於全球供應鏈產生不小的影響
[327.72-330.72] 最近又加上匯率變動的因素
[330.72-332.72] 所以我們對於接下來的展望
[332.72-336.72] 會先保持比較審慎的看法
[337.72-338.72] 整體來看
[338.72-340.72] 預期第二季相較於第一季
[340.72-345.72] 以及去年同期都將有顯著成長
[346.72-348.72] 從四個產品來看
[348.72-350.72] 在消費智能產品方面
[350.72-354.72] 主要的產品進入新舊產品交換期
[354.72-357.72] 再加上第一季有新產品推出
[357.72-360.72] 以及近期匯率的因素
[360.72-365.72] 我們預期季對季會有略微衰退的情況
[365.72-368.72] 相較於去年同期則大致持平
